sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L150_right_00057,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019296632871044814,86
L150_right_00058,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010088121172437665,86
L150_right_00059,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008241391233162046,86
L150_right_00060,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.018140947367996388,86
L150_right_00061,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01348800053713416,86
L150_right_00062,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012624846547016783,86
L150_right_00063,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00064,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008089433783781493,86
L150_right_00065,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012820744645775635,86
L150_right_00066,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012731163967890634,86
L150_right_00067,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01827716584465968,86
L150_right_00068,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,2.4532694666933987e-18,86
L150_right_00069,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00070,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009185526555118074,86
L150_right_00071,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010251717167829725,86
L150_right_00072,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012912262536505712,86
L150_right_00073,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010260841075366883,86
L150_right_00074,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00075,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013308743067839907,86
L150_right_00076,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00775485256040872,86
L150_right_00077,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013236532405899254,86
L150_right_00078,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01012765068821301,86
L150_right_00079,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011394977503349293,86
L150_right_00080,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008033887386635855,86
L150_right_00081,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009272990570791981,86
L150_right_00082,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01320424840793481,86
L150_right_00083,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015373796827671602,86
L150_right_00084,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00085,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013353747607193678,86
L150_right_00086,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013464996559609452,86
L150_right_00087,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01253342537052027,86
L150_right_00088,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012692881216094385,86
L150_right_00089,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012766225459116575,86
L150_right_00090,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.02077241343037912,86
L150_right_00091,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008345966824622785,86
L150_right_00092,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011466273091757928,86
L150_right_00093,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.023435998588311534,86
L150_right_00094,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01019994024749954,86
L150_right_00095,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01339480870307023,86
L150_right_00096,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011289356732214586,86
L150_right_00097,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.005243700725232576,86
L150_right_00098,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01263765939672392,86
L150_right_00099,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.005292055511399042,86
L150_right_00100,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010306393196983574,86
L150_right_00101,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.023568981080157467,86
L150_right_00102,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012456385155673929,86
L150_right_00103,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01025253818798331,86
L150_right_00104,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011404709178127949,86
L150_right_00105,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00834967283873768,86
L150_right_00106,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010090256677963146,86
L150_right_00107,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012724749432184494,86
L150_right_00108,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010141526108864268,86
L150_right_00109,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.016720764463044754,86
L150_right_00110,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013436654531878997,86
L150_right_00111,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010366348227163301,86
L150_right_00112,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008408889851399124,86
L150_right_00113,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01769652204916359,86
L150_right_00114,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019035077767156176,86
L150_right_00115,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011437000285712465,86
L150_right_00116,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008087126498873057,86
L150_right_00117,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.020003229800323465,86
L150_right_00118,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.005191971965945488,86
L150_right_00119,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008343254164547469,86
L150_right_00120,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007429688039527343,86
L150_right_00121,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00791772078167396,86
L150_right_00122,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01364733134691373,86
L150_right_00123,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011645415258491559,86
L150_right_00124,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013904459467754215,86
L150_right_00125,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012866639702133703,86
L150_right_00126,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0053262670287397675,86
L150_right_00127,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012682371451172639,86
L150_right_00128,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00909566455943845,86
L150_right_00129,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007423926233954245,86
L150_right_00130,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010276066383198888,86
L150_right_00131,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00132,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.021347653238826175,86
L150_right_00133,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008979296164043636,86
L150_right_00134,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007977371687747477,86
L150_right_00135,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01137445209253762,86
L150_right_00136,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013535530854271094,86
L150_right_00137,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012861419697130777,86
L150_right_00138,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010978247866413774,86
L150_right_00139,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015160478349067485,86
L150_right_00140,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01273578668159742,86
L150_right_00141,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008286359618110993,86
L150_right_00142,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010842903984192437,86
L150_right_00143,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.025484277061149526,86
L150_right_00144,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01242054412967401,86
L150_right_00145,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.020784010330800507,86
L150_right_00146,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012739404271462883,86
L150_right_00147,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010187848821448487,86
L150_right_00148,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007310242401321323,86
L150_right_00149,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010241682126290922,86
L150_right_00150,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011285975023866463,86
L150_right_00151,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008259277804832342,86
L150_right_00152,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.005289250462800321,86
L150_right_00153,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,1.734723475976807e-18,86
L150_right_00154,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011651469385194948,86
L150_right_00155,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01110472247716197,86
L150_right_00156,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011187395185514403,86
L150_right_00157,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011471416705287266,86
L150_right_00158,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019692245836235165,86
L150_right_00159,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019010903350622974,86
L150_right_00160,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008062543999232697,86
L150_right_00161,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012676636955934434,86
L150_right_00162,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012858174897351844,86
L150_right_00163,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.018061748736926477,86
L150_right_00164,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01128752426452696,86
L150_right_00165,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01034611077624716,86
L150_right_00166,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.021411281171762196,86
L150_right_00167,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011511734501358006,86
L150_right_00168,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008074223423195486,86
L150_right_00169,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00807276176962289,86
L150_right_00170,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.02020794676821224,86
L150_right_00171,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010296133342279001,86
L150_right_00172,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012943826209725872,86
L150_right_00173,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012579874635682541,86
L150_right_00174,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010998727008960645,86
L150_right_00175,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013155507075668635,86
L150_right_00176,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.020989990118830886,86
L150_right_00177,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013486373183738617,86
L150_right_00178,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.018338997658444958,86
L150_right_00179,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01281183401503303,86
L150_right_00180,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015858950342870323,86
L150_right_00181,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011059449979556574,86
L150_right_00182,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012801887312598069,86
L150_right_00183,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008008662568725313,86
L150_right_00184,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00807038026821985,86
L150_right_00185,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015072807500505417,86
L150_right_00186,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.023974829920207982,86
L150_right_00187,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007521090745638262,86
L150_right_00188,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013449986530095276,86
L150_right_00189,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008212379995106022,86
L150_right_00190,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.02106083786397175,86
L150_right_00191,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009125034915108497,86
L150_right_00192,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013630549671785118,86
L150_right_00193,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008245733848257447,86
L150_right_00194,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008183972247264238,86
L150_right_00195,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009129759088178384,86
L150_right_00196,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.02046561759849519,86
L150_right_00197,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012919984032210084,86
L150_right_00198,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0105759358042651,86
L150_right_00199,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008134220764961671,86
L150_right_00200,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.023377463297005574,86
