length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,N_3pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.98758804958376,0.9829263347715999,0.15655015880684242,0.18478995768086304,0.13063605418752167,1.0
75,trim_5bp,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9899847332770771,0.9862389328830107,0.1408142509595287,0.16589794146540196,0.130385775267726,1.0
75,substitution_1pct_N_3pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9790140945731086,0.9549179881932829,0.19832428293157725,0.3002732456413455,0.12236923409616161,1.0
75,local_mismatch_6bp,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9740567177342659,0.9654852045386264,0.22646544449069905,0.26273473627082905,0.1156112903185383,1.0
75,short_indel,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9939682120914176,0.9783216575122256,0.07588171380757094,0.20822267288686175,0.13335037784433723,1.0
75,substitution_1pct,cpkm_weight_w050,CPKM weight=0.5,297,500,1.0,0.9895009567788475,0.963833959595032,0.10153701626397468,0.26894624148226537,0.17195980602621586,1.0
75,N_3pct,cpkm_weight_w050,CPKM weight=0.5,297,500,1.0,0.9838277271531942,0.9754862046667805,0.178149068790534,0.22142164075061072,0.1698822209215549,1.0
75,trim_5bp,cpkm_weight_w050,CPKM weight=0.5,297,500,1.0,0.981877944732659,0.9720361583955048,0.18860575129487217,0.23649030644388047,0.16565213499362744,1.0
75,substitution_1pct_N_3pct,cpkm_weight_w050,CPKM weight=0.5,297,500,1.0,0.9734737060969335,0.9444588281369898,0.22301419162526515,0.3332900874280885,0.16039247613168106,1.0
75,local_mismatch_6bp,cpkm_weight_w050,CPKM weight=0.5,297,500,1.0,0.9674166430523259,0.9488621987868929,0.2528007672235831,0.31980507563990146,0.15216333675877308,1.0
75,short_indel,cpkm_weight_w050,CPKM weight=0.5,297,500,1.0,0.9922264196314862,0.969405940121086,0.08584717907194282,0.24736127158985707,0.1747665098800225,1.0
75,substitution_1pct,cpkm_weight_w075,CPKM weight=0.75,297,500,1.0,0.9862353024981451,0.9499180021250833,0.11505833580556017,0.31648539758107797,0.22116771394741352,1.0
75,N_3pct,cpkm_weight_w075,CPKM weight=0.75,297,500,1.0,0.9784401306883486,0.9621025754339023,0.20409135163784345,0.2753086427039016,0.21632895157592782,1.0
75,trim_5bp,cpkm_weight_w075,CPKM weight=0.75,297,500,1.0,0.9702629552976741,0.950374617290956,0.2405575353751852,0.31504000002522836,0.2065292421209374,1.0
75,substitution_1pct_N_3pct,cpkm_weight_w075,CPKM weight=0.75,297,500,1.0,0.965535722607677,0.9250237384875922,0.2530243443076954,0.38723694895075617,0.20498578588614366,1.0
75,local_mismatch_6bp,cpkm_weight_w075,CPKM weight=0.75,297,500,1.0,0.957903085759488,0.9195094172638896,0.28460525286441496,0.40122443869874863,0.19496236275380532,1.0
75,short_indel,cpkm_weight_w075,CPKM weight=0.75,297,500,1.0,0.9897308690309992,0.9560731719691485,0.0976636732829005,0.29640116434541575,0.22460498817795452,1.0
75,substitution_1pct,cpkm_weight_w100,CPKM weight=1,297,500,1.0,0.982520620753846,0.9326226649585655,0.12825575996474275,0.367089428617061,0.26919836666762564,1.0
75,N_3pct,cpkm_weight_w100,CPKM weight=1,297,500,1.0,0.9723117397095867,0.9466075376344045,0.2294659505137675,0.32677962683710315,0.2616821779503589,1.0
75,trim_5bp,cpkm_weight_w100,CPKM weight=1,297,500,1.0,0.9570509048153788,0.9259283140249819,0.28832973904991027,0.38489288968892793,0.24440489340806698,1.0
75,substitution_1pct_N_3pct,cpkm_weight_w100,CPKM weight=1,297,500,1.0,0.9565062663886474,0.9024947624673103,0.28261573068726376,0.4415991070426044,0.2473036760904382,1.0
75,local_mismatch_6bp,cpkm_weight_w100,CPKM weight=1,297,500,1.0,0.9470814143388847,0.8864969412801166,0.3158645792104297,0.47645110602638036,0.2354073098693998,1.0
75,short_indel,cpkm_weight_w100,CPKM weight=1,297,500,1.0,0.9868921802229454,0.9420420425510588,0.10916135644368988,0.34046415879953684,0.2734579502522846,1.0
100,substitution_1pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9935421763407497,0.980924855005576,0.08928534681311394,0.19532087876809112,0.09954272203518544,1.0
100,N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9889989558237757,0.9845045466591035,0.14723397544002972,0.17604233401897162,0.09864355441533053,1.0
100,trim_5bp,ck4p_msp,CK4P-MSP,222,500,0.998,0.9955094226944944,0.9936645863572952,0.09413002488087543,0.11256469758138636,0.10200257711512836,0.998
100,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9833036521349482,0.9695459094454048,0.17822137766109836,0.24679576450354362,0.0933205845590809,1.0
100,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9850198831641667,0.9795374712625549,0.1718880775044852,0.20229942473370324,0.09210052749335372,1.0
100,short_indel,ck4p_msp,CK4P-MSP,222,500,1.0,0.9956772305012265,0.9868153628512586,0.0705488910648146,0.1623861695662501,0.10079755035872272,1.0
100,substitution_1pct,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9934337878514714,0.9806577829193972,0.09006780813867403,0.19668357190043367,0.1023674640199094,1.0
100,N_3pct,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9888203541220848,0.9842977884412208,0.1484736014523181,0.17721293130025584,0.10140724428130354,1.0
100,trim_5bp,pkm_weight_w010,PKM weight=0.1,297,500,0.998,0.995154831208073,0.9932055127341186,0.0978261559019105,0.11657100558671428,0.10454498743285896,0.998
100,substitution_1pct_N_3pct,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9830490803919112,0.9689832161726706,0.17962930392445065,0.24906535583293032,0.0960085992960496,1.0
100,local_mismatch_6bp,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9847793319711363,0.979356552840798,0.17330150970272348,0.20319163017044753,0.09474736112921664,1.0
100,short_indel,pkm_weight_w010,PKM weight=0.1,297,500,1.0,0.9955955659485454,0.9866470563587837,0.07126616283752883,0.1634193460569554,0.10363629072621248,1.0
100,substitution_1pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9928763613351823,0.9788966509112049,0.0938977573114339,0.20544266232009883,0.11582122549306717,1.0
100,N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9879018310848162,0.9831751524807271,0.1545889702612463,0.18343852884050785,0.11456094817748874,1.0
100,trim_5bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9933312178493352,0.9904797787844677,0.11473288800063836,0.13798693141176965,0.11658788168612119,1.0
100,substitution_1pct_N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9817398542848638,0.966799674091263,0.18661448925896554,0.2576832380610209,0.10846486036253725,1.0
