length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
150,left,cpkm_weight_w025,CPKM weight=0.25,297,250,0.1926119560504131,0.12813266209476967,0.9879963986794837,0.0074866303087065015,0.9879999999999999
150,left,cpkm_weight_w050,CPKM weight=0.5,297,250,0.22010516005137737,0.1423619657136649,0.9699657528294688,0.008969361034804146,0.97
150,left,cpkm_weight_w075,CPKM weight=0.75,297,250,0.25363871228818646,0.160319687481494,0.9317765531537467,0.016082075498217486,0.932
150,left,cpkm_weight_w100,CPKM weight=1,297,250,0.28665118865584704,0.1784061475797591,0.9095211817873731,0.0355971572977192,0.9099999999999999
150,right,ck4p_msp,CK4P-MSP,222,250,0.18253781728170287,0.12212616957307014,0.9679354535336401,0.019441557907647924,0.968
150,right,pkm_weight_w010,PKM weight=0.1,297,250,0.18415093862002438,0.12280350577276439,0.9679390649579609,0.018378360448554506,0.968
150,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19214321625082167,0.12621514108744966,0.9779761697384217,0.014718364036590199,0.978
150,right,pkm_weight_w050,PKM weight=0.5,297,250,0.21587350120734794,0.13677470808620826,0.9579264454263436,0.011697287547417782,0.958
150,right,pkm_weight_w075,PKM weight=0.75,297,250,0.24516722300470803,0.15043224598293478,0.9256251801498958,0.02085028279231413,0.9259999999999999
150,right,pkm_weight_w100,PKM weight=1,297,250,0.27425434721757846,0.16445346762019988,0.9012691469557945,0.022888449596293967,0.9019999999999999
150,right,cpkm_weight_w010,CPKM weight=0.1,297,250,0.18437202196973518,0.12307823039928868,0.9679438914533394,0.017242177206632233,0.968
150,right,cpkm_weight_w025,CPKM weight=0.25,297,250,0.19342531204023014,0.1278318744341815,0.9779785733422892,0.013286675490088082,0.978
150,right,cpkm_weight_w050,CPKM weight=0.5,297,250,0.2200583040594937,0.14220641190793115,0.9598263460790475,0.027842724704231867,0.96
150,right,cpkm_weight_w075,CPKM weight=0.75,297,250,0.25260925638413223,0.1602860963083781,0.9234176952813702,0.035559973759436675,0.924
150,right,cpkm_weight_w100,CPKM weight=1,297,250,0.2847106046834361,0.1784571562784123,0.9072299082873574,0.033732418611554196,0.908
