representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
pkm_weight_w010,PKM weight=0.1,297,3,100,clean,0.8862659060991663,0.8875,240,0.880025381689584,1.0070913004777213
pkm_weight_w010,PKM weight=0.1,297,3,100,substitution_1pct,0.8821548821548821,0.8833333333333333,240,0.880025381689584,1.0024198170980132
pkm_weight_w010,PKM weight=0.1,297,4,69,N_3pct,0.8874511506730351,0.8875,240,0.880025381689584,1.008438130465276
pkm_weight_w010,PKM weight=0.1,297,4,69,clean,0.8915989159891599,0.8916666666666667,240,0.880025381689584,1.0131513641996956
pkm_weight_w010,PKM weight=0.1,297,4,69,substitution_1pct,0.8956866426745944,0.8958333333333334,240,0.880025381689584,1.0177963741851876
pkm_weight_w010,PKM weight=0.1,297,4,75,N_3pct,0.8666296193387052,0.8666666666666667,240,0.880025381689584,0.9847779818291605
pkm_weight_w010,PKM weight=0.1,297,4,75,clean,0.8874042153915658,0.8875,240,0.880025381689584,1.0083847964564556
pkm_weight_w010,PKM weight=0.1,297,4,75,substitution_1pct,0.8791141988710378,0.8791666666666667,240,0.880025381689584,0.9989645948429388
pkm_weight_w010,PKM weight=0.1,297,4,100,N_3pct,0.8874042153915658,0.8875,240,0.880025381689584,1.0083847964564556
pkm_weight_w010,PKM weight=0.1,297,4,100,clean,0.8831304347826088,0.8833333333333333,240,0.880025381689584,1.0035283676557867
pkm_weight_w010,PKM weight=0.1,297,4,100,substitution_1pct,0.8915461624026697,0.8916666666666667,240,0.880025381689584,1.0130914186713191
pkm_weight_w010,PKM weight=0.1,297,5,69,N_3pct,0.8414905450500556,0.8416666666666667,240,0.880025381689584,0.9562116758887745
pkm_weight_w010,PKM weight=0.1,297,5,69,clean,0.8370218174853302,0.8375,240,0.880025381689584,0.9511337228459364
pkm_weight_w010,PKM weight=0.1,297,5,69,substitution_1pct,0.8412698412698413,0.8416666666666667,240,0.880025381689584,0.9559608833720967
pkm_weight_w010,PKM weight=0.1,297,5,75,N_3pct,0.8707233584125385,0.8708333333333333,240,0.880025381689584,0.9894298238771405
pkm_weight_w010,PKM weight=0.1,297,5,75,clean,0.8538596704883523,0.8541666666666666,240,0.880025381689584,0.9702670948524287
pkm_weight_w010,PKM weight=0.1,297,5,75,substitution_1pct,0.849624060150376,0.85,240,0.880025381689584,0.9654540401086616
pkm_weight_w010,PKM weight=0.1,297,5,100,N_3pct,0.8623063683304647,0.8625,240,0.880025381689584,0.9798653382870616
pkm_weight_w010,PKM weight=0.1,297,5,100,clean,0.8623063683304647,0.8625,240,0.880025381689584,0.9798653382870616
pkm_weight_w010,PKM weight=0.1,297,5,100,substitution_1pct,0.8581757508342602,0.8583333333333333,240,0.880025381689584,0.9751715901496226
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,N_3pct,0.9041516903682867,0.9041666666666667,240,0.8791579657774701,1.0284291624073654
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,clean,0.9041650028646331,0.9041666666666667,240,0.8791579657774701,1.0284443047331642
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,substitution_1pct,0.8833252309188138,0.8833333333333333,240,0.8791579657774701,1.0047400641335922
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,N_3pct,0.9083333333333333,0.9083333333333333,240,0.8791579657774701,1.033185580625505
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,clean,0.9041650028646331,0.9041666666666667,240,0.8791579657774701,1.0284443047331642
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,substitution_1pct,0.9,0.9,240,0.8791579657774701,1.0237068138307757
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,100,N_3pct,0.8874042153915658,0.8875,240,0.8791579657774701,1.0093797132427769
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,100,clean,0.899888765294772,0.9,240,0.8791579657774701,1.0235802896911352
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,100,substitution_1pct,0.8872631743767289,0.8875,240,0.8791579657774701,1.009219285856201
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,69,N_3pct,0.8557692307692308,0.8583333333333333,240,0.8791579657774701,0.9733964362279812
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,69,clean,0.8642533936651584,0.8666666666666667,240,0.8791579657774701,0.9830467644126605
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,69,substitution_1pct,0.8604626579044734,0.8625,240,0.8791579657774701,0.9787349843819435
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,75,N_3pct,0.8648268093494791,0.8666666666666667,240,0.8791579657774701,0.9836989972384343
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,75,clean,0.8598502946329033,0.8625,240,0.8791579657774701,0.9780384505445591
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,75,substitution_1pct,0.8686417486184431,0.8708333333333333,240,0.8791579657774701,0.9880383075984223
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,100,N_3pct,0.8648268093494791,0.8666666666666667,240,0.8791579657774701,0.9836989972384343
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,100,clean,0.872737556561086,0.875,240,0.8791579657774701,0.9926970925973396
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,100,substitution_1pct,0.872737556561086,0.875,240,0.8791579657774701,0.9926970925973396
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,69,N_3pct,0.8537375285124759,0.8541666666666666,240,0.8791579657774701,0.9710854724014085
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,69,clean,0.8494878405686015,0.85,240,0.8791579657774701,0.9662516562849656
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,69,substitution_1pct,0.8494878405686015,0.85,240,0.8791579657774701,0.9662516562849656
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,75,N_3pct,0.8575319505552064,0.8583333333333333,240,0.8791579657774701,0.9754014454010673
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,75,clean,0.8655368022970796,0.8666666666666667,240,0.8791579657774701,0.9845065801475793
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,75,substitution_1pct,0.8575319505552064,0.8583333333333333,240,0.8791579657774701,0.9754014454010673
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,100,N_3pct,0.8907486518663772,0.8916666666666667,240,0.8791579657774701,1.0131838492513199
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,100,clean,0.8735155646124657,0.875,240,0.8791579657774701,0.9935820394233537
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,100,substitution_1pct,0.8821548821548821,0.8833333333333333,240,0.8791579657774701,1.0034088485733752
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,69,N_3pct,0.8958170547481377,0.8958333333333334,240,0.8791579657774701,1.0189489143238728
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,69,clean,0.8957881024750325,0.8958333333333334,240,0.8791579657774701,1.0189159825024798
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,69,substitution_1pct,0.8957446438810794,0.8958333333333334,240,0.8791579657774701,1.018866550437203
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,75,N_3pct,0.8708131478876908,0.8708333333333333,240,0.8791579657774701,0.9905081700733955
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,75,clean,0.8915461624026697,0.8916666666666667,240,0.8791579657774701,1.0140909792181025
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,75,substitution_1pct,0.8791141988710378,0.8791666666666667,240,0.8791579657774701,0.9999502172440722
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,100,N_3pct,0.8832603710652491,0.8833333333333333,240,0.8791579657774701,1.0046662891624387
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,100,clean,0.887341574088562,0.8875,240,0.8791579657774701,1.0093084617664299
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,100,substitution_1pct,0.8915461624026697,0.8916666666666667,240,0.8791579657774701,1.0140909792181025
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,69,N_3pct,0.8414905450500556,0.8416666666666667,240,0.8791579657774701,0.9571551163799058
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,69,clean,0.8411260539335238,0.8416666666666667,240,0.8791579657774701,0.9567405252248231
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,69,substitution_1pct,0.8453796729989029,0.8458333333333333,240,0.8791579657774701,0.9615788128033443
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,75,N_3pct,0.8707233584125385,0.8708333333333333,240,0.8791579657774701,0.9904060388539248
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,75,clean,0.849624060150376,0.85,240,0.8791579657774701,0.9664065995227874
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,75,substitution_1pct,0.849624060150376,0.85,240,0.8791579657774701,0.9664065995227874
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,100,N_3pct,0.858086956521739,0.8583333333333333,240,0.8791579657774701,0.9760327380562409
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,100,clean,0.8623063683304647,0.8625,240,0.8791579657774701,0.9808321165217414
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,100,substitution_1pct,0.8581757508342602,0.8583333333333333,240,0.8791579657774701,0.9761337373259713
pkm_weight_w050,PKM weight=0.5,297,1,69,N_3pct,0.8958315248528621,0.8958333333333334,240,0.8732243078609889,1.0258893583107538
pkm_weight_w050,PKM weight=0.5,297,1,69,clean,0.9,0.9,240,0.8732243078609889,1.0306630173919455
pkm_weight_w050,PKM weight=0.5,297,1,69,substitution_1pct,0.8749913188415862,0.875,240,0.8732243078609889,1.0020235476322523
pkm_weight_w050,PKM weight=0.5,297,1,75,N_3pct,0.9083333333333333,0.9083333333333333,240,0.8732243078609889,1.040206193478908
pkm_weight_w050,PKM weight=0.5,297,1,75,clean,0.9,0.9,240,0.8732243078609889,1.0306630173919455
pkm_weight_w050,PKM weight=0.5,297,1,75,substitution_1pct,0.8958315248528621,0.8958333333333334,240,0.8732243078609889,1.0258893583107538
pkm_weight_w050,PKM weight=0.5,297,1,100,N_3pct,0.8832603710652491,0.8833333333333333,240,0.8732243078609889,1.0114931102053768
pkm_weight_w050,PKM weight=0.5,297,1,100,clean,0.887341574088562,0.8875,240,0.8732243078609889,1.0161668268971509
pkm_weight_w050,PKM weight=0.5,297,1,100,substitution_1pct,0.887341574088562,0.8875,240,0.8732243078609889,1.0161668268971509
pkm_weight_w050,PKM weight=0.5,297,2,69,N_3pct,0.8601670227228588,0.8625,240,0.8732243078609889,0.9850470434450976
pkm_weight_w050,PKM weight=0.5,297,2,69,clean,0.8686417486184431,0.8708333333333333,240,0.8732243078609889,0.9947521396263338
pkm_weight_w050,PKM weight=0.5,297,2,69,substitution_1pct,0.8648268093494791,0.8666666666666667,240,0.8732243078609889,0.9903833431617588
pkm_weight_w050,PKM weight=0.5,297,2,75,N_3pct,0.8648268093494791,0.8666666666666667,240,0.8732243078609889,0.9903833431617588
pkm_weight_w050,PKM weight=0.5,297,2,75,clean,0.8598502946329033,0.8625,240,0.8732243078609889,0.9846843324130017
pkm_weight_w050,PKM weight=0.5,297,2,75,substitution_1pct,0.8686417486184431,0.8708333333333333,240,0.8732243078609889,0.9947521396263338
pkm_weight_w050,PKM weight=0.5,297,2,100,N_3pct,0.8604626579044734,0.8625,240,0.8732243078609889,0.9853855992765754
pkm_weight_w050,PKM weight=0.5,297,2,100,clean,0.8598502946329033,0.8625,240,0.8732243078609889,0.9846843324130017
pkm_weight_w050,PKM weight=0.5,297,2,100,substitution_1pct,0.863935936503437,0.8666666666666667,240,0.8732243078609889,0.9893631323888541
pkm_weight_w050,PKM weight=0.5,297,3,69,N_3pct,0.8453796729989029,0.8458333333333333,240,0.8732243078609889,0.9681128495720728
pkm_weight_w050,PKM weight=0.5,297,3,69,clean,0.8537375285124759,0.8541666666666666,240,0.8732243078609889,0.9776841079971228
pkm_weight_w050,PKM weight=0.5,297,3,69,substitution_1pct,0.8577008928571428,0.8583333333333333,240,0.8732243078609889,0.9822228780576762
pkm_weight_w050,PKM weight=0.5,297,3,75,N_3pct,0.848951048951049,0.85,240,0.8732243078609889,0.9722027219221615
pkm_weight_w050,PKM weight=0.5,297,3,75,clean,0.8696360673546986,0.8708333333333333,240,0.8732243078609889,0.9958908146807319
pkm_weight_w050,PKM weight=0.5,297,3,75,substitution_1pct,0.8657342657342657,0.8666666666666667,240,0.8732243078609889,0.9914225450903096
pkm_weight_w050,PKM weight=0.5,297,3,100,N_3pct,0.8907486518663772,0.8916666666666667,240,0.8732243078609889,1.020068548078231
pkm_weight_w050,PKM weight=0.5,297,3,100,clean,0.8735155646124657,0.875,240,0.8732243078609889,1.0003335417359032
pkm_weight_w050,PKM weight=0.5,297,3,100,substitution_1pct,0.8821548821548821,0.8833333333333333,240,0.8732243078609889,1.0102271251653188
pkm_weight_w050,PKM weight=0.5,297,4,69,N_3pct,0.8916365657126979,0.8916666666666667,240,0.8732243078609889,1.0210853702604898
pkm_weight_w050,PKM weight=0.5,297,4,69,clean,0.8915989159891599,0.8916666666666667,240,0.8732243078609889,1.021042254507528
pkm_weight_w050,PKM weight=0.5,297,4,69,substitution_1pct,0.8915461624026697,0.8916666666666667,240,0.8732243078609889,1.0209818420957166
pkm_weight_w050,PKM weight=0.5,297,4,75,N_3pct,0.8708131478876908,0.8708333333333333,240,0.8732243078609889,0.9972387850961176
pkm_weight_w050,PKM weight=0.5,297,4,75,clean,0.8915461624026697,0.8916666666666667,240,0.8732243078609889,1.0209818420957166
pkm_weight_w050,PKM weight=0.5,297,4,75,substitution_1pct,0.8791141988710378,0.8791666666666667,240,0.8732243078609889,1.0067449920450295
pkm_weight_w050,PKM weight=0.5,297,4,100,N_3pct,0.8832603710652491,0.8833333333333333,240,0.8732243078609889,1.0114931102053768
pkm_weight_w050,PKM weight=0.5,297,4,100,clean,0.8832035595105673,0.8833333333333333,240,0.8732243078609889,1.0114280506849644
pkm_weight_w050,PKM weight=0.5,297,4,100,substitution_1pct,0.8832035595105673,0.8833333333333333,240,0.8732243078609889,1.0114280506849644
pkm_weight_w050,PKM weight=0.5,297,5,69,N_3pct,0.8457020729439975,0.8458333333333333,240,0.8732243078609889,0.9684820559056485
pkm_weight_w050,PKM weight=0.5,297,5,69,clean,0.8494878405686015,0.85,240,0.8732243078609889,0.9728174455535586
pkm_weight_w050,PKM weight=0.5,297,5,69,substitution_1pct,0.845508794516258,0.8458333333333333,240,0.8732243078609889,0.968260717097281
pkm_weight_w050,PKM weight=0.5,297,5,75,N_3pct,0.8623063683304647,0.8625,240,0.8732243078609889,0.9874969816664079
pkm_weight_w050,PKM weight=0.5,297,5,75,clean,0.8538596704883523,0.8541666666666666,240,0.8732243078609889,0.9778239826831305
pkm_weight_w050,PKM weight=0.5,297,5,75,substitution_1pct,0.8538596704883523,0.8541666666666666,240,0.8732243078609889,0.9778239826831305
pkm_weight_w050,PKM weight=0.5,297,5,100,N_3pct,0.8538596704883523,0.8541666666666666,240,0.8732243078609889,0.9778239826831305
pkm_weight_w050,PKM weight=0.5,297,5,100,clean,0.8622105464604464,0.8625,240,0.8732243078609889,0.9873872482689798
pkm_weight_w050,PKM weight=0.5,297,5,100,substitution_1pct,0.8540425014335111,0.8541666666666666,240,0.8732243078609889,0.9780333572315861
pkm_weight_w075,PKM weight=0.75,297,1,69,N_3pct,0.8833252309188138,0.8833333333333333,240,0.8715580235938786,1.0135013470203773
pkm_weight_w075,PKM weight=0.75,297,1,69,clean,0.9,0.9,240,0.8715580235938786,1.032633485822138
pkm_weight_w075,PKM weight=0.75,297,1,69,substitution_1pct,0.8874980468410909,0.8875,240,0.8715580235938786,1.0182891130776164
pkm_weight_w075,PKM weight=0.75,297,1,75,N_3pct,0.9041516903682867,0.9041666666666667,240,0.8715580235938786,1.0373970130410914
pkm_weight_w075,PKM weight=0.75,297,1,75,clean,0.9,0.9,240,0.8715580235938786,1.032633485822138
pkm_weight_w075,PKM weight=0.75,297,1,75,substitution_1pct,0.9,0.9,240,0.8715580235938786,1.032633485822138
pkm_weight_w075,PKM weight=0.75,297,1,100,N_3pct,0.8707772470690405,0.8708333333333333,240,0.8715580235938786,0.9991041600172315
pkm_weight_w075,PKM weight=0.75,297,1,100,clean,0.887341574088562,0.8875,240,0.8715580235938786,1.018109580851083
pkm_weight_w075,PKM weight=0.75,297,1,100,substitution_1pct,0.887341574088562,0.8875,240,0.8715580235938786,1.018109580851083
pkm_weight_w075,PKM weight=0.75,297,2,69,N_3pct,0.8601670227228588,0.8625,240,0.8715580235938786,0.9869303011817288
pkm_weight_w075,PKM weight=0.75,297,2,69,clean,0.8686417486184431,0.8708333333333333,240,0.8715580235938786,0.9966539520072225
