label,length,status,n_rows,n_pairs,fq_path,sam_path
Burkholderia_cepacia,100,reused_external,856,428,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L100_ART_.sam
Burkholderia_cepacia,125,reused_external,684,342,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L125_ART_.sam
Burkholderia_cepacia,150,reused_external,568,284,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L150_ART_.sam
Candida_dubliniensis,50,generated,2916,1458,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L50_ART_.sam
Candida_dubliniensis,60,generated,2426,1213,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L60_ART_.sam
Candida_dubliniensis,69,reused_external,2110,1055,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L69_ART_.sam
Candida_dubliniensis,75,reused_external,1944,972,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L75_ART_.sam
Candida_dubliniensis,100,reused_external,1456,728,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L100_ART_.sam
Candida_dubliniensis,125,reused_external,1158,579,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L125_ART_.sam
Candida_dubliniensis,150,reused_external,968,484,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_dubliniensis_L150_ART_.sam
Candida_parapsilosis,50,generated,2596,1298,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L50_ART_.sam
Candida_parapsilosis,60,generated,2162,1081,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L60_ART_.sam
Candida_parapsilosis,69,reused_external,1880,940,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L69_ART_.sam
Candida_parapsilosis,75,reused_external,1730,865,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L75_ART_.sam
Candida_parapsilosis,100,reused_external,1292,646,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L100_ART_.sam
Candida_parapsilosis,125,reused_external,1032,516,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L125_ART_.sam
Candida_parapsilosis,150,reused_external,858,429,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_parapsilosis_L150_ART_.sam
Candida_tropicalis,50,generated,2902,1451,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L50_ART_.sam
Candida_tropicalis,60,generated,2410,1205,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L60_ART_.sam
Candida_tropicalis,69,reused_external,2096,1048,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L69_ART_.sam
Candida_tropicalis,75,reused_external,1924,962,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L75_ART_.sam
Candida_tropicalis,100,reused_external,1440,720,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L100_ART_.sam
Candida_tropicalis,125,reused_external,1150,575,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L125_ART_.sam
