family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,75,substitution_1pct,240,147,0.9977789582941878,0.9917665221040143,0.04533109975804057,0.12832349806551388
k-mer,k=4,4,,False,False,150,reverse_complement,240,256,0.4513631486863409,0.25657632145206466,1.0408381008649799,1.219363221194003
k-mer,k=5,5,,False,False,150,reverse_complement,240,1024,0.19691419385684172,0.0794897504456326,1.2647839559545537,1.3568420936507761
k-mer,k=6,6,,False,False,150,reverse_complement,240,4062,0.08009708745828621,0.019030059224494366,1.355356478124515,1.4006926223621885
k-mer,k=7,7,,False,False,150,reverse_complement,240,12992,0.03311722477809037,0.0,1.3901298431838114,1.4142135623730963
k-mer,k=8,8,,False,False,150,reverse_complement,240,24359,0.020177415126078856,0.0,1.3995632203651405,1.4142135623730963
k-mer,k=9,9,,False,False,150,reverse_complement,240,30694,0.012515194668808927,0.0,1.405089606755091,1.4142135623730958
canonical k-mer,k=4,4,,True,False,150,reverse_complement,240,136,1.0,0.9999999999999987,0.0,0.0
canonical k-mer,k=5,5,,True,False,150,reverse_complement,240,512,1.0000000000000002,0.9999999999999978,0.0,0.0
canonical k-mer,k=6,6,,True,False,150,reverse_complement,240,2076,1.0,0.9999999999999973,0.0,0.0
canonical k-mer,k=7,7,,True,False,150,reverse_complement,240,7632,1.0,0.9999999999999974,0.0,0.0
canonical k-mer,k=8,8,,True,False,150,reverse_complement,240,18791,1.0000000000000004,0.9999999999999988,0.0,0.0
canonical k-mer,k=9,9,,True,False,150,reverse_complement,240,27932,1.0000000000000004,0.9999999999999973,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,150,reverse_complement,240,136,1.0,0.9999999999999987,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,150,reverse_complement,240,147,0.9993561820584288,0.9977476051350894,0.027701757697256853,0.06711324835686042
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,150,reverse_complement,240,136,0.6506947491291855,0.516374606673635,0.8293797302722965,0.9834888879158162
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,150,reverse_complement,240,147,0.9630712399689538,0.9490855516668626,0.2699372668817007,0.31910614248378755
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,150,reverse_complement,240,136,1.0,0.9999999999999989,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,150,reverse_complement,240,147,0.9993561820584288,0.9977476051350894,0.027701757697256853,0.06711324835686043
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,150,reverse_complement,240,136,1.0,0.9999999999999986,0.0,0.0
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,150,reverse_complement,240,147,0.9993561820584288,0.9977476051350892,0.027701757697256853,0.06711324835686042
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,150,reverse_complement,240,136,1.0000000000000002,0.9999999999999991,0.0,0.0
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,150,reverse_complement,240,147,0.9993561820584288,0.9977476051350893,0.027701757697256853,0.06711324835686043
k-mer,k=4,4,,False,False,150,N_3pct,240,256,0.970782463152836,0.9595546981000347,0.24004754921141896,0.28441210483518936
k-mer,k=5,5,,False,False,150,N_3pct,240,1024,0.9467515591811435,0.9345733798981657,0.3251136298964054,0.3617363458387394
k-mer,k=6,6,,False,False,150,N_3pct,240,4062,0.9254187694040505,0.9137031811177592,0.38522155662342605,0.4154439044738541
k-mer,k=7,7,,False,False,150,N_3pct,240,12992,0.9084603234795753,0.8975274678557527,0.4269510702076988,0.4527085864974279
k-mer,k=8,8,,False,False,150,N_3pct,240,24359,0.8937320710893876,0.8810356271024327,0.45996722891368064,0.4877794027991909
k-mer,k=9,9,,False,False,150,N_3pct,240,30694,0.879762479482374,0.8639900886233811,0.48913865135430207,0.5215551962671252
canonical k-mer,k=4,4,,True,False,150,N_3pct,240,136,0.9783337683191687,0.9692746548090292,0.20620182386970481,0.2478921211173463
canonical k-mer,k=5,5,,True,False,150,N_3pct,240,512,0.9536342458474728,0.9408857192613751,0.3027531072657544,0.3438436766981066
canonical k-mer,k=6,6,,True,False,150,N_3pct,240,2076,0.928773327393585,0.9148014778596296,0.3761924699543252,0.4127917632493856
canonical k-mer,k=7,7,,True,False,150,N_3pct,240,7632,0.909897448876707,0.8946450138805103,0.42341476646988724,0.4590315496590626
canonical k-mer,k=8,8,,True,False,150,N_3pct,240,18791,0.894364440875498,0.8810356271024327,0.45852304198875526,0.4877794027991909
canonical k-mer,k=9,9,,True,False,150,N_3pct,240,27932,0.8801017336257974,0.8639900886233811,0.48838413856675583,0.5215551962671252
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,150,N_3pct,240,136,0.9783337683191687,0.9692746548090292,0.20620182386970481,0.2478921211173463
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,150,N_3pct,240,147,0.9962871958291991,0.995316949957491,0.08592863754752487,0.09677859783652468
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,150,N_3pct,240,136,0.9768985803084108,0.9695867231772587,0.21341418074151075,0.24662998986262588
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,150,N_3pct,240,147,0.9961366273954136,0.995351952874438,0.08771473357142175,0.09641625472248497
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,150,N_3pct,240,136,0.9769842783890649,0.9688776212023577,0.21288261036436207,0.24948894100631117
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,150,N_3pct,240,147,0.996146048265116,0.9952488913701752,0.08757163566182563,0.09747931707684039
