probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
target_background,Candida,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,2,0.6458333333333334,0.540281690140845,147,147
target_background,Candida,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,2,0.6875,0.5943661971830986,136,136
target_background,Candida,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,2,0.6875,0.5943661971830986,147,147
within_genus_species,Enterobacter,69,clean,k-mer,k=4,4,,False,False,160,5,0.1875,0.18870273509861607,255,255
within_genus_species,Enterobacter,69,clean,k-mer,k=5,5,,False,False,160,5,0.20833333333333334,0.20914285714285713,996,996
within_genus_species,Enterobacter,69,clean,k-mer,k=6,6,,False,False,160,5,0.1875,0.16548143823286138,2956,2956
within_genus_species,Enterobacter,69,clean,k-mer,k=7,7,,False,False,160,5,0.22916666666666666,0.18006787330316743,5201,5201
within_genus_species,Enterobacter,69,clean,k-mer,k=8,8,,False,False,160,5,0.3333333333333333,0.2583475574489695,6327,6327
within_genus_species,Enterobacter,69,clean,k-mer,k=9,9,,False,False,160,5,0.2708333333333333,0.15079365079365079,6631,6631
within_genus_species,Enterobacter,69,clean,canonical k-mer,k=4,4,,True,False,160,5,0.1875,0.1852005012531328,135,135
within_genus_species,Enterobacter,69,clean,canonical k-mer,k=5,5,,True,False,160,5,0.14583333333333334,0.13934837092731828,508,508
within_genus_species,Enterobacter,69,clean,canonical k-mer,k=6,6,,True,False,160,5,0.1875,0.17390270996409102,1826,1826
within_genus_species,Enterobacter,69,clean,canonical k-mer,k=7,7,,True,False,160,5,0.22916666666666666,0.16220197930724245,4079,4079
within_genus_species,Enterobacter,69,clean,canonical k-mer,k=8,8,,True,False,160,5,0.22916666666666666,0.18075959128590707,5813,5813
within_genus_species,Enterobacter,69,clean,canonical k-mer,k=9,9,,True,False,160,5,0.20833333333333334,0.12829131652661063,6472,6472
within_genus_species,Enterobacter,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,5,0.1875,0.1852005012531328,135,135
within_genus_species,Enterobacter,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,5,0.16666666666666666,0.16378635983899142,146,146
within_genus_species,Enterobacter,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,5,0.22916666666666666,0.225062656641604,136,136
within_genus_species,Enterobacter,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,5,0.22916666666666666,0.21294144452039188,147,147
within_genus_species,Enterobacter,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,5,0.20833333333333334,0.20027519779841763,136,136
within_genus_species,Enterobacter,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,5,0.20833333333333334,0.20200415787978043,147,147
within_genus_species,Enterobacter,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,5,0.25,0.24418914418914417,136,136
within_genus_species,Enterobacter,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,5,0.2708333333333333,0.2554120082815735,147,147
within_genus_species,Enterobacter,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,5,0.22916666666666666,0.2047829408443219,136,136
within_genus_species,Enterobacter,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,5,0.22916666666666666,0.206253529079616,147,147
target_background,Enterobacter,69,clean,k-mer,k=4,4,,False,False,160,2,0.7291666666666666,0.42168674698795183,255,255
target_background,Enterobacter,69,clean,k-mer,k=5,5,,False,False,160,2,0.7916666666666666,0.4418604651162791,992,992
target_background,Enterobacter,69,clean,k-mer,k=6,6,,False,False,160,2,0.7916666666666666,0.4418604651162791,2904,2904
target_background,Enterobacter,69,clean,k-mer,k=7,7,,False,False,160,2,0.7916666666666666,0.4418604651162791,5126,5126
target_background,Enterobacter,69,clean,k-mer,k=8,8,,False,False,160,2,0.8125,0.4482758620689655,6229,6229
target_background,Enterobacter,69,clean,k-mer,k=9,9,,False,False,160,2,0.8125,0.4482758620689655,6557,6557
target_background,Enterobacter,69,clean,canonical k-mer,k=4,4,,True,False,160,2,0.75,0.49825783972125437,135,135
target_background,Enterobacter,69,clean,canonical k-mer,k=5,5,,True,False,160,2,0.7708333333333334,0.5106580166821131,508,508
target_background,Enterobacter,69,clean,canonical k-mer,k=6,6,,True,False,160,2,0.7916666666666666,0.4418604651162791,1782,1782
target_background,Enterobacter,69,clean,canonical k-mer,k=7,7,,True,False,160,2,0.7916666666666666,0.4418604651162791,3991,3991
target_background,Enterobacter,69,clean,canonical k-mer,k=8,8,,True,False,160,2,0.8125,0.4482758620689655,5700,5700
target_background,Enterobacter,69,clean,canonical k-mer,k=9,9,,True,False,160,2,0.8125,0.4482758620689655,6392,6392
target_background,Enterobacter,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,2,0.75,0.49825783972125437,135,135
target_background,Enterobacter,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,2,0.7708333333333334,0.5106580166821131,146,146
target_background,Enterobacter,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,2,0.8333333333333334,0.6655052264808362,136,136
target_background,Enterobacter,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,2,0.8125,0.6444444444444444,147,147
target_background,Enterobacter,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,2,0.6041666666666666,0.45681953543776055,136,136
target_background,Enterobacter,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,2,0.625,0.46928746928746934,147,147
target_background,Enterobacter,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,2,0.6666666666666666,0.45299145299145294,136,136
target_background,Enterobacter,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,2,0.6458333333333334,0.3924050632911392,147,147
target_background,Enterobacter,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,2,0.625,0.43157894736842106,136,136
target_background,Enterobacter,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,2,0.625,0.43157894736842106,147,147
within_genus_species,Escherichia,69,clean,k-mer,k=4,4,,False,False,160,2,0.4166666666666667,0.4125874125874126,256,256
within_genus_species,Escherichia,69,clean,k-mer,k=5,5,,False,False,160,2,0.4791666666666667,0.47894051237516283,1014,1014
within_genus_species,Escherichia,69,clean,k-mer,k=6,6,,False,False,160,2,0.5833333333333334,0.5767195767195767,3122,3122
within_genus_species,Escherichia,69,clean,k-mer,k=7,7,,False,False,160,2,0.3958333333333333,0.3955709943551889,5402,5402
within_genus_species,Escherichia,69,clean,k-mer,k=8,8,,False,False,160,2,0.4166666666666667,0.4125874125874126,6450,6450
within_genus_species,Escherichia,69,clean,k-mer,k=9,9,,False,False,160,2,0.4375,0.42527716186252773,6683,6683
within_genus_species,Escherichia,69,clean,canonical k-mer,k=4,4,,True,False,160,2,0.5416666666666666,0.5384615384615384,136,136
within_genus_species,Escherichia,69,clean,canonical k-mer,k=5,5,,True,False,160,2,0.5625,0.5607843137254902,509,509
within_genus_species,Escherichia,69,clean,canonical k-mer,k=6,6,,True,False,160,2,0.5,0.49650349650349646,1879,1879
within_genus_species,Escherichia,69,clean,canonical k-mer,k=7,7,,True,False,160,2,0.5416666666666666,0.5416666666666666,4290,4290
within_genus_species,Escherichia,69,clean,canonical k-mer,k=8,8,,True,False,160,2,0.4166666666666667,0.4125874125874126,5968,5968
within_genus_species,Escherichia,69,clean,canonical k-mer,k=9,9,,True,False,160,2,0.4583333333333333,0.4545454545454546,6525,6525
within_genus_species,Escherichia,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,2,0.5416666666666666,0.5384615384615384,136,136
within_genus_species,Escherichia,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,2,0.5,0.49650349650349646,147,147
within_genus_species,Escherichia,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,2,0.4375,0.42527716186252773,136,136
within_genus_species,Escherichia,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,2,0.4791666666666667,0.47345326897762174,147,147
within_genus_species,Escherichia,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,2,0.4583333333333333,0.45739130434782604,136,136
within_genus_species,Escherichia,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,2,0.4583333333333333,0.45739130434782604,147,147
