retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.9868192009571666,0.9780433806764866,0.15946301536196744,0.20955317155690245,0.34358700321108454,1.0,75,N_3pct,ncp_anf,ncp_anf,420,300,,
1.0,0.9838446046639286,0.9754438596716705,0.17733048180966465,0.22161289673089854,0.20553845186150582,1.0,75,N_3pct,pseeiip,pseeiip,420,64,,
1.0,0.9802122828220223,0.9741558354989897,0.1976109308479187,0.22735067407426043,0.3427616710704689,1.0,75,trim_5bp,ck4,CK4,420,136,,
1.0,0.9930388992187541,0.9910069533828152,0.11726594339554285,0.13411209495505483,0.11612887561315323,1.0,75,trim_5bp,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9926839637871525,0.9897482796947398,0.11999527796902326,0.1431902252594913,0.10937841712096029,1.0,75,trim_5bp,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9670457349308752,0.951513019849745,0.2548625053651135,0.3114064131056678,0.33265193669911547,1.0,75,trim_5bp,ncp_anf,ncp_anf,420,300,,
1.0,0.9859133198808522,0.978030803026637,0.165552168621225,0.20961483055820057,0.20570352880319304,1.0,75,trim_5bp,pseeiip,pseeiip,420,64,,
1.0,0.9459201321554281,0.8862909286841204,0.3164566647977056,0.4768812004363005,0.3118332513712252,1.0,75,substitution_1pct_N_3pct,ck4,CK4,420,136,,
1.0,0.9810969774141782,0.960826297386511,0.18775875562274055,0.27990562992599893,0.10614984273051097,1.0,75,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.985079360746976,0.9690269149288517,0.1665433142516566,0.24888977050305405,0.09794978739791056,1.0,75,substitution_1pct_N_3pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9801733310492845,0.9640011161608331,0.1939982939598125,0.2683239915197623,0.3369502303222903,1.0,75,substitution_1pct_N_3pct,ncp_anf,ncp_anf,420,300,,
1.0,0.9716644057757352,0.9387552076375256,0.22844483275867852,0.3499833970574869,0.19484103116864054,1.0,75,substitution_1pct_N_3pct,pseeiip,pseeiip,420,64,,
1.0,0.9304046513436735,0.902388235798836,0.37036491088350176,0.4418410666834419,0.29621242335810516,1.0,75,local_mismatch_6bp,ck4,CK4,420,136,,
1.0,0.9765272515970148,0.967278946608856,0.2151080609382012,0.25581646571927114,0.10063437734006496,1.0,75,local_mismatch_6bp,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.976876696856778,0.9670259528180266,0.21324615807500832,0.2568035946193315,0.09135726099455041,1.0,75,local_mismatch_6bp,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9492551372324751,0.9405297391600561,0.31811615289635814,0.34487754390935355,0.29980354112039476,1.0,75,local_mismatch_6bp,ncp_anf,ncp_anf,420,300,,
1.0,0.9556737468455643,0.9334391303221033,0.29447305042250604,0.3648585192607982,0.17627987597229552,1.0,75,local_mismatch_6bp,pseeiip,pseeiip,420,64,,
1.0,0.9835427746426538,0.9409695146110356,0.12527953447754986,0.3435996479356057,0.33943282012151477,1.0,75,short_indel,ck4,CK4,420,136,,
1.0,0.9944800888961243,0.9801775287672465,0.07259741383255863,0.1991102587150544,0.11520319927230133,1.0,75,short_indel,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9958447379376729,0.9847025026082676,0.062376038720989097,0.17491424708242392,0.10908902159178886,1.0,75,short_indel,pseknc_k3_l3,pseknc_k3_l3,420,67,,
0.861904761904762,0.8663622424808507,0.5735557794384668,0.3571540722720799,0.9235192616347068,0.21944309406674908,0.861904761904762,75,short_indel,ncp_anf,ncp_anf,420,300,,
1.0,0.9920354462523905,0.9698999566767095,0.08606873140247417,0.24535702244150961,0.2076211709646366,1.0,75,short_indel,pseeiip,pseeiip,420,64,,
