retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
0.04523809523809524,0.9979295530623001,0.9974603041796429,0.06424325955989407,0.07126984836471814,-0.00036318452230131435,0.04285714285714286,68,substitution_1pct_N_3pct,p,P,420,11
0.95,0.9989006346603284,0.997810526546429,0.04595210398718773,0.06617356913460887,0.0012797768197255336,0.95,68,substitution_1pct_N_3pct,msp,MSP,420,75
1.0,0.9696108821096112,0.9373364722303101,0.2382865654316167,0.3540141979168076,0.16329051039365766,1.0,68,substitution_1pct_N_3pct,ck4_p,CK4+P,420,147
1.0,0.9700964229086253,0.9379125319481276,0.2360479730616946,0.35238272465146253,0.16551760140008392,1.0,68,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,420,211
0.9119047619047619,0.9984150938613143,0.9978262537314498,0.05609476991950352,0.06593536226237526,0.0006747209461794031,0.9119047619047619,68,substitution_1pct_N_3pct,p_msp,P+MSP,420,86
1.0,0.9793741329598504,0.9579211425912139,0.1965285820616509,0.29009810609738285,0.11078381396319327,1.0,68,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9178519667598184,0.8878390613346814,0.4026730980365958,0.47362624710979884,0.3001953295753228,1.0,68,local_mismatch_6bp,ck4,CK4,420,136
0.09285714285714286,0.9998725633437048,0.999596644571877,0.014172409469912686,0.028402588972828113,-0.00010010313841013791,0.09047619047619047,68,local_mismatch_6bp,p,P,420,11
0.861904761904762,0.9991651779945804,0.9976779190004981,0.036903156954781316,0.06814807812352126,0.0010121595896593998,0.861904761904762,68,local_mismatch_6bp,msp,MSP,420,75
1.0,0.9588622650517615,0.9439100517829819,0.28496032508105124,0.33493260383458423,0.15058948439426845,1.0,68,local_mismatch_6bp,ck4_p,CK4+P,420,147
1.0,0.9585085723771994,0.9432185045167473,0.28619697442940484,0.3369910841546935,0.15273366153258636,1.0,68,local_mismatch_6bp,ck4_msp,CK4+MSP,420,211
0.8595238095238096,0.9995188706691426,0.9986361696780774,0.0280440027745226,0.052226839320583,0.0005690234734664601,0.8595238095238096,68,local_mismatch_6bp,p_msp,P+MSP,420,86
1.0,0.9722965693660346,0.9620983643545328,0.233862781196838,0.275323936454959,0.10213891434768656,1.0,68,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9852440277806417,0.9444616918229475,0.11299972412352967,0.3332815870382771,0.3570433141056252,1.0,68,short_indel,ck4,CK4,420,136
0.7428571428571429,0.9999942975183016,0.9999802607279934,0.002166053388068199,0.0062831840805333645,1.9692876212978883e-05,0.7119047619047619,68,short_indel,p,P,420,11
1.0,0.9998957287724348,0.9996042509302919,0.009447069182168274,0.02813352343277381,0.0016610032247673667,1.0,68,short_indel,msp,MSP,420,75
1.0,0.9926191626494718,0.9722250492452622,0.07991988894655513,0.23569026599046816,0.17907960164409722,1.0,68,short_indel,ck4_p,CK4+P,420,147
1.0,0.9925698782765383,0.9721507281328248,0.08023113977995268,0.23600538794092385,0.1814551912611083,1.0,68,short_indel,ck4_msp,CK4+MSP,420,211
1.0,0.9999450131453683,0.9997967766146646,0.0068801579629049715,0.020160503683913988,0.0009525789140715388,1.0,68,short_indel,p_msp,P+MSP,420,86
1.0,0.9950446846904594,0.9814310739712439,0.0655222590157035,0.19271183565453548,0.12132570595253728,1.0,68,short_indel,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9787174786513634,0.9237529647237859,0.14054656768563753,0.39050488295731717,0.34794837254765243,1.0,69,substitution_1pct,ck4,CK4,420,136
0.6047619047619047,0.9999870377242189,0.999948578007452,0.003315964222477772,0.010141198756234452,1.0270850572352553e-05,0.5761904761904761,69,substitution_1pct,p,P,420,11
1.0,0.9999263650473186,0.9997390371832714,0.008169563257279725,0.022844649912577432,0.0016836951830389768,1.0,69,substitution_1pct,msp,MSP,420,75
1.0,0.9893522581877913,0.9618485314848916,0.09942164920617425,0.27622985016774887,0.17449425624291734,1.0,69,substitution_1pct,ck4_p,CK4+P,420,147
1.0,0.989321921849341,0.9617952379160116,0.0995815206669193,0.2764226894081369,0.17692217140434996,1.0,69,substitution_1pct,ck4_msp,CK4+MSP,420,211
1.0,0.9999567013857688,0.9998453591693601,0.006258970666056148,0.017586016926665855,0.0009642761571361791,1.0,69,substitution_1pct,p_msp,P+MSP,420,86
1.0,0.9928769604743003,0.974512615848532,0.08133491458410666,0.2257758947464721,0.11827391307446833,1.0,69,substitution_1pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9645974725971873,0.9499418827503915,0.26364124404140576,0.3164114720094387,0.3420572152802433,1.0,69,N_3pct,ck4,CK4,420,136
0.047619047619047616,0.9980013476173432,0.9975835162767996,0.06315161435624966,0.06951954640169086,-0.00033354878396091596,0.047619047619047616,69,N_3pct,p,P,420,11
0.9642857142857143,0.9989869054440259,0.9978883050032825,0.043950421886113554,0.0649876140873208,0.0013589375112973913,0.9642857142857143,69,N_3pct,msp,MSP,420,75
1.0,0.9812994101072653,0.9739502596694164,0.19183227821588694,0.22825310656257755,0.17173865501224073,1.0,69,N_3pct,ck4_p,CK4+P,420,147
1.0,0.9817921890206067,0.9745043460777046,0.18919274541824557,0.2258124668849533,0.17407907816694035,1.0,69,N_3pct,ck4_msp,CK4+MSP,420,211
0.9166666666666666,0.9984941265306846,0.9978775213031665,0.05467977037505297,0.065153326020719,0.0007050876044241411,0.9166666666666666,69,N_3pct,p_msp,P+MSP,420,86
1.0,0.9871952418861855,0.9823165264049905,0.15882208276290186,0.1880610119893689,0.11651235048846542,1.0,69,N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9771415883735417,0.9698552808165066,0.2122452018257772,0.2455390544244462,0.3506972073576339,1.0,69,trim_5bp,ck4,CK4,420,136
0.28095238095238095,0.9999256834260053,0.9998574433957157,0.011883619277221502,0.016885171842922986,-7.271660548218997e-06,0.2785714285714286,69,trim_5bp,p,P,420,11
0.7904761904761904,0.9987504603393723,0.9977881494006902,0.04879212703759868,0.06651081893539379,0.0006532092312007351,0.7904761904761904,69,trim_5bp,msp,MSP,420,75
