split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.925,0.9247127807887233,51,right,ck4,CK4,180,136,0.03685138655950442,0.03717604554096261
holdout,logistic,0.6,0.5998888580161156,51,right,p,P,180,11,,
5fold_grouped_cv,logistic,0.6222222222222222,0.6214271920902692,51,right,p,P,180,11,0.05786851848888793,0.05805579065477648
holdout,logistic,1.0,1.0,51,right,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,51,right,msp,MSP,180,75,0.010393492741038736,0.010402379395098641
holdout,logistic,0.875,0.8749218261413383,51,right,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9416666666666668,0.9415909373572824,51,right,ck4_p,CK4+P,180,147,0.018425693279752225,0.018487743034133173
holdout,logistic,1.0,1.0,51,right,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9944444444444445,0.9944401544401543,51,right,ck4_msp,CK4+MSP,180,211,0.011111111111111117,0.011119691119691133
holdout,logistic,1.0,1.0,51,right,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,51,right,p_msp,P+MSP,180,86,0.010393492741038726,0.010400659235583804
holdout,logistic,1.0,1.0,51,right,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9944444444444445,0.9944401544401543,51,right,ck4_p_msp,CK4P-MSP,180,222,0.011111111111111117,0.011119691119691133
holdout,logistic,0.9416666666666667,0.9416301855326246,52,center,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9444444444444444,0.9443271908342595,52,center,ck4,CK4,180,136,0.029133579115837544,0.029179446720534637
holdout,logistic,0.6583333333333333,0.6571667479618145,52,center,p,P,180,11,,
5fold_grouped_cv,logistic,0.6277777777777778,0.6265355716729556,52,center,p,P,180,11,0.013608276348795387,0.01279581204944483
holdout,logistic,0.9833333333333333,0.9833287024173382,52,center,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9777777777777779,0.9777380161683933,52,center,msp,MSP,180,75,0.018839805508681317,0.01890147664197955
holdout,logistic,0.9666666666666667,0.9666574048346763,52,center,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9583333333333334,0.9582801982101531,52,center,ck4_p,CK4+P,180,147,0.029133579115837544,0.02919551180399899
holdout,logistic,0.9916666666666667,0.9916660879227724,52,center,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888803088803089,52,center,ck4_msp,CK4+MSP,180,211,0.013608276348795441,0.01361878467030031
holdout,logistic,0.975,0.9749843652282677,52,center,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9777777777777779,0.9777412342923908,52,center,p_msp,P+MSP,180,86,0.016666666666666698,0.016734394235978646
holdout,logistic,0.9916666666666667,0.9916660879227724,52,center,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861019951623848,52,center,ck4_p_msp,CK4P-MSP,180,222,0.012422599874998837,0.012432193032727345
holdout,logistic,0.9333333333333333,0.9331662489557226,52,jittered,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9111111111111111,0.910920321524219,52,jittered,ck4,CK4,180,136,0.025760051376376984,0.025905674930503414
holdout,logistic,0.5666666666666667,0.5655806182121972,52,jittered,p,P,180,11,,
5fold_grouped_cv,logistic,0.6472222222222224,0.6454761786050438,52,jittered,p,P,180,11,0.11131924949729934,0.11297031103700392
holdout,logistic,0.9166666666666666,0.9162946428571428,52,jittered,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9111111111111111,0.9106833539839261,52,jittered,msp,MSP,180,75,0.03239417719358501,0.0326017167970163
holdout,logistic,0.925,0.9249530956848031,52,jittered,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.913888888888889,0.9136609529146842,52,jittered,ck4_p,CK4+P,180,147,0.01842569327975222,0.018489792057580917
holdout,logistic,0.9833333333333333,0.9833333333333333,52,jittered,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.961111111111111,0.9610896486524669,52,jittered,ck4_msp,CK4+MSP,180,211,0.01619708859679249,0.01620170786854816
holdout,logistic,0.9416666666666667,0.9414674935544561,52,jittered,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9277777777777778,0.927612127610239,52,jittered,p_msp,P+MSP,180,86,0.016197088596792492,0.016312226590689347
