length,local_mode,binset,bins,max_bin_count,gamma,n_triplets,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,k_dim,p_dim,m_dim,total_dim,split,classifier,accuracy,macro_f1,accuracy_std,macro_f1_std
53,center,2,2,2,1.0,180,0.36435031142303054,0.2612132380511226,-0.10313707337190796,0.7254768869296734,136,11,10,157,5fold_grouped_cv,logistic,0.9388888888888889,0.9385165317905256,0.03239417719358502,0.03284457573286094
53,center,2_3,2+3,3,1.0,180,0.36447819772874723,0.261391146201468,-0.10308705152727929,0.7257334217193675,136,11,25,172,holdout,logistic,0.9916666666666667,0.9916660879227724,,
53,center,2_3,2+3,3,1.0,180,0.36447819772874723,0.261391146201468,-0.10308705152727929,0.7257334217193675,136,11,25,172,5fold_grouped_cv,logistic,0.986111111111111,0.9860955464771954,0.0152145154862546,0.01524097914422085
53,center,2_3_4,2+3+4,4,1.0,180,0.36461560246574254,0.2616857102477157,-0.10292989221802683,0.7262593598196836,136,11,45,192,holdout,logistic,0.9916666666666667,0.9916660879227724,,
53,center,2_3_4,2+3+4,4,1.0,180,0.36461560246574254,0.2616857102477157,-0.10292989221802683,0.7262593598196836,136,11,45,192,5fold_grouped_cv,logistic,0.9833333333333334,0.983314014635274,0.016197088596792496,0.016222313124866064
53,center,2_3_4_6,2+3+4+6,6,1.0,180,0.3648268422532564,0.2620902901392995,-0.10273655211395687,0.7269356394724769,136,11,75,222,holdout,logistic,0.9916666666666667,0.9916660879227724,,
53,center,2_3_4_6,2+3+4+6,6,1.0,180,0.3648268422532564,0.2620902901392995,-0.10273655211395687,0.7269356394724769,136,11,75,222,5fold_grouped_cv,logistic,0.9805555555555557,0.9805357009173499,0.01416394309331329,0.014188789501230384
53,jittered,2,2,2,1.0,180,0.3590025499727951,0.2611510028518988,-0.09785154712089626,0.7353613426075815,136,11,10,157,holdout,logistic,0.9416666666666667,0.9416301855326246,,
53,jittered,2,2,2,1.0,180,0.3590025499727951,0.2611510028518988,-0.09785154712089626,0.7353613426075815,136,11,10,157,5fold_grouped_cv,logistic,0.9472222222222223,0.946991552909798,0.026931554763424063,0.0272412957365751
53,jittered,2_3,2+3,3,1.0,180,0.35911145610416767,0.26139044383408205,-0.09772101227008562,0.7358078440606616,136,11,25,172,holdout,logistic,0.9166666666666666,0.9165739710789766,,
