retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.991703913964492,0.9892887444547641,0.12808025191988634,0.1463642952899676,0.12089608370082758,1.0,65,trim_5bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9916490780445643,0.9891875967344324,0.12851004214407155,0.14705375241424715,0.12114535009095806,1.0,65,trim_5bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9915705700133498,0.9891016585639794,0.12912506506475172,0.1476369841437068,0.12141599143196118,1.0,65,trim_5bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9913929114951746,0.9888711530274691,0.1305028395264924,0.14919012428663445,0.12183986716419465,1.0,65,trim_5bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.979592439477445,0.9616043371651642,0.19649916458862152,0.2771122148452891,0.11181094072073228,1.0,65,substitution_1pct_N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9795229324304898,0.9615023688321814,0.19687606494217375,0.27748000981238996,0.11208281264190426,1.0,65,substitution_1pct_N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.979451765332459,0.9614418323546968,0.197253003769406,0.27769798137879687,0.11242397501227483,1.0,65,substitution_1pct_N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9793397454330713,0.9612719174531629,0.19784762566308264,0.27830923980919914,0.112980038029129,1.0,65,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9709051130320152,0.9602987437103052,0.23967629581947156,0.28178451443264313,0.10097542101650835,1.0,65,local_mismatch_6bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9708559139063039,0.9602897088460187,0.23988300812878333,0.28181656619709555,0.10123550432923548,1.0,65,local_mismatch_6bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9708075267798947,0.9602226945873213,0.24008289130517016,0.28205425839261516,0.10151125470620015,1.0,65,local_mismatch_6bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9707189442693023,0.9601406080212566,0.24045519066022966,0.28234514669863525,0.10203143739375685,1.0,65,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
