length,representation,representation_label,n_cells,l2_delta_mean,paired_cosine_mean,retrieval_top1_mean,n_features
62,ck4,CK4,6,0.2616377989028346,0.9549861759125293,1.0,136
62,ck4_msp,CK4+MSP,6,0.18711882257372103,0.9770544020456738,1.0,211
62,ck4_p,CK4+P,6,0.18697537196193584,0.9770676693995747,1.0,147
62,ck4_p_msp,CK4P-MSP,6,0.15436492247944236,0.9844193223259893,1.0,222
62,msp,MSP,6,0.03524561449149854,0.9991226281788183,0.9182539682539682,75
62,p,P,6,0.02882801580656796,0.9991491628866198,0.3055555555555556,11
62,p_msp,P+MSP,6,0.034171101805208444,0.9991358955327191,0.9051587301587302,86
63,ck4,CK4,6,0.2550996845928573,0.9567616512783541,1.0,136
63,ck4_msp,CK4+MSP,6,0.18246130931227975,0.9779603148242194,1.0,211
63,ck4_p,CK4+P,6,0.18233851151053018,0.9779667680096802,1.0,147
63,ck4_p_msp,CK4P-MSP,6,0.15054957240722952,0.9850308381298151,1.0,222
63,msp,MSP,6,0.034585322484548014,0.9991589783700846,0.9265873015873015,75
63,p,P,6,0.028393215683915812,0.9991718847410062,0.2984126984126984,11
63,p_msp,P+MSP,6,0.03356868576421213,0.9991654315555453,0.9091269841269841,86
64,ck4,CK4,6,0.25699086579477043,0.9569001040088274,1.0,136
64,ck4_msp,CK4+MSP,6,0.18380265105159022,0.9780329546210229,1.0,211
64,ck4_p,CK4+P,6,0.18362765351715973,0.9780478825028457,1.0,147
64,ck4_p_msp,CK4P-MSP,6,0.15160728890235395,0.9850871900796365,1.0,222
64,msp,MSP,6,0.034579041486949146,0.9991658052332181,0.9242063492063491,75
64,p,P,6,0.02814634591120453,0.9991956609968639,0.2888888888888889,11
64,p_msp,P+MSP,6,0.03344607433874495,0.9991807331150411,0.915079365079365,86
65,ck4,CK4,6,0.24876271296808536,0.9590842492274013,1.0,136
65,ck4_msp,CK4+MSP,6,0.17781057903729158,0.9791609053547291,1.0,211
65,ck4_p,CK4+P,6,0.1778043622437546,0.9791503002434984,1.0,147
65,ck4_p_msp,CK4P-MSP,6,0.14671000595774478,0.9858460539896846,1.0,222
65,msp,MSP,6,0.03296845476385747,0.9992375614820568,0.9349206349206348,75
65,p,P,6,0.027674019020742444,0.9992163512595953,0.3123015873015873,11
65,p_msp,P+MSP,6,0.03220840166682752,0.9992269563708261,0.923015873015873,86
