split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.998,0.9979997999799981,100,center,property_channels,500,500,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,1.0,1.0,100,center,one_hot,500,500,,
holdout,logistic,1.0,1.0,100,center,one_hot,500,500,,
5fold_grouped_cv,nearest_centroid,0.998,0.9979997999799981,100,center,one_hot,500,500,0.0040000000000000036,0.004000400040003971
5fold_grouped_cv,logistic,0.998,0.9979997999799981,100,center,one_hot,500,500,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,1.0,1.0,100,center,base_property,500,1000,,
holdout,logistic,1.0,1.0,100,center,base_property,500,1000,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,center,base_property,500,1000,0.0,0.0
5fold_grouped_cv,logistic,0.998,0.9979997999799981,100,center,base_property,500,1000,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,0.9642857142857143,0.9642654566080544,100,center,kmer_property,500,1536,,
holdout,logistic,1.0,1.0,100,center,kmer_property,500,1536,,
5fold_grouped_cv,nearest_centroid,0.9620000000000001,0.9619853898919273,100,center,kmer_property,500,1536,0.017204650534085267,0.017216474278320144
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,100,center,kmer_property,500,1536,0.00489897948556636,0.004899469432509571
holdout,nearest_centroid,0.9464285714285714,0.9463354037267081,100,jittered,ckmer4_count_l2,500,136,,
holdout,logistic,0.9583333333333334,0.958331856996067,100,jittered,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.9359999999999999,0.9357220037862832,100,jittered,ckmer4_count_l2,500,136,0.013564659966250506,0.013789443470215558
5fold_grouped_cv,logistic,0.9399999999999998,0.9398941496896447,100,jittered,ckmer4_count_l2,500,136,0.012649110640673493,0.01266953387134547
holdout,nearest_centroid,0.9583333333333334,0.9582608695652174,100,jittered,ckmer4_property_l2,500,147,,
holdout,logistic,0.9642857142857143,0.9642806520198441,100,jittered,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.9359999999999999,0.9357220037862832,100,jittered,ckmer4_property_l2,500,147,0.013564659966250506,0.013789443470215558
5fold_grouped_cv,logistic,0.946,0.9459158505945624,100,jittered,ckmer4_property_l2,500,147,0.01496662954709573,0.015052649473812027
holdout,nearest_centroid,0.9464285714285714,0.9463354037267081,100,jittered,ck4p_msp,500,222,,
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.9400000000000001,0.9397416615785469,100,jittered,ck4p_msp,500,222,0.018973665961010258,0.01919784442931051
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,ck4p_msp,500,222,0.007483314773547889,0.00748791839453844
holdout,nearest_centroid,0.6369047619047619,0.6368918966800128,100,jittered,cspaced_property_l2,500,147,,
holdout,logistic,0.6309523809523809,0.6309523809523809,100,jittered,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.608,0.6070482727288846,100,jittered,cspaced_property_l2,500,147,0.038157568056677825,0.03897384428309849
5fold_grouped_cv,logistic,0.652,0.6516926146087496,100,jittered,cspaced_property_l2,500,147,0.029257477676655583,0.0291273705303269
holdout,nearest_centroid,0.8154761904761905,0.8146817065793688,100,jittered,property_channels,500,500,,
holdout,logistic,0.9166666666666666,0.916083916083916,100,jittered,property_channels,500,500,,
5fold_grouped_cv,nearest_centroid,0.86,0.8596712419936525,100,jittered,property_channels,500,500,0.014142135623730963,0.014378925864224531
5fold_grouped_cv,logistic,0.932,0.9317397188425371,100,jittered,property_channels,500,500,0.01469693845669903,0.014874047452188023
holdout,nearest_centroid,0.7321428571428571,0.7321333664032881,100,jittered,one_hot,500,500,,
holdout,logistic,0.8452380952380952,0.8446878111221732,100,jittered,one_hot,500,500,,
5fold_grouped_cv,nearest_centroid,0.778,0.7775282188386999,100,jittered,one_hot,500,500,0.03370459909270542,0.033871437573866445
5fold_grouped_cv,logistic,0.8559999999999999,0.8541420997657188,100,jittered,one_hot,500,500,0.01019803902718558,0.010934081625187452
holdout,nearest_centroid,0.7738095238095238,0.7717391304347826,100,jittered,base_property,500,1000,,
holdout,logistic,0.9047619047619048,0.9042735042735043,100,jittered,base_property,500,1000,,
5fold_grouped_cv,nearest_centroid,0.842,0.8418129290754994,100,jittered,base_property,500,1000,0.017204650534085267,0.017219528169457744
5fold_grouped_cv,logistic,0.9,0.8992600800152811,100,jittered,base_property,500,1000,0.02280350850198278,0.023371159876234174
holdout,nearest_centroid,0.6488095238095238,0.6442594121236047,100,jittered,kmer_property,500,1536,,
holdout,logistic,0.9285714285714286,0.9285309132161089,100,jittered,kmer_property,500,1536,,
5fold_grouped_cv,nearest_centroid,0.7779999999999999,0.7772423068264669,100,jittered,kmer_property,500,1536,0.023999999999999983,0.02375412763620707
5fold_grouped_cv,logistic,0.93,0.9298985605698414,100,jittered,kmer_property,500,1536,0.021908902300206614,0.02199906706610764
holdout,nearest_centroid,0.9345238095238095,0.9344657611972056,100,left,ckmer4_count_l2,500,136,,
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.9360000000000002,0.9357356069320353,100,left,ckmer4_count_l2,500,136,0.01743559577416266,0.0175774632789022
5fold_grouped_cv,logistic,0.9440000000000002,0.9439410771899801,100,left,ckmer4_count_l2,500,136,0.025768197453450225,0.02582148443660233
holdout,nearest_centroid,0.9404761904761905,0.9404001702852277,100,left,ckmer4_property_l2,500,147,,
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.938,0.9377737214190003,100,left,ckmer4_property_l2,500,147,0.013266499161421568,0.01335222954229772
5fold_grouped_cv,logistic,0.95,0.9499701681786024,100,left,ckmer4_property_l2,500,147,0.019999999999999987,0.020000806493340077
holdout,nearest_centroid,0.9464285714285714,0.9463810773431682,100,left,ck4p_msp,500,222,,
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.942,0.941799430492696,100,left,ck4p_msp,500,222,0.017204650534085226,0.017311289427981595
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4p_msp,500,222,0.0040000000000000036,0.004002801240508269
holdout,nearest_centroid,0.625,0.6233854036935558,100,left,cspaced_property_l2,500,147,,
holdout,logistic,0.7023809523809523,0.7008547008547008,100,left,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.62,0.6192574526983379,100,left,cspaced_property_l2,500,147,0.06387487769068524,0.0640117653360571
5fold_grouped_cv,logistic,0.6699999999999999,0.668509884094715,100,left,cspaced_property_l2,500,147,0.04335896677735759,0.04381244260921788
holdout,nearest_centroid,1.0,1.0,100,left,property_channels,500,500,,
holdout,logistic,1.0,1.0,100,left,property_channels,500,500,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,left,property_channels,500,500,0.0,0.0
5fold_grouped_cv,logistic,1.0,1.0,100,left,property_channels,500,500,0.0,0.0
holdout,nearest_centroid,1.0,1.0,100,left,one_hot,500,500,,
holdout,logistic,1.0,1.0,100,left,one_hot,500,500,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,left,one_hot,500,500,0.0,0.0
5fold_grouped_cv,logistic,1.0,1.0,100,left,one_hot,500,500,0.0,0.0
holdout,nearest_centroid,1.0,1.0,100,left,base_property,500,1000,,
holdout,logistic,1.0,1.0,100,left,base_property,500,1000,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,left,base_property,500,1000,0.0,0.0
5fold_grouped_cv,logistic,1.0,1.0,100,left,base_property,500,1000,0.0,0.0
holdout,nearest_centroid,0.9702380952380952,0.9702286018075492,100,left,kmer_property,500,1536,,
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,kmer_property,500,1536,,
5fold_grouped_cv,nearest_centroid,0.966,0.9659869905321832,100,left,kmer_property,500,1536,0.013564659966250548,0.013576176305742734
5fold_grouped_cv,logistic,0.998,0.9979997999799981,100,left,kmer_property,500,1536,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,0.9285714285714286,0.9283174512871568,100,right,ckmer4_count_l2,500,136,,
holdout,logistic,0.9761904761904762,0.9761904761904762,100,right,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.932,0.9315302358077409,100,right,ckmer4_count_l2,500,136,0.02993325909419151,0.03040347711577873
5fold_grouped_cv,logistic,0.9559999999999998,0.9559209725139108,100,right,ckmer4_count_l2,500,136,0.013564659966250548,0.013628137278632336
holdout,nearest_centroid,0.9345238095238095,0.9343353587037629,100,right,ckmer4_property_l2,500,147,,
holdout,logistic,0.9583333333333334,0.958331856996067,100,right,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.9279999999999999,0.9273601672749356,100,right,ckmer4_property_l2,500,147,0.034292856398964476,0.03492648530964157
5fold_grouped_cv,logistic,0.958,0.9579200101093068,100,right,ckmer4_property_l2,500,147,0.011661903789690611,0.011709947136749404
holdout,nearest_centroid,0.9345238095238095,0.9343353587037629,100,right,ck4p_msp,500,222,,
holdout,logistic,1.0,1.0,100,right,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.938,0.9376077011400851,100,right,ck4p_msp,500,222,0.02785677655436821,0.028253066999242356
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,ck4p_msp,500,222,0.006324555320336764,0.006327086325664201
holdout,nearest_centroid,0.5416666666666666,0.5412603283804389,100,right,cspaced_property_l2,500,147,,
holdout,logistic,0.6369047619047619,0.6358597164481399,100,right,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.562,0.5607819285214639,100,right,cspaced_property_l2,500,147,0.06705221845696085,0.06720720765698614
5fold_grouped_cv,logistic,0.66,0.6589376287958573,100,right,cspaced_property_l2,500,147,0.05692099788303084,0.0572022918409393
holdout,nearest_centroid,1.0,1.0,100,right,property_channels,500,500,,
holdout,logistic,1.0,1.0,100,right,property_channels,500,500,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,right,property_channels,500,500,0.0,0.0
5fold_grouped_cv,logistic,1.0,1.0,100,right,property_channels,500,500,0.0,0.0
holdout,nearest_centroid,1.0,1.0,100,right,one_hot,500,500,,
holdout,logistic,1.0,1.0,100,right,one_hot,500,500,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,right,one_hot,500,500,0.0,0.0
5fold_grouped_cv,logistic,1.0,1.0,100,right,one_hot,500,500,0.0,0.0
holdout,nearest_centroid,1.0,1.0,100,right,base_property,500,1000,,
holdout,logistic,1.0,1.0,100,right,base_property,500,1000,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,right,base_property,500,1000,0.0,0.0
5fold_grouped_cv,logistic,1.0,1.0,100,right,base_property,500,1000,0.0,0.0
holdout,nearest_centroid,0.9523809523809523,0.9523742026931254,100,right,kmer_property,500,1536,,
holdout,logistic,0.9940476190476191,0.9940474081422952,100,right,kmer_property,500,1536,,
5fold_grouped_cv,nearest_centroid,0.958,0.957993798419458,100,right,kmer_property,500,1536,0.024819347291981694,0.02482199109388155
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,100,right,kmer_property,500,1536,0.00489897948556636,0.004899469432509571
