representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
minhash_k5_s128,mlp,160,2,128,0.625,0.6,target_background,75,clean,target_binary
eiip_l2,nearest_centroid,160,2,75,0.4375,0.42527716186252773,target_background,75,clean,target_binary
eiip_l2,logistic,160,2,75,0.4375,0.4313295304958315,target_background,75,clean,target_binary
eiip_l2,mlp,160,2,75,0.5625,0.5151515151515151,target_background,75,clean,target_binary
eiip_summary_l2,nearest_centroid,160,2,8,0.7916666666666666,0.7902097902097902,target_background,75,clean,target_binary
eiip_summary_l2,logistic,160,2,8,0.7291666666666666,0.7281045751633988,target_background,75,clean,target_binary
eiip_summary_l2,mlp,160,2,8,0.5625,0.5577007459412022,target_background,75,clean,target_binary
ckmer5_count_l2,nearest_centroid,2252,30,512,0.29289940828402367,0.27620081669004215,label_probe,75,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.23076923076923078,0.21917759842490867,label_probe,75,N_3pct,label
ckmer5_count_l2,mlp,2252,30,512,0.20414201183431951,0.1884439430316078,label_probe,75,N_3pct,label
ckmer7_count_l2,nearest_centroid,2252,30,8183,0.21005917159763313,0.19661485958903016,label_probe,75,N_3pct,label
ckmer7_count_l2,logistic,2252,30,8183,0.1952662721893491,0.17816627268087146,label_probe,75,N_3pct,label
ckmer7_count_l2,mlp,2252,30,8183,0.11982248520710059,0.0992529020710766,label_probe,75,N_3pct,label
cspaced_count_l2,nearest_centroid,2252,30,136,0.17011834319526628,0.15495602333431713,label_probe,75,N_3pct,label
cspaced_count_l2,logistic,2252,30,136,0.13609467455621302,0.12852293185180172,label_probe,75,N_3pct,label
cspaced_count_l2,mlp,2252,30,136,0.14053254437869822,0.12843441578523487,label_probe,75,N_3pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1804733727810651,0.16392206642703339,label_probe,75,N_3pct,label
cspaced_property_l2,logistic,2252,30,147,0.14053254437869822,0.13360660171488223,label_probe,75,N_3pct,label
cspaced_property_l2,mlp,2252,30,147,0.10355029585798817,0.08332587566625807,label_probe,75,N_3pct,label
hybrid_ckmer5_csp,nearest_centroid,2252,30,659,0.29289940828402367,0.2776804569820735,label_probe,75,N_3pct,label
