length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,substitution_1pct,CK4+P_train_zscore,250,147,1.0,0.9835591332306972,0.9457048191262768,0.13098132228381923,0.3295304351075158,0.22258921167706344,1.0
75,substitution_1pct,CK4+P_unit_range,250,147,1.0,0.9875176471190451,0.9605293633107801,0.1145909963851811,0.2809619423109765,0.17728901057996976,1.0
75,substitution_1pct,CK4P-MSP_declared,250,222,1.0,0.9916672872337482,0.9736442913340739,0.09363092294172183,0.22958764109456403,0.11903125563655816,1.0
75,substitution_1pct,CK4P-MSP_train_zscore,250,222,1.0,0.9848983665862188,0.9508928045578239,0.12567937719458178,0.3133915024726526,0.2739879026290663,1.0
75,substitution_1pct,CK4P-MSP_unit_range,250,222,1.0,0.9914840776186467,0.9731535790477064,0.09474617097533479,0.23171481977660824,0.12859243638316636,1.0
75,N_3pct,P_declared,250,11,0.06,0.9982798417147312,0.9978989951438294,0.0585787866444106,0.06482290623100345,-0.000265108290631904,0.06
75,N_3pct,P_train_zscore,250,11,0.004,0.4157657429098177,0.004533684170925723,1.0539439946435352,1.4110030169264212,-0.40169096080001215,0.004
75,N_3pct,P_unit_range,250,11,0.264,0.9991679266285315,0.9989617223795971,0.04065862209417436,0.045569112826447156,-7.414709796196916e-05,0.26
75,N_3pct,MSP_declared,250,75,0.98,0.9991316304299878,0.9981636156040745,0.040676980387849976,0.06060283540870979,0.0014104182685312052,0.98
75,N_3pct,MSP_train_zscore,250,75,0.956,0.8800701990946727,0.7503527344635709,0.4699593148128674,0.7065962736210059,0.15336980014951404,0.956
75,N_3pct,MSP_unit_range,250,75,1.0,0.9980987108557341,0.9967331017285457,0.060880564080054995,0.08083189416283094,0.012012661271983156,1.0
75,N_3pct,CK4+P_declared,250,147,1.0,0.9837617023531282,0.9767135061446374,0.17868968840511865,0.21580701845105424,0.1771625377494688,1.0
75,N_3pct,CK4+P_train_zscore,250,147,0.652,0.6925046529506713,0.48670211707080213,0.7670907240206182,1.0132080821075493,0.05236862545194069,0.652
75,N_3pct,CK4+P_unit_range,250,147,1.0,0.9842057448100282,0.977190919113784,0.1761202680740074,0.21358326402466368,0.17852724369920747,1.0
75,N_3pct,CK4P-MSP_declared,250,222,1.0,0.9888850117120813,0.9841782693569544,0.14791314022975974,0.17788603507455356,0.11987118333544293,1.0
75,N_3pct,CK4P-MSP_train_zscore,250,222,0.984,0.7550265016653384,0.6050449650899432,0.6894016282226836,0.8887657384275586,0.16706787487645494,0.984
75,N_3pct,CK4P-MSP_unit_range,250,222,1.0,0.9888367334919304,0.9841669655653115,0.14822971031305446,0.1779496245144829,0.12961715838608012,1.0
75,trim_5bp,P_declared,250,11,0.376,0.9999352997478941,0.9998841959325174,0.011127455397613506,0.015218656413142078,9.532132801886028e-07,0.364
75,trim_5bp,P_train_zscore,250,11,0.232,0.8656573720678659,0.7119294135235444,0.4911011201093202,0.7590316161315078,-0.014305505623419633,0.228
75,trim_5bp,P_unit_range,250,11,0.52,0.9997510136106259,0.9994681525802412,0.021388265013610498,0.03261431231124358,6.285528284243558e-05,0.508
