representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ck4p_msp,logistic,160,2,222,0.8541666666666666,0.8535947712418301,target_background,100,clean,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.8333333333333334,0.8306878306878307,target_background,100,clean,target_binary
ckmer5_count_l2,logistic,160,2,512,0.875,0.8741258741258742,target_background,100,clean,target_binary
ck4,nearest_centroid,2252,30,136,0.30177514792899407,0.28237386481945165,label_probe,100,N_3pct,label
ck4,logistic,2252,30,136,0.28254437869822485,0.2738346555896428,label_probe,100,N_3pct,label
ck4_p,nearest_centroid,2252,30,147,0.2988165680473373,0.2797261833589426,label_probe,100,N_3pct,label
ck4_p,logistic,2252,30,147,0.27218934911242604,0.2638744121963349,label_probe,100,N_3pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.2988165680473373,0.28036831339962015,label_probe,100,N_3pct,label
ck4p_msp,logistic,2252,30,222,0.2618343195266272,0.25234960653938354,label_probe,100,N_3pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.3047337278106509,0.301745116769131,label_probe,100,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.2677514792899408,0.27128648396419786,label_probe,100,N_3pct,label
ck4,nearest_centroid,160,2,136,0.8541666666666666,0.8509977827050997,target_background,100,N_3pct,target_binary
ck4,logistic,160,2,136,0.8125,0.8117647058823529,target_background,100,N_3pct,target_binary
ck4_p,nearest_centroid,160,2,147,0.8541666666666666,0.8509977827050997,target_background,100,N_3pct,target_binary
ck4_p,logistic,160,2,147,0.8333333333333334,0.8321678321678322,target_background,100,N_3pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.8541666666666666,0.8509977827050997,target_background,100,N_3pct,target_binary
ck4p_msp,logistic,160,2,222,0.8125,0.8117647058823529,target_background,100,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.8333333333333334,0.8306878306878307,target_background,100,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8333333333333334,0.8306878306878307,target_background,100,N_3pct,target_binary
ck4,nearest_centroid,2252,30,136,0.3239644970414201,0.313265814480505,label_probe,100,substitution_1pct,label
ck4,logistic,2252,30,136,0.27366863905325445,0.27484766883870226,label_probe,100,substitution_1pct,label
ck4_p,nearest_centroid,2252,30,147,0.3239644970414201,0.31318960177014804,label_probe,100,substitution_1pct,label
ck4_p,logistic,2252,30,147,0.27071005917159763,0.27127739866827494,label_probe,100,substitution_1pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.3239644970414201,0.3130889763386408,label_probe,100,substitution_1pct,label
ck4p_msp,logistic,2252,30,222,0.2692307692307692,0.26156959968922133,label_probe,100,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.32988165680473375,0.32833122785900926,label_probe,100,substitution_1pct,label
ckmer5_count_l2,logistic,2252,30,512,0.28254437869822485,0.2851432877804628,label_probe,100,substitution_1pct,label
ck4,nearest_centroid,160,2,136,0.8541666666666666,0.8509977827050997,target_background,100,substitution_1pct,target_binary
ck4,logistic,160,2,136,0.8541666666666666,0.8535947712418301,target_background,100,substitution_1pct,target_binary
ck4_p,nearest_centroid,160,2,147,0.8541666666666666,0.8509977827050997,target_background,100,substitution_1pct,target_binary
ck4_p,logistic,160,2,147,0.8541666666666666,0.8535947712418301,target_background,100,substitution_1pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.8541666666666666,0.8509977827050997,target_background,100,substitution_1pct,target_binary
ck4p_msp,logistic,160,2,222,0.8125,0.8124185844550587,target_background,100,substitution_1pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.8333333333333334,0.8306878306878307,target_background,100,substitution_1pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8125,0.8104431768319438,target_background,100,substitution_1pct,target_binary
