retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9892771733945098,0.9778559521919715,0.1420328084249907,0.21044734960696973,0.05776274665915024,1.0,69,substitution_1pct_N_3pct,2_3,2+3,3,2.0,250,136,11,25,172
1.0,0.9689620281276375,0.9352151820593493,0.241121482710246,0.35994531560528437,0.1669624459883382,1.0,69,substitution_1pct_N_3pct,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9698805020498016,0.9371626919199918,0.23753790227960841,0.3544939096676128,0.16202799013249602,1.0,69,substitution_1pct_N_3pct,2_3_4,2+3+4,4,0.25,250,136,11,45,192
1.0,0.9723297658422391,0.9423560515483717,0.22770599433674688,0.3395291875783939,0.1488680177932489,1.0,69,substitution_1pct_N_3pct,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9790652412714428,0.9566357784840107,0.19816704626225598,0.2944876859463164,0.11266402396098482,1.0,69,substitution_1pct_N_3pct,2_3_4,2+3+4,4,1.0,250,136,11,45,192
1.0,0.9891684544152481,0.9777762297377454,0.14281234926699146,0.21082584483038427,0.05826492001416156,1.0,69,substitution_1pct_N_3pct,2_3_4,2+3+4,4,2.0,250,136,11,45,192
1.0,0.9689620281276375,0.9352151820593493,0.241121482710246,0.3599453156052844,0.1669624459883382,1.0,69,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,0.0,250,136,11,75,222
1.0,0.9698706512697659,0.9371505434388787,0.23758253791547548,0.35452810122405554,0.16207657098874728,1.0,69,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,0.25,250,136,11,75,222
1.0,0.9722936463154412,0.9423115071176246,0.2278765233203587,0.3396600645350254,0.14904597014707752,1.0,69,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,0.5,250,136,11,75,222
1.0,0.978956882691049,0.956445313335056,0.1987522504390717,0.2951344644619216,0.11319585518329255,1.0,69,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,1.0,250,136,11,75,222
1.0,0.9889517372544604,0.977440337039794,0.14441189864711032,0.2124130913223112,0.05929335552670966,1.0,69,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,2.0,250,136,11,75,222
1.0,0.9603021590068838,0.9457228835935155,0.27941531509096673,0.3294756889097497,0.15684059353933139,1.0,69,local_mismatch_6bp,2,2,2,0.0,250,136,11,10,157
1.0,0.9614959517909812,0.9473640464577121,0.27518360158785266,0.32445631915334344,0.15214638598742453,1.0,69,local_mismatch_6bp,2,2,2,0.25,250,136,11,10,157
1.0,0.9646793992152412,0.9517404807622362,0.26356704104373946,0.31067512229491834,0.13962849918233947,1.0,69,local_mismatch_6bp,2,2,2,0.5,250,136,11,10,157
1.0,0.9734338796319553,0.9637756750996755,0.22859721750448403,0.26916282801086316,0.10519810835101703,1.0,69,local_mismatch_6bp,2,2,2,1.0,250,136,11,10,157
1.0,0.986565600257027,0.9817845557954558,0.1625998411714237,0.19086876197169023,0.05349007306332056,1.0,69,local_mismatch_6bp,2,2,2,2.0,250,136,11,10,157
1.0,0.9603021590068838,0.9457228835935155,0.27941531509096673,0.32947568890974976,0.15684059353933139,1.0,69,local_mismatch_6bp,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9614921102559211,0.9473623036110541,0.27519795382018913,0.3244616898500652,0.1521707094373341,1.0,69,local_mismatch_6bp,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.9646653135866866,0.9517340903244902,0.26362194662968785,0.3106956864329899,0.13971767034739951,1.0,69,local_mismatch_6bp,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9733916227462919,0.9637565037864372,0.22878660928269262,0.2692340080447317,0.10546122201628336,1.0,69,local_mismatch_6bp,2_3,2+3,3,1.0,250,136,11,25,172
1.0,0.9864810864856997,0.981731820246954,0.16312697131771173,0.19114481574435369,0.053983130420637154,1.0,69,local_mismatch_6bp,2_3,2+3,3,2.0,250,136,11,25,172
1.0,0.9603021590068838,0.9457228835935155,0.27941531509096673,0.32947568890974976,0.15684059353933139,1.0,69,local_mismatch_6bp,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9614884993353936,0.9473595383141333,0.2752115595964116,0.3244702127871603,0.1521929742127969,1.0,69,local_mismatch_6bp,2_3_4,2+3+4,4,0.25,250,136,11,45,192
1.0,0.9646520735447528,0.951723950902447,0.26367397778440804,0.31072832116479415,0.13979875258055702,1.0,69,local_mismatch_6bp,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9733519026204903,0.9637260855203073,0.22896583767518272,0.269346980167285,0.10570037072380609,1.0,69,local_mismatch_6bp,2_3_4,2+3+4,4,1.0,250,136,11,45,192
1.0,0.9864016462340969,0.9815867970492297,0.16362343742943425,0.1919017850585458,0.05445854785548934,1.0,69,local_mismatch_6bp,2_3_4,2+3+4,4,2.0,250,136,11,45,192
1.0,0.9603021590068838,0.9457228835935155,0.27941531509096673,0.3294756889097497,0.15684059353933139,1.0,69,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,0.0,250,136,11,75,222
1.0,0.9614815225124341,0.9473574070777576,0.2752377808595039,0.3244767792712767,0.1522392745956093,1.0,69,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,0.25,250,136,11,75,222
1.0,0.9646264918605683,0.9517161363690677,0.2637741918940387,0.3107534580688866,0.1399648338304245,1.0,69,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,0.5,250,136,11,75,222
1.0,0.9732751575679369,0.9636647668699201,0.22931024239520667,0.2695745829005188,0.10618629204991964,1.0,69,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,1.0,250,136,11,75,222
1.0,0.9862481561289901,0.9813892412567631,0.16457007766055676,0.1929282473005124,0.05539343508673015,1.0,69,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,2.0,250,136,11,75,222
1.0,0.9902263567849834,0.9710266697808211,0.10119837779127967,0.2407160834232589,0.1811779111062852,1.0,69,short_indel,2,2,2,0.0,250,136,11,10,157
1.0,0.990521672477627,0.9719025144203236,0.09965846967516648,0.2370497985999055,0.17575839069269558,1.0,69,short_indel,2,2,2,0.25,250,136,11,10,157
1.0,0.9913091809913437,0.9742381001256637,0.0954306401716366,0.22698371034504872,0.16130610161455974,1.0,69,short_indel,2,2,2,0.5,250,136,11,10,157
1.0,0.9934748294040644,0.9806609608153484,0.08269698246406836,0.19666302976238978,0.12155083818063883,1.0,69,short_indel,2,2,2,1.0,250,136,11,10,157
1.0,0.9967233020231454,0.9902952518498758,0.05862095097437569,0.13931421604572047,0.061858038185158976,1.0,69,short_indel,2,2,2,2.0,250,136,11,10,157
1.0,0.9902263567849834,0.9710266697808211,0.10119837779127967,0.2407160834232589,0.1811779111062852,1.0,69,short_indel,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9905210035014355,0.9719020827047995,0.09966264925826351,0.23705161607783135,0.17578522911216424,1.0,69,short_indel,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.9913067280786407,0.974236517168742,0.09544663730039676,0.22699066978876503,0.16140474379450842,1.0,69,short_indel,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9934674706659555,0.9806562119445835,0.08275226879495474,0.19668712460113874,0.12184744112417402,1.0,69,short_indel,2_3,2+3,3,1.0,250,136,11,25,172
1.0,0.9967085845469277,0.9902857541083468,0.05877593016773323,0.13938221583010296,0.06241931228099895,1.0,69,short_indel,2_3,2+3,3,2.0,250,136,11,25,172
1.0,0.9902263567849834,0.9710266697808211,0.10119837779127967,0.2407160834232589,0.1811779111062852,1.0,69,short_indel,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9905202010452742,0.9718981108524637,0.09966741290863047,0.23706833541455574,0.17580959158987924,1.0,69,short_indel,2_3_4,2+3+4,4,0.25,250,136,11,45,192
