sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00167,69,center,ck4,CK4,0.4371268375856821,0.2886751345948129,-0.14845170299086918,0.6603921557166554,136
L69_center_00168,69,center,ck4,CK4,0.3925234117338766,0.2897688051869614,-0.1027546065469152,0.738220438640789,136
L69_center_00169,69,center,ck4,CK4,0.4196664666314054,0.3021248273535336,-0.11754163927787181,0.7199165322372324,136
L69_center_00170,69,center,ck4,CK4,0.43301270189221924,0.29159029654960794,-0.1414224053426113,0.6733989448239959,136
L69_center_00171,69,center,ck4,CK4,0.3779644730092272,0.3000209644098476,-0.0779435085993796,0.7937808599342172,136
L69_center_00172,69,center,ck4,CK4,0.3578519936133958,0.2795084971874738,-0.07834349642592203,0.7810729077268739,136
L69_center_00173,69,center,ck4,CK4,0.38375222950969073,0.32274861218395146,-0.06100361732573928,0.8410338425820174,136
L69_center_00174,69,center,ck4,CK4,0.4337163813602214,0.3409971697352367,-0.0927192116249847,0.7862215595034739,136
L69_center_00175,69,center,ck4,CK4,0.4062919594303363,0.3335959356230092,-0.07269602380732709,0.8210744216812597,136
L69_center_00176,69,center,ck4,CK4,0.3956113366690471,0.28804695577616957,-0.10756438089287751,0.728105918807727,136
L69_center_00177,69,center,ck4,CK4,0.4060183863765684,0.32092362434488714,-0.08509476203168126,0.7904164814034832,136
L69_center_00178,69,center,ck4,CK4,0.3480176247446212,0.31451028200169434,-0.03350734274292688,0.9037194085572106,136
L69_center_00179,69,center,ck4,CK4,0.4077605649301839,0.29310552433199877,-0.11465504059818515,0.7188177316317574,136
L69_center_00180,69,center,ck4,CK4,0.3479938193044573,0.29312519699047374,-0.05486862231398354,0.8423287447356087,136
L69_center_00181,69,center,ck4,CK4,0.4077605649301839,0.31943828249996997,-0.08832228243021395,0.7833967037853787,136
L69_center_00182,69,center,ck4,CK4,0.3664291996094344,0.27853060421248504,-0.08789859539694933,0.7601212035213413,136
L69_center_00183,69,center,ck4,CK4,0.40629195943033636,0.3277460420430778,-0.07854591738725858,0.8066761707581215,136
L69_center_00184,69,center,ck4,CK4,0.31695088621397555,0.29298487728669054,-0.02396600892728501,0.9243857330277178,136
L69_center_00185,69,center,ck4,CK4,0.3590600057871524,0.324281016404495,-0.03477898938265739,0.9031387823146361,136
L69_center_00186,69,center,ck4,CK4,0.44521858017661076,0.3030312971170357,-0.14218728305957506,0.6806348849970013,136
L69_center_00187,69,center,ck4,CK4,0.3865900819941633,0.3095185065884909,-0.07707157540567239,0.8006374736565642,136
L69_center_00188,69,center,ck4,CK4,0.38267999655979856,0.3313245784203318,-0.05135541813946676,0.8658006203586818,136
L69_center_00189,69,center,ck4,CK4,0.3637243891984752,0.28682334345450955,-0.07690104574396567,0.7885733043268575,136
L69_center_00190,69,center,ck4,CK4,0.4514395836007833,0.32298251745240636,-0.12845706614837693,0.7154501492231262,136
L69_center_00191,69,center,ck4,CK4,0.39646821133663623,0.33709993123162113,-0.0593682801050151,0.850257149482771,136
L69_center_00192,69,center,ck4,CK4,0.4120660855599385,0.325506096812002,-0.08655998874793652,0.7899366344834859,136
L69_center_00193,69,center,ck4,CK4,0.3893922959314143,0.3077987358695835,-0.08159356006183077,0.7904592337486762,136
L69_center_00194,69,center,ck4,CK4,0.40927240266529574,0.32599339579813985,-0.08327900686715589,0.7965193687020677,136
L69_center_00195,69,center,ck4,CK4,0.38537909336096815,0.3023530155792961,-0.08302607778167204,0.7845599846696794,136
L69_center_00196,69,center,ck4,CK4,0.39208567788745385,0.34099716973523675,-0.051088508152217105,0.8697006520934901,136
L69_center_00197,69,center,ck4,CK4,0.4092763325194412,0.325506096812002,-0.08377023570743919,0.7953210849213715,136
L69_center_00198,69,center,ck4,CK4,0.3969923420930043,0.19683118557266566,-0.20016115652033867,0.4958060010299986,136
L69_center_00199,69,center,ck4,CK4,0.390094748802747,0.3201856212896195,-0.0699091275131275,0.8207893653331967,136
L69_center_00200,69,center,ck4,CK4,0.414653261313358,0.32969023669789355,-0.08496302461546446,0.7950986220478392,136
L69_center_00201,69,center,ck4,CK4,0.30508166367190176,0.3176684061121656,0.012586742440263865,1.0412569614599985,136
L69_center_00202,69,center,ck4,CK4,0.3344588463123639,0.26479467206593765,-0.06966417424642624,0.7917107739426805,136
L69_center_00203,69,center,ck4,CK4,0.3651483716701107,0.29179750596487936,-0.07335086570523136,0.7991203812035634,136
L69_center_00204,69,center,ck4,CK4,0.3940213969076219,0.30227962081315485,-0.09174177609446704,0.767165497065694,136
L69_center_00205,69,center,ck4,CK4,0.391457489705744,0.2989852021866209,-0.09247228751912312,0.7637743817633074,136
L69_center_00206,69,center,ck4,CK4,0.4077605649301839,0.324281016404495,-0.0834795485256889,0.7952731193121088,136
L69_center_00207,69,center,ck4,CK4,0.31695088621397555,0.31562618072965154,-0.001324705484324007,0.9958204707986533,136
L69_center_00208,69,center,ck4,CK4,0.410553098880245,0.3458668633482931,-0.06468623553195191,0.8424412439989392,136
L69_center_00209,69,center,ck4,CK4,0.33916962146334717,0.31092795673025947,-0.0282416647330877,0.9167329178502512,136
L69_center_00210,69,center,ck4,CK4,0.33476421735820416,0.30557270180277796,-0.029191515555426206,0.9127997735666272,136
L69_center_00211,69,center,ck4,CK4,0.4325581281636647,0.324281016404495,-0.10827711175916965,0.7496819393526656,136
L69_center_00212,69,center,ck4,CK4,0.4060183863765684,0.3209236243448871,-0.08509476203168131,0.7904164814034831,136
L69_center_00213,69,center,ck4,CK4,0.3960590171906697,0.3145102820016944,-0.08154873518897532,0.7940995365604406,136
L69_center_00214,69,center,ck4,CK4,0.4214156539482266,0.3071475584169756,-0.114268095531251,0.7288470552513232,136
L69_center_00215,69,center,ck4,CK4,0.36970809652014647,0.32291818275369,-0.04678991376645647,0.8734409275672794,136
L69_center_00216,69,center,ck4,CK4,0.4077605649301839,0.31966374033321343,-0.08809682459697049,0.783949620993746,136
L69_center_00217,69,center,ck4,CK4,0.35297728886663715,0.35158444950497497,-0.0013928393616621793,0.9960540255546344,136
L69_center_00218,69,center,ck4,CK4,0.37977793196126386,0.31881883467423466,-0.060959097287029196,0.8394875211094498,136
L69_center_00219,69,center,ck4,CK4,0.3809828513123193,0.3079631652789652,-0.07301968603335407,0.8083386541367067,136
L69_center_00220,69,center,ck4,CK4,0.3184685068601461,0.2591498491667685,-0.05931865769337763,0.8137377592584779,136
L69_center_00221,69,center,ck4,CK4,0.408248290463863,0.325506096812002,-0.08274219365186103,0.797323845354387,136
