retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9948146657807435,0.9818982694484623,0.06917350627435316,0.19027154570166846,0.11618541227537302,1.0,75,short_indel,ck4_p_msp,CK4P-MSP,500,222
1.0,0.980584898047769,0.9438889118153043,0.1545087910604855,0.33499566369668565,0.29206270831613973,1.0,100,substitution_1pct,ck4,CK4,500,136
0.556,0.9999909860927457,0.9999681405551939,0.0031508993357478162,0.007982406903663228,1.1015186835465095e-05,0.546,100,substitution_1pct,p,P,500,11
1.0,0.9999413249142758,0.9998163076629848,0.008376551516091305,0.019167281328725954,0.001142181205070551,1.0,100,substitution_1pct,msp,MSP,500,75
1.0,0.9902879420702573,0.9719391311095582,0.10928526776067135,0.23690017457727858,0.14640352245240407,1.0,100,substitution_1pct,ck4_p,CK4+P,500,147
1.0,0.9902631114810224,0.9718492123443214,0.10943638493876778,0.23727946136907963,0.1480440184210452,1.0,100,substitution_1pct,ck4_msp,CK4+MSP,500,211
1.0,0.9999661555035109,0.9998985454749172,0.006362339492334515,0.014244604226107044,0.000650309467420717,1.0,100,substitution_1pct,p_msp,P+MSP,500,86
1.0,0.993505736351597,0.9812292583641515,0.08937669222773581,0.19375618459392513,0.09893183425270934,1.0,100,substitution_1pct,ck4_p_msp,CK4P-MSP,500,222
0.998,0.9698483871062294,0.956126701546096,0.2433837049130396,0.29622051528250193,0.2911617960582686,0.998,100,N_3pct,ck4,CK4,500,136
0.036,0.9979385648929823,0.9975668707461977,0.06415350522779113,0.06975855521979173,-0.00030959438822344596,0.036,100,N_3pct,p,P,500,11
0.97,0.9992818665514535,0.9987099836176453,0.03701718983613755,0.05079388289772102,0.0009552394098415829,0.97,100,N_3pct,msp,MSP,500,75
0.998,0.983893475999606,0.9770560029446201,0.1781127942278817,0.21421482668903244,0.1460618442083857,0.998,100,N_3pct,ck4_p,CK4+P,500,147
0.998,0.9845651268288415,0.9778294037073123,0.17421906262482528,0.21057347732740458,0.1476474714727509,0.998,100,N_3pct,ck4_msp,CK4+MSP,500,211
0.912,0.9986102157222179,0.9982756304253207,0.05260851862294014,0.058725966379846534,0.0004701639655111969,0.912,100,N_3pct,p_msp,P+MSP,500,86
0.998,0.9890229395168885,0.9845285724016655,0.14709684701425801,0.17590581135859784,0.09873525747527176,0.998,100,N_3pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.987162948359389,0.9818780342767119,0.1590761227031358,0.19037826786195589,0.30037268062733996,1.0,100,trim_5bp,ck4,CK4,500,136
0.294,0.9999472328454508,0.9999114877876943,0.010150160302695457,0.013305052593378577,5.599582577444417e-06,0.29,100,trim_5bp,p,P,500,11
0.908,0.999395714035252,0.9989013572185057,0.033949349982776364,0.046875195629711555,0.0006271983180260037,0.908,100,trim_5bp,msp,MSP,500,75
1.0,0.9935550906024199,0.9909085776466215,0.11272174440233929,0.13484370805578239,0.150531570758396,1.0,100,trim_5bp,ck4_p,CK4+P,500,147
1.0,0.9932793311973205,0.9904358419705351,0.11516048119502065,0.13830515557096515,0.15197705525714675,1.0,100,trim_5bp,ck4_msp,CK4+MSP,500,211
0.93,0.9996714734403513,0.9994293844343001,0.025102947112760354,0.033782111869732435,0.0003871215481478234,0.93,100,trim_5bp,p_msp,P+MSP,500,86
1.0,0.9955019650800306,0.9936019053556103,0.09421743645861821,0.11312024236713611,0.10154081280142331,1.0,100,trim_5bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9525902368826319,0.9111719045380847,0.2994403509566916,0.42149281176169096,0.2752858481273581,1.0,100,substitution_1pct_N_3pct,ck4,CK4,500,136
0.032,0.9979142820724339,0.9974911235338687,0.0645085630101705,0.07083609797222681,-0.0003350916524862575,0.032,100,substitution_1pct_N_3pct,p,P,500,11
0.964,0.9991954827878967,0.9984755916872626,0.03905332130836067,0.05521604846260889,0.0008967753689427273,0.964,100,substitution_1pct_N_3pct,msp,MSP,500,75
1.0,0.975252259477533,0.9546560649616915,0.2169006211883872,0.30114426681958595,0.13810841395079756,1.0,100,substitution_1pct_N_3pct,ck4_p,CK4+P,500,147
1.0,0.9758928598352643,0.9552574959233548,0.21370530990348902,0.2991404369410025,0.13967848959848192,1.0,100,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,500,211
0.886,0.9985548824301652,0.9981308425960991,0.05360072460831059,0.061141759795234986,0.00043090300903887415,0.886,100,substitution_1pct_N_3pct,p_msp,P+MSP,500,86
1.0,0.9832333339143211,0.969551739077336,0.17865911976500415,0.2467721948690203,0.09341657216417551,1.0,100,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9552728901434168,0.9391618484146104,0.2970140284256313,0.3488212189702433,0.2704483931482315,1.0,100,local_mismatch_6bp,ck4,CK4,500,136
0.112,0.9999427002085725,0.9998230836330816,0.009489843682615575,0.018810374285741387,-3.8429716044502406e-05,0.108,100,local_mismatch_6bp,p,P,500,11
0.958,0.9996234524916111,0.9989604451157987,0.02471655567450562,0.045597083253681545,0.0008460167862164159,0.958,100,local_mismatch_6bp,msp,MSP,500,75
1.0,0.9776077951759948,0.9695630011156074,0.21015905476720997,0.24672647310822196,0.13554168862541904,1.0,100,local_mismatch_6bp,ck4_p,CK4+P,500,147
1.0,0.977448171317514,0.9693067976180864,0.21091848449813735,0.24776279908428905,0.13709734690197994,1.0,100,local_mismatch_6bp,ck4_msp,CK4+MSP,500,211
0.958,0.9997830763500918,0.9993995138187042,0.01877042753618051,0.03465504679422809,0.0004768120543991341,0.958,100,local_mismatch_6bp,p_msp,P+MSP,500,86
1.0,0.9849463476145336,0.9795228279567683,0.17232630748918693,0.20237179458995394,0.09160016201717644,1.0,100,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.986778100918375,0.9601136687614271,0.12229298458190355,0.28244052980352136,0.29612384695081556,1.0,100,short_indel,ck4,CK4,500,136
0.726,0.9999954069259572,0.9999842005158964,0.002209206937281519,0.005621286046566915,1.57092760284705e-05,0.704,100,short_indel,p,P,500,11
1.0,0.9999334752302127,0.9998051995877543,0.008754341376526479,0.01973830766728744,0.0011302327157079665,1.0,100,short_indel,msp,MSP,500,75
1.0,0.9933867539221661,0.980050274177316,0.08649086468814778,0.1997484614011234,0.14843258752733984,1.0,100,short_indel,ck4_p,CK4+P,500,147
1.0,0.9933557880742938,0.9800101897108655,0.08673424579498405,0.19994904127114316,0.15005289160421179,1.0,100,short_indel,ck4_msp,CK4+MSP,500,211
1.0,0.9999644410780851,0.9998979471937202,0.006415793940879686,0.01428647930585931,0.0006464055383561665,1.0,100,short_indel,p_msp,P+MSP,500,86
1.0,0.9955689943581817,0.9866690863383117,0.07083173923585398,0.1632844961677638,0.10027493843704952,1.0,100,short_indel,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9851948600153938,0.9616593995911202,0.14659178067646372,0.27691336405620237,0.24233591523394732,1.0,150,substitution_1pct,ck4,CK4,500,136
0.566,0.9999945356133485,0.9999820417271074,0.0026586625463533614,0.005993040904922781,9.305872203483557e-06,0.564,150,substitution_1pct,p,P,500,11
1.0,0.9999625568371076,0.9998956772035043,0.007270649488431664,0.014444522740513997,0.0008085761990762963,1.0,150,substitution_1pct,msp,MSP,500,75
1.0,0.9925946978143714,0.980819070948486,0.10368596281273412,0.19586155240918118,0.12142035540775865,1.0,150,substitution_1pct,ck4_p,CK4+P,500,147
1.0,0.9925787084262507,0.9807883926016491,0.10381498010980057,0.19601814571344503,0.12263185803611756,1.0,150,substitution_1pct,ck4_msp,CK4+MSP,500,211
1.0,0.999978546225228,0.9999400014041755,0.005510675910492317,0.0109542527261348,0.0004599133770472752,1.0,150,substitution_1pct,p_msp,P+MSP,500,86
1.0,0.99505065082195,0.9871851758363833,0.08478257908143931,0.16009237974797957,0.0819153348226063,1.0,150,substitution_1pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9788075519601117,0.9690686912034568,0.2041588973611778,0.24872188013828803,0.24238221154734457,1.0,150,N_3pct,ck4,CK4,500,136
0.036,0.9983815292261423,0.9981056248442515,0.05684547583135002,0.061552823993917795,-0.0002470488393998997,0.036,150,N_3pct,p,P,500,11
0.98,0.9995520498774174,0.9991814589250609,0.029190845826337884,0.04046085726493364,0.0007046782083784902,0.98,150,N_3pct,msp,MSP,500,75
1.0,0.988594540593127,0.9836909800337168,0.14997551192335087,0.18060463953742042,0.12151002800913652,1.0,150,N_3pct,ck4_p,CK4+P,500,147
1.0,0.9891798009187646,0.9843161740087686,0.14593684073452368,0.17710915097330662,0.12264187819963081,1.0,150,N_3pct,ck4_msp,CK4+MSP,500,211
0.886,0.9989667895517799,0.9987256270397046,0.045377355385127216,0.05048510079285659,0.00034120298769336555,0.886,150,N_3pct,p_msp,P+MSP,500,86
1.0,0.9922470436878905,0.9890187850509385,0.12368852082078698,0.1481972450287248,0.08197301510446806,1.0,150,N_3pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9933264766266005,0.9909923905246097,0.11449862612480274,0.134220724571827,0.24986081705888893,1.0,150,trim_5bp,ck4,CK4,500,136
0.332,0.9999592838677083,0.9999407073664004,0.008973012088090322,0.010889682838616093,5.135512004289744e-06,0.332,150,trim_5bp,p,P,500,11
0.992,0.9997157087138809,0.9994638042500952,0.023227154319244155,0.03274737703584087,0.0006042138641002896,0.992,150,trim_5bp,msp,MSP,500,75
1.0,0.9966428802471543,0.9954785992985102,0.08121794259169036,0.09509360774725469,0.12519139863666948,1.0,150,trim_5bp,ck4_p,CK4+P,500,147
1.0,0.9965210926702407,0.9953882573136369,0.08271802836380053,0.09603845404601566,0.126273576002473,1.0,150,trim_5bp,ck4_msp,CK4+MSP,500,211
0.994,0.9998374962907947,0.9997094479347624,0.01765850712875604,0.024106077423941455,0.0003586937756673523,0.994,150,trim_5bp,p_msp,P+MSP,500,86
1.0,0.99766715640273,0.9969136886480282,0.0677425174768525,0.07856561171443464,0.08435031188548114,1.0,150,trim_5bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9630041818265633,0.9319036711283043,0.26589786581580405,0.36904276558639404,0.2287040402364559,1.0,150,substitution_1pct_N_3pct,ck4,CK4,500,136
0.022,0.9983678814275938,0.9980651956920059,0.057072121289016946,0.06220616640442627,-0.0002592242893763881,0.022,150,substitution_1pct_N_3pct,p,P,500,11
0.974,0.9995228409723418,0.9990546404014881,0.030115247096253336,0.04348238659151553,0.0006576412965218164,0.974,150,substitution_1pct_N_3pct,msp,MSP,500,75
1.0,0.9806860316270786,0.9651630600685639,0.1925188504049562,0.26395804024951713,0.11466706420788157,1.0,150,substitution_1pct_N_3pct,ck4_p,CK4+P,500,147
1.0,0.9812635113994524,0.9655778372969815,0.18934002571306952,0.26238198789203004,0.11577762525873254,1.0,150,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,500,211
0.864,0.9989453611999677,0.9986750850972335,0.04583685874101922,0.05147649012254046,0.00030794367659789823,0.864,150,substitution_1pct_N_3pct,p_msp,P+MSP,500,86
1.0,0.9869649680754996,0.9765260412009286,0.15824038144031316,0.21667466669484792,0.07738298146161049,1.0,150,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,500,222
