split,classifier,accuracy,macro_f1,length,local_mode,weight_name,weight_label,n_samples,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.9880952380952381,0.9880935506732813,150,right,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.994,0.993999399939994,150,right,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9702380952380952,0.9702117096350934,150,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.982,0.9819837781866653,150,right,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.01326649916142161,0.013288125972731024
holdout,logistic,0.9940476190476191,0.9940474081422952,150,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.998,0.9979997999799981,150,right,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.0040000000000000036,0.004000400040003971
holdout,logistic,0.9940476190476191,0.9940474081422952,150,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.998,0.9979997999799981,150,right,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.0040000000000000036,0.004000400040003971
holdout,logistic,0.9940476190476191,0.9940474081422952,150,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.998,0.9979997999799981,150,right,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.0040000000000000036,0.004000400040003971
