retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,weight_name,weight_label,count_weight,property_weight,msp_weight,n_pairs,n_features
1.0,0.9752421373130196,0.95493707456997,0.21663487469455547,0.30020791544774045,0.14777026477819832,1.0,100,substitution_1pct_N_3pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9832190682629316,0.9697296797692005,0.17850074041103572,0.2460488389755874,0.099886061833499,1.0,100,substitution_1pct_N_3pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9678855645070723,0.9407606322343476,0.24630638800664434,0.3442050557611685,0.197286995354075,1.0,100,substitution_1pct_N_3pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9934414041001711,0.9889664232728784,0.11238706232335247,0.14855017121111766,0.03480882023262868,1.0,100,substitution_1pct_N_3pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9560298272752155,0.9403847311494384,0.2944031561018962,0.34529717276783983,0.2890199883058756,1.0,100,local_mismatch_6bp,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.98,0.999799289699618,0.9994942740045969,0.018215625008373298,0.031802932685709995,0.0005665366578824189,0.98,100,local_mismatch_6bp,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9779884196345461,0.9701845189723867,0.2083039839404172,0.24419414309461776,0.1448407401269945,1.0,100,local_mismatch_6bp,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9852094688914838,0.9800409851022266,0.1707660724204601,0.19979438660049575,0.0978648580948878,1.0,100,local_mismatch_6bp,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9706196480833496,0.960212858125832,0.24066021822042893,0.28208858946997556,0.19345427002680624,1.0,100,local_mismatch_6bp,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9949360160969066,0.9931863015660324,0.09994138870219979,0.11673630547299464,0.03404565165252572,1.0,100,local_mismatch_6bp,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9884374577332096,0.9608983296749958,0.10846666988417178,0.27964635697809315,0.3202602019310789,1.0,100,short_indel,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999690104004493,0.9999001170284498,0.005649978848825748,0.01413377725718243,0.0007397036897288718,1.0,100,short_indel,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9942167538714435,0.9804449669260753,0.0767115994557899,0.19776109114761997,0.16046597032812607,1.0,100,short_indel,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9961251595113694,0.9869338015521177,0.06281480359926986,0.16165377623004945,0.10832313786203311,1.0,100,short_indel,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9922813086222896,0.9739160656135566,0.08863054130585596,0.22840099478251888,0.21429660096298214,1.0,100,short_indel,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9986877267707559,0.9956122921778243,0.0365941071271258,0.09367618100441678,0.037579141419913184,1.0,100,short_indel,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9844164419268662,0.9614377515887688,0.15247018298722076,0.27771030726076484,0.256838811653953,1.0,150,substitution_1pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999778229532875,0.9999450030812485,0.005721843565768164,0.010487791214313851,0.0005358356004557697,1.0,150,substitution_1pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.992205543105544,0.9806993142012572,0.10785173737885743,0.19647012459835386,0.12868275742773125,1.0,150,substitution_1pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9947906959444803,0.9871024520150982,0.0881992739473503,0.16060662514232282,0.08673722837609119,1.0,150,substitution_1pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9896035689356731,0.9742701018019331,0.12456637183433372,0.22684521935741436,0.17179883580738628,1.0,150,substitution_1pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9982487806170184,0.9956573521572083,0.05116862695436089,0.09319311411991828,0.029949965575841977,1.0,150,substitution_1pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9782881307042689,0.9680342993836267,0.20655246702647326,0.25284641878622033,0.257731021828999,1.0,150,N_3pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.912,0.9989665401770813,0.9987266900718088,0.045378491977257,0.050463494063703276,0.0004375932850567952,0.912,150,N_3pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.98833523994287,0.9831777234364695,0.15160111110350186,0.18342432553919827,0.12916073236050288,1.0,150,N_3pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9920737370194772,0.9886372549965895,0.12500340697993126,0.15074950161749628,0.0870811048508369,1.0,150,N_3pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.985180933861873,0.9783072913449714,0.1707226220301462,0.20829126741903387,0.17241031853860528,1.0,150,N_3pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9966689391245466,0.9954926873838188,0.08126136394607938,0.09494515777102858,0.030136788091980147,1.0,150,N_3pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9932536120180037,0.9914278111474866,0.1150750465783926,0.1309363146201598,0.2666070737148478,1.0,150,trim_5bp,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.996,0.9998382831263022,0.999729670835541,0.01760312527692274,0.023251985938645754,0.0004361612817065739,0.996,150,trim_5bp,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9966065248119308,0.995694592341351,0.08162322926500166,0.09279438717241736,0.13358520884355993,1.0,150,trim_5bp,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9976433927568694,0.9970138619682994,0.06806714156203503,0.07728048414713215,0.0899596533434805,1.0,150,trim_5bp,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9954485023874365,0.9942446894159308,0.09454100433112882,0.10728692165058246,0.1782959690904,1.0,150,trim_5bp,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
