representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
hybrid_ckmer5_csp,nearest_centroid,144,3,640,0.4090909090909091,0.39285714285714285,within_genus_species,Burkholderia,69,substitution_1pct,label
hybrid_ckmer5_csp,logistic,144,3,640,0.38636363636363635,0.38213747037276447,within_genus_species,Burkholderia,69,substitution_1pct,label
hybrid_ckmer5_csp,mlp,144,3,640,0.38636363636363635,0.36075036075036077,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,127,2,490,0.5641025641025641,0.5535353535353535,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer5_count_l2,logistic,127,2,490,0.5641025641025641,0.47588932806324113,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer5_count_l2,mlp,127,2,490,0.5897435897435898,0.5542857142857143,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer7_count_l2,nearest_centroid,127,2,3260,0.5641025641025641,0.47588932806324113,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer7_count_l2,logistic,127,2,3260,0.5384615384615384,0.39482758620689656,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer7_count_l2,mlp,127,2,3260,0.5128205128205128,0.44075471698113206,target_background,Burkholderia,69,substitution_1pct,target_binary
cspaced_count_l2,nearest_centroid,127,2,136,0.5641025641025641,0.544955387783116,target_background,Burkholderia,69,substitution_1pct,target_binary
cspaced_count_l2,logistic,127,2,136,0.48717948717948717,0.44285714285714284,target_background,Burkholderia,69,substitution_1pct,target_binary
cspaced_count_l2,mlp,127,2,136,0.6153846153846154,0.43587270973963355,target_background,Burkholderia,69,substitution_1pct,target_binary
cspaced_property_l2,nearest_centroid,127,2,147,0.5384615384615384,0.5230978260869565,target_background,Burkholderia,69,substitution_1pct,target_binary
cspaced_property_l2,logistic,127,2,147,0.48717948717948717,0.45833333333333337,target_background,Burkholderia,69,substitution_1pct,target_binary
cspaced_property_l2,mlp,127,2,147,0.5897435897435898,0.4935064935064935,target_background,Burkholderia,69,substitution_1pct,target_binary
hybrid_ckmer5_csp,nearest_centroid,127,2,637,0.5384615384615384,0.5230978260869565,target_background,Burkholderia,69,substitution_1pct,target_binary
hybrid_ckmer5_csp,logistic,127,2,637,0.5384615384615384,0.4583333333333333,target_background,Burkholderia,69,substitution_1pct,target_binary
hybrid_ckmer5_csp,mlp,127,2,637,0.5128205128205128,0.507641196013289,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer5_count_l2,nearest_centroid,174,4,508,0.2641509433962264,0.2589688552188552,within_genus_species,Candida,69,substitution_1pct,label
ckmer5_count_l2,logistic,174,4,508,0.2641509433962264,0.242204228520018,within_genus_species,Candida,69,substitution_1pct,label
ckmer5_count_l2,mlp,174,4,508,0.24528301886792453,0.17203996983408748,within_genus_species,Candida,69,substitution_1pct,label
ckmer7_count_l2,nearest_centroid,174,4,4702,0.37735849056603776,0.3526080827067669,within_genus_species,Candida,69,substitution_1pct,label
ckmer7_count_l2,logistic,174,4,4702,0.3584905660377358,0.32471190230478153,within_genus_species,Candida,69,substitution_1pct,label
ckmer7_count_l2,mlp,174,4,4702,0.33962264150943394,0.3206240031897927,within_genus_species,Candida,69,substitution_1pct,label
cspaced_count_l2,nearest_centroid,174,4,136,0.11320754716981132,0.0989247311827957,within_genus_species,Candida,69,substitution_1pct,label
cspaced_count_l2,logistic,174,4,136,0.22641509433962265,0.19953764008683916,within_genus_species,Candida,69,substitution_1pct,label
cspaced_count_l2,mlp,174,4,136,0.22641509433962265,0.21380718954248368,within_genus_species,Candida,69,substitution_1pct,label
cspaced_property_l2,nearest_centroid,174,4,147,0.11320754716981132,0.0967741935483871,within_genus_species,Candida,69,substitution_1pct,label
cspaced_property_l2,logistic,174,4,147,0.2641509433962264,0.2371396719222806,within_genus_species,Candida,69,substitution_1pct,label
cspaced_property_l2,mlp,174,4,147,0.3018867924528302,0.2921052631578947,within_genus_species,Candida,69,substitution_1pct,label
