length,condition,condition_label,method,pattern,cardinality,span,role,add_property,n_pairs,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1,n_features
75,substitution_1pct,1% substitution,canonical spaced,0-2-4-6,4,7,primary four-position scan,False,240,0.9754995335096799,0.9192249858207162,0.15759887318302923,0.40193232255349376,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-2-4-6,4,7,primary four-position scan,True,240,0.9973854864300209,0.9916424251308852,0.05154879407029411,0.12928522253857538,1.0,147
75,substitution_1pct,1% substitution,canonical spaced,0-1-4-7,4,8,primary four-position scan,False,240,0.975289630564746,0.923777530113652,0.15946887894920092,0.39044111607192955,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-1-4-7,4,8,primary four-position scan,True,240,0.9973528339147316,0.992007257898956,0.0522093076190548,0.12643323547031662,1.0,147
75,substitution_1pct,1% substitution,canonical spaced,0-2-5-7,4,8,primary four-position scan,False,240,0.9749222213092426,0.9144790740918998,0.1591186777591058,0.41357194255957547,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-2-5-7,4,8,primary four-position scan,True,240,0.997321627617391,0.9909127846766359,0.05206698527081514,0.13481165453825888,1.0,147
75,substitution_1pct,1% substitution,canonical spaced,0-2-5-8,4,9,primary four-position scan,False,240,0.9756241266572384,0.9190546101256456,0.15789199584018118,0.40235650655297117,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-2-5-8,4,9,primary four-position scan,True,240,0.9973919549813669,0.9914213736700326,0.05167094484644177,0.13098569417215639,1.0,147
75,substitution_1pct,1% substitution,canonical spaced,0-3-5-8,4,9,primary four-position scan,False,240,0.9752625574255909,0.9210359663197731,0.15934113350672063,0.3974012363827298,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-3-5-8,4,9,primary four-position scan,True,240,0.9973551474129086,0.9914555900240439,0.05213780709907114,0.13072406739767153,1.0,147
75,substitution_1pct,1% substitution,canonical spaced,0-3-6-9,4,10,primary four-position scan,False,240,0.9757041002105139,0.9191161010698295,0.1564335301844535,0.4022036340191477,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-3-6-9,4,10,primary four-position scan,True,240,0.9974000284037783,0.9915092360049185,0.05122715521844327,0.1303130333748659,1.0,147
