sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L69_center_00175,69,center,ck4,CK4,dispersed_random,dispersed,random,0.411576733940004,136
L69_center_00176,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40347329239296437,136
L69_center_00177,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3736681527275062,136
L69_center_00178,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3728693862508134,136
L69_center_00179,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3344588463123639,136
L69_center_00180,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3388480360368321,136
L69_center_00181,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36179603095630297,136
L69_center_00182,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3759246174752755,136
L69_center_00183,69,center,ck4,CK4,dispersed_random,dispersed,random,0.5116913332986469,136
L69_center_00184,69,center,ck4,CK4,dispersed_random,dispersed,random,0.414653261313358,136
L69_center_00185,69,center,ck4,CK4,dispersed_random,dispersed,random,0.42254260195527493,136
L69_center_00186,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4211029323752248,136
L69_center_00187,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3744148606186319,136
L69_center_00188,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39208567788745396,136
L69_center_00189,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41602514716892186,136
L69_center_00190,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3221104011474494,136
L69_center_00191,69,center,ck4,CK4,dispersed_random,dispersed,random,0.45472858883113876,136
L69_center_00192,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4547285888311387,136
L69_center_00193,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41702882811414954,136
L69_center_00194,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3952918204384195,136
L69_center_00195,69,center,ck4,CK4,dispersed_random,dispersed,random,0.34936780599567285,136
L69_center_00196,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39699234209300427,136
L69_center_00197,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4092763325194412,136
L69_center_00198,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4077605649301839,136
L69_center_00199,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3133221278480255,136
L69_center_00200,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40089186286863665,136
L69_center_00201,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3917967387935116,136
L69_center_00202,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3073437246524405,136
L69_center_00203,69,center,ck4,CK4,dispersed_random,dispersed,random,0.28284271247461895,136
L69_center_00204,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3859224924939799,136
L69_center_00205,69,center,ck4,CK4,dispersed_random,dispersed,random,0.30821760981024837,136
L69_center_00206,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4282636892634081,136
L69_center_00207,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37385958315312906,136
L69_center_00208,69,center,ck4,CK4,dispersed_random,dispersed,random,0.414653261313358,136
L69_center_00209,69,center,ck4,CK4,dispersed_random,dispersed,random,0.38448736462777267,136
L69_center_00210,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3133221278480255,136
L69_center_00211,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4325581281636646,136
L69_center_00212,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37218626949936273,136
L69_center_00213,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3721862694993628,136
L69_center_00214,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4021609342505181,136
L69_center_00215,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37310195308624805,136
L69_center_00216,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4238636235267736,136
L69_center_00217,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3286811955973847,136
L69_center_00218,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39699234209300427,136
L69_center_00219,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3264069165742128,136
L69_center_00220,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4035872804148024,136
L69_center_00221,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4258502413745205,136
L69_center_00222,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40728240460685255,136
L69_center_00223,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37416573867739406,136
L69_center_00224,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3734688489845882,136
L69_center_00225,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3258616345801895,136
L69_center_00226,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4608267412017536,136
L69_center_00227,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3982653429934892,136
L69_center_00228,69,center,ck4,CK4,dispersed_random,dispersed,random,0.29310552433199877,136
L69_center_00229,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3022796208131548,136
L69_center_00230,69,center,ck4,CK4,dispersed_random,dispersed,random,0.32969023669789355,136
L69_center_00231,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4323896485464576,136
L69_center_00232,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3706333515403507,136
L69_center_00233,69,center,ck4,CK4,dispersed_random,dispersed,random,0.44721359549995787,136
L69_center_00234,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39440531887330776,136
L69_center_00235,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3299426652098322,136
L69_center_00236,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4143961239758222,136
L69_center_00237,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4035872804148025,136
L69_center_00238,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36372438919847505,136
L69_center_00239,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36970809652014647,136
L69_center_00240,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3837522295096907,136
L69_center_00241,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3797307993069294,136
L69_center_00242,69,center,ck4,CK4,dispersed_random,dispersed,random,0.46852128566581813,136
