task,length,condition,model,input_name,seed,combo_seed,epoch,train_loss,val_loss
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,5,0.7509215871493021,1.6072204113006592
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,6,0.620237410068512,1.6068129539489746
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,7,0.5062044560909271,1.6088427305221558
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,8,0.4088561038176219,1.6140371561050415
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,9,0.3281071682771047,1.621354579925537
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,10,0.2608849108219147,1.6304129362106323
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,11,0.2065835247437159,1.6404783725738523
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,1,1.6275646289189656,1.5825375318527222
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,2,1.564747412999471,1.582289457321167
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,3,1.5178433656692505,1.58294939994812
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,4,1.473803440729777,1.583087921142578
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,5,1.426873763402303,1.5831767320632937
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,6,1.3879770437876384,1.5838592052459717
within_genus_species:Enterobacter,69,clean,mlp_csp,cspaced_property_l2,606,2250,7,1.3456885417302449,1.584840178489685
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,1,1.666460116704305,1.613405466079712
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,2,1.2995515664418538,1.6095354557037354
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,3,1.0599786440531414,1.6139845848083496
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,4,0.8617109258969625,1.619024634361267
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,5,0.7017918030420939,1.62855327129364
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,6,0.5611660679181417,1.6389590501785278
within_genus_species:Enterobacter,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2253,7,0.4434937636057536,1.6508463621139526
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,1,1.6175471146901448,1.625531792640686
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,2,1.608343243598938,1.624354124069214
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,3,1.600144902865092,1.623640775680542
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,4,1.594450871149699,1.6228495836257937
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,5,1.591450611750285,1.6225864887237549
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,6,1.5868135690689087,1.621779203414917
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,7,1.5823859373728435,1.620815992355347
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,8,1.5777995189030964,1.6206519603729248
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,9,1.5747719605763753,1.6206660270690918
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,10,1.570780634880066,1.6200965642929075
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,11,1.5657058954238892,1.6195787191390991
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,12,1.5629269282023113,1.619446873664856
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,13,1.5600982507069905,1.6193604469299316
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,14,1.5557525952657063,1.6192256212234497
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,15,1.5524726311365764,1.6190282106399536
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,16,1.5486667553583782,1.6188849210739136
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,17,1.544696847597758,1.6186790466308594
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,18,1.5398021936416626,1.6181188821792605
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,19,1.535780628522237,1.6178245544433594
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,20,1.5314111709594729,1.6175942420959473
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,21,1.5274850130081177,1.6176872253417969
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,22,1.5217808485031128,1.6173765659332275
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,23,1.5168497959772749,1.6166470050811768
within_genus_species:Enterobacter,69,clean,cnn_onehot,onehot,606,2253,24,1.51125963528951,1.6160001754760742
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,1,1.62274173895518,1.6189175844192505
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,2,1.6142537991205852,1.6166990995407104
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,3,1.6081686814626055,1.6153556108474731
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,4,1.6037411292394002,1.614345908164978
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,5,1.600974678993225,1.6140220165252686
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,6,1.5976605812708538,1.6135634183883667
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,7,1.5960365136464436,1.6135581731796265
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,8,1.5939587752024331,1.6132148504257202
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,9,1.5919503768285117,1.613498568534851
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,10,1.5889072020848591,1.6131281852722168
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,11,1.5875686009724934,1.613661289215088
within_genus_species:Enterobacter,69,clean,cnn_property,property,606,2255,12,1.5841565529505413,1.613505482673645
