task,length,condition,model,family,input_name,macro_f1,accuracy,clean_macro_f1,clean_accuracy,macro_f1_drop_vs_clean,accuracy_drop_vs_clean
target_background,100,N_3pct,cnn_onehot,cnn1d,onehot,0.5937059142702116,0.59375,0.6767676767676767,0.6770833333333334,0.08306176249746511,0.08333333333333337
target_background,100,N_3pct,cnn_property,cnn1d,property,0.5338226990400904,0.5520833333333334,0.6350602802215706,0.6354166666666666,0.10123758118148019,0.08333333333333326
target_background,100,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.5607843137254902,0.5625,0.5728703201302224,0.5729166666666666,0.01208600640473223,0.01041666666666663
target_background,100,N_3pct,tiny_transformer_property,tiny_transformer,property,0.5915784880549798,0.59375,0.5724991854024112,0.5729166666666666,-0.01907930265256863,-0.02083333333333337
global_species,100,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1260441046151888,0.1402714932126696,0.1191021410305675,0.1312217194570135,-0.006941963584621305,-0.009049773755656104
global_species,100,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1422868550048454,0.1628959276018099,0.0620386308669516,0.090497737556561,-0.08024822413789379,-0.0723981900452489
global_species,100,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1223722018521077,0.1266968325791855,0.1349156798845061,0.1583710407239819,0.012543478032398386,0.031674208144796406
global_species,100,N_3pct,cnn_onehot,cnn1d,onehot,0.068894414720186,0.1176470588235294,0.0425031973075882,0.1040723981900452,-0.026391217412597798,-0.013574660633484198
global_species,100,N_3pct,cnn_property,cnn1d,property,0.0482420792588213,0.1131221719457013,0.0617868623599476,0.1085972850678733,0.0135447831011263,-0.004524886877827997
global_species,100,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.0894173662867838,0.1493212669683258,0.0637243625308416,0.1266968325791855,-0.025693003755942204,-0.022624434389140302
global_species,100,N_3pct,tiny_transformer_property,tiny_transformer,property,0.0623126751578132,0.1266968325791855,0.0697393273767176,0.1357466063348416,0.007426652218904407,0.009049773755656104
within_genus_species:Enterobacter,100,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1601098901098901,0.1698113207547169,0.2012005012531328,0.2075471698113207,0.041090611143242695,0.03773584905660382
within_genus_species:Enterobacter,100,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1898717948717948,0.2452830188679245,0.2659405779405779,0.2641509433962264,0.07606878306878309,0.01886792452830191
within_genus_species:Enterobacter,100,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.2053886469329002,0.2264150943396226,0.2446886446886447,0.2452830188679245,0.0392999977557445,0.01886792452830191
within_genus_species:Enterobacter,100,N_3pct,cnn_onehot,cnn1d,onehot,0.1774688057040997,0.2075471698113207,0.1252279635258358,0.2075471698113207,-0.05224084217826391,0.0
within_genus_species:Enterobacter,100,N_3pct,cnn_property,cnn1d,property,0.0634920634920634,0.1886792452830188,0.06875,0.2075471698113207,0.0052579365079366,0.01886792452830191
within_genus_species:Enterobacter,100,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.1696428571428571,0.2264150943396226,0.1548107615139078,0.2264150943396226,-0.014832095628949299,0.0
within_genus_species:Enterobacter,100,N_3pct,tiny_transformer_property,tiny_transformer,property,0.0809523809523809,0.1320754716981132,0.1216450216450216,0.1698113207547169,0.0406926406926407,0.03773584905660368
target_background,100,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.4747992084739844,0.5104166666666666,0.6498286724881177,0.65625,0.17502946401413333,0.14583333333333337
target_background,100,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.5714285714285714,0.5833333333333334,0.52,0.5208333333333334,-0.05142857142857138,-0.0625
target_background,100,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.6142065819485174,0.6145833333333334,0.6665219279201042,0.6666666666666666,0.052315345971586824,0.05208333333333326
target_background,100,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.6145415084102008,0.6145833333333334,0.6767676767676767,0.6770833333333334,0.06222616835747585,0.0625
target_background,100,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.6205533596837944,0.6354166666666666,0.6350602802215706,0.6354166666666666,0.014506920537776136,0.0
target_background,100,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.6350602802215706,0.6354166666666666,0.5728703201302224,0.5729166666666666,-0.06218996009134814,-0.0625
target_background,100,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.6334678738954947,0.6354166666666666,0.5724991854024112,0.5729166666666666,-0.06096868849308357,-0.0625
global_species,100,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.126035120425444,0.1447963800904977,0.1191021410305675,0.1312217194570135,-0.006932979394876512,-0.013574660633484198
global_species,100,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1163457587841824,0.1402714932126696,0.0620386308669516,0.090497737556561,-0.054307127917230795,-0.0497737556561086
global_species,100,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1314445841032337,0.1447963800904977,0.1349156798845061,0.1583710407239819,0.0034710957812723875,0.013574660633484198
global_species,100,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.0269156551509492,0.0814479638009049,0.0425031973075882,0.1040723981900452,0.015587542156638996,0.022624434389140302
global_species,100,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.0356059061052913,0.0814479638009049,0.0617868623599476,0.1085972850678733,0.026180956254656294,0.02714932126696841
global_species,100,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.0464590553128852,0.1131221719457013,0.0637243625308416,0.1266968325791855,0.017265307217956397,0.013574660633484184
global_species,100,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.0424305493176217,0.1176470588235294,0.0697393273767176,0.1357466063348416,0.027308778059095908,0.018099547511312195
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1398717948717948,0.1698113207547169,0.2012005012531328,0.2075471698113207,0.061328706381338,0.03773584905660382
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1605860805860806,0.2075471698113207,0.2659405779405779,0.2641509433962264,0.10535449735449731,0.0566037735849057
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1667216428167192,0.1886792452830188,0.2446886446886447,0.2452830188679245,0.07796700187192551,0.0566037735849057
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.0590163934426229,0.1698113207547169,0.1252279635258358,0.2075471698113207,0.06621157008321289,0.03773584905660382
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.1542929292929293,0.2264150943396226,0.06875,0.2075471698113207,-0.08554292929292928,-0.018867924528301883
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.064516129032258,0.1886792452830188,0.1548107615139078,0.2264150943396226,0.0902946324816498,0.03773584905660379
within_genus_species:Enterobacter,100,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.0634920634920634,0.1886792452830188,0.1216450216450216,0.1698113207547169,0.05815295815295819,-0.01886792452830191
target_background,150,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.6034782608695652,0.6041666666666666,0.5514529914529914,0.5729166666666666,-0.052025269416573816,-0.03125
target_background,150,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.5529933481152993,0.5625,0.5516454871293581,0.5520833333333334,-0.001347860985941196,-0.01041666666666663
target_background,150,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.5317073170731708,0.5416666666666666,0.5724991854024112,0.5729166666666666,0.04079186832924042,0.03125
target_background,150,N_3pct,cnn_onehot,cnn1d,onehot,0.588345244639912,0.59375,0.3142857142857143,0.4583333333333333,-0.2740595303541977,-0.13541666666666669
target_background,150,N_3pct,cnn_property,cnn1d,property,0.6761133603238867,0.6875,0.4909862142099682,0.53125,-0.1851271461139185,-0.15625
