task,label_col,length,condition,model,family,input_name,input_kind,seed,combo_seed,input_shape,n_features,density,n_samples,n_train,n_val,n_test,n_classes,epochs_ran,best_val_loss,final_train_loss,final_val_loss,accuracy,macro_f1
target_background,target_binary,75,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2169,5x75,375,0.5923166666666667,320,168,56,96,2,24,0.6654178500175476,0.6840729216734568,0.6656784415245056,0.53125,0.530791788856305
global_species,label,75,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2115,512,512,0.1071287730218281,733,384,129,220,21,12,2.5810787677764893,0.168491485218207,2.67858362197876,0.0909090909090909,0.0761900725338732
global_species,label,75,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2112,147,147,0.3911054189752299,733,384,129,220,21,17,2.6030824184417725,1.665108601252238,2.623942613601685,0.1,0.0854232589850848
global_species,label,75,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2115,659,659,0.1704740946533153,733,384,129,220,21,11,2.495275020599365,0.1362832728773355,2.5918686389923096,0.1045454545454545,0.0909634143259977
global_species,label,75,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2115,5x75,375,0.2,733,384,129,220,21,24,2.632333755493164,2.4116735061009726,2.632333755493164,0.1136363636363636,0.0925020314487765
global_species,label,75,N_3pct,cnn_property,cnn1d,property,channels,606,2117,5x75,375,0.5915743519781719,733,384,129,220,21,24,2.6141903400421143,2.411968727906545,2.6141903400421143,0.1,0.0885980647690219
global_species,label,75,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2128,5x75,375,0.2,733,384,129,220,21,24,2.5526328086853027,2.5293623010317483,2.5526328086853027,0.1181818181818181,0.0891539809396952
global_species,label,75,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2130,5x75,375,0.5915743519781719,733,384,129,220,21,24,2.589829206466675,2.502524177233378,2.5940091609954834,0.1136363636363636,0.072490755162529
within_genus_species:Enterobacter,label,75,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2362,510,510,0.1103081232492997,175,91,31,53,5,9,1.6338659524917605,0.3459454079469045,1.6502172946929932,0.1132075471698113,0.0807207207207207
within_genus_species:Enterobacter,label,75,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2359,147,147,0.4025267249757046,175,91,31,53,5,19,1.606426239013672,0.8302152554194132,1.610160231590271,0.2075471698113207,0.1883760683760683
within_genus_species:Enterobacter,label,75,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2362,657,657,0.1756903674711893,175,91,31,53,5,7,1.577985167503357,0.3485508660475413,1.6234500408172607,0.1698113207547169,0.1519813519813519
within_genus_species:Enterobacter,label,75,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2362,5x75,375,0.2,175,91,31,53,5,24,1.596300721168518,1.5042695999145508,1.596300721168518,0.3396226415094339,0.3315032679738562
within_genus_species:Enterobacter,label,75,N_3pct,cnn_property,cnn1d,property,channels,606,2364,5x75,375,0.6013104761904762,175,91,31,53,5,24,1.5960044860839844,1.5234918196996052,1.5960044860839844,0.2264150943396226,0.1503196930946291
within_genus_species:Enterobacter,label,75,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2375,5x75,375,0.2,175,91,31,53,5,24,1.6112428903579712,1.6014127731323242,1.6112428903579712,0.2075471698113207,0.1588235294117647
within_genus_species:Enterobacter,label,75,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2377,5x75,375,0.6013104761904762,175,91,31,53,5,8,1.611230731010437,1.6104076306025188,1.6120461225509644,0.2075471698113207,0.1146666666666666
target_background,target_binary,75,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2280,512,512,0.1073486328125,320,168,56,96,2,7,0.6721047163009644,0.1180216607948144,0.6989036202430725,0.5104166666666666,0.510363537710255
target_background,target_binary,75,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2277,147,147,0.3927933673469387,320,168,56,96,2,13,0.6663740277290344,0.371976042787234,0.671879768371582,0.6354166666666666,0.6334678738954947
target_background,target_binary,75,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2280,659,659,0.1710214339908952,320,168,56,96,2,8,0.655061662197113,0.0415738628556331,0.7035638093948364,0.53125,0.5287444092942075
target_background,target_binary,75,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2280,5x75,375,0.2,320,168,56,96,2,24,0.6783486604690552,0.5741138855616251,0.6783486604690552,0.5416666666666666,0.5414676508901433
target_background,target_binary,75,substitution_1pct_N_3pct,cnn_property,cnn1d,property,channels,606,2282,5x75,375,0.5921083333333333,320,168,56,96,2,14,0.6891322731971741,0.6612419386704763,0.69061678647995,0.5520833333333334,0.537582614540159
target_background,target_binary,75,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2293,5x75,375,0.2,320,168,56,96,2,7,0.6924518346786499,0.6796837449073792,0.6990877389907837,0.46875,0.464039408866995
target_background,target_binary,75,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2295,5x75,375,0.5921083333333333,320,168,56,96,2,24,0.6654126048088074,0.667086144288381,0.6654126048088074,0.5416666666666666,0.5366388767003072
global_species,label,75,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2241,512,512,0.1077229706684856,733,384,129,220,21,11,2.7499754428863525,0.2212760920325915,2.934498071670532,0.1181818181818181,0.1001218546983958
