error,representation,classifier,n_classes,n_groups,task,genus,label_col,split,fold,length,condition,n_samples,n_features,accuracy,macro_f1
,ck4p_msp,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,222.0,0.8,0.7619047619047619
,ck4p_msp,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,222.0,1.0,1.0
,ck4p_msp,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,222.0,0.4,0.4
,ck4p_msp,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,222.0,0.8,0.7619047619047619
,ck4p_msp,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,222.0,0.8,0.8
not enough labels or groups,ck4,all,4,18,within_genus_species,Candida,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,4,18,within_genus_species,Candida,label,,,,,,,,
not enough labels or groups,ck4,all,2,18,target_background,Candida,target_binary,,,,,,,,
not enough labels or groups,ck4p_msp,all,2,18,target_background,Candida,target_binary,,,,,,,,
,ck4,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,69.0,N_3pct,27.0,136.0,0.2222222222222222,0.26666666666666666
,ck4,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,1.0,69.0,N_3pct,27.0,136.0,0.1111111111111111,0.13333333333333333
,ck4,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,69.0,N_3pct,27.0,136.0,0.2222222222222222,0.18333333333333332
,ck4,logistic,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,2.0,69.0,N_3pct,27.0,136.0,0.2222222222222222,0.15714285714285714
,ck4,nearest_centroid,5,27,within_genus_species,Enterobacter,label,3fold_grouped_cv,3.0,69.0,N_3pct,27.0,136.0,0.2222222222222222,0.18
