motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
130,140,SE140,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,0.7685185185185185,0.7702376770869922,147
130,140,SE140,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,1.0,1.0,11
130,142,SE142,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,0.9814814814814815,0.9813437703848663,1024
130,142,SE142,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,0.9907407407407407,0.9907389542735867,512
130,142,SE142,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,1.0,1.0,710
130,142,SE142,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,1.0,1.0,2272
130,142,SE142,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,1.0,1.0,2176
130,142,SE142,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,0.6851851851851852,0.6849118094726475,147
130,142,SE142,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,142,138,20164,19044,nearest_linear_probe,1.0,1.0,11
130,145,SE145,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,0.9814814814814815,0.9813437703848663,1024
130,145,SE145,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,0.9907407407407407,0.9907389542735867,512
