retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,task,length,condition,representation,n_pairs,n_features,density
0.030555555555555555,0.9787589629734442,0.9774237273859993,0.20606998968204987,0.21249128271060616,-0.00011629233050308595,0.0,arg_allele,100,trim_5bp,ckmer5_count_l2,360,123,0.6702913279132792
0.044444444444444446,0.9746725017791309,0.9741558354989892,0.2250589479347443,0.2273506740742604,0.0,0.0,arg_allele,100,trim_5bp,ckmer7_count_l2,360,147,0.6020408163265306
0.03888888888888889,0.9847791062593902,0.9791215223112755,0.1742945596385348,0.20434518682232172,-0.0005028026425503451,0.0,arg_allele,100,trim_5bp,cspaced_count_l2,360,83,0.7628848728246319
0.030555555555555555,0.9982735195289177,0.9976766922554535,0.05870311780753946,0.06816608752959898,-6.600165999051881e-05,0.0,arg_allele,100,trim_5bp,cspaced_property_l2,360,94,0.7799940898345153
0.03888888888888889,0.9885162412511812,0.987849691467281,0.15152391101974735,0.15588655190694875,-9.089509283737215e-05,0.0,arg_allele,100,trim_5bp,hybrid_ckmer5_csp,360,217,0.7178123399897594
0.030555555555555555,0.9864730106540246,0.9862104247161598,0.16447584241765004,0.16606971598602754,-3.300082999528547e-05,0.0,arg_allele,100,trim_5bp,hybrid_ckmer7_csp,360,241,0.6714499769479022
0.10555555555555556,0.9007632226183513,0.826188182287586,0.43683231911334686,0.5895943235550837,-0.00022989236989260674,0.0,arg_allele,100,substitution_1pct_N_3pct,ckmer5_count_l2,360,446,0.1779397110114599
0.09444444444444444,0.8404248760764852,0.7227259770685223,0.5541395696130942,0.7446796796364047,-6.236422094445711e-06,0.0,arg_allele,100,substitution_1pct_N_3pct,ckmer7_count_l2,360,1296,0.0634462877229081
0.11388888888888889,0.9477589348643746,0.908080736013032,0.3172831683244558,0.4287638625406168,-0.0005157212681955828,0.0,arg_allele,100,substitution_1pct_N_3pct,cspaced_count_l2,360,83,0.7441599732262383
0.11388888888888889,0.9924882502724303,0.987951069657328,0.12122225584222844,0.15523485648392668,-5.6841707755027186e-05,0.0,arg_allele,100,substitution_1pct_N_3pct,cspaced_property_l2,360,94,0.7687795508274232
0.125,0.9466257364453909,0.907746537199286,0.3206840884310384,0.4295406237193633,-0.0001105945267452844,0.0,arg_allele,100,substitution_1pct_N_3pct,hybrid_ckmer5_csp,360,540,0.2807896090534979
0.11666666666666667,0.916456563174458,0.8564315805014407,0.40119756599799355,0.5358514742126772,-2.669397162498187e-05,0.0,arg_allele,100,substitution_1pct_N_3pct,hybrid_ckmer7_csp,360,1390,0.11114508393285372
0.12777777777777777,0.9155411048827781,0.8956860379194793,0.4099687774601919,0.45675805867115266,-0.00017199210965661047,0.0,arg_allele,100,local_mismatch_6bp,ckmer5_count_l2,360,512,0.16617296006944443
0.12777777777777777,0.8817728583765788,0.8573214099741119,0.48492427080431716,0.5341883376223925,-2.83446712018144e-05,0.0,arg_allele,100,local_mismatch_6bp,ckmer7_count_l2,360,3089,0.029514675731088808
0.10277777777777777,0.9425366059498199,0.9227188788955266,0.33680296058991205,0.39314386104377685,-0.0009102568002633664,0.0,arg_allele,100,local_mismatch_6bp,cspaced_count_l2,360,83,0.7589357429718876
0.10833333333333334,0.9936332210350943,0.9914008033644034,0.11211497741671764,0.1311426113183283,-9.912895926694198e-05,0.0,arg_allele,100,local_mismatch_6bp,cspaced_property_l2,360,94,0.7765070921985816
0.125,0.9545871629589363,0.9443538864891217,0.3006199526377073,0.3336048803241568,-0.00011042554097894785,0.0,arg_allele,100,local_mismatch_6bp,hybrid_ckmer5_csp,360,606,0.26084525119178587
0.12222222222222222,0.9377030397058366,0.9243989897605507,0.3520003782550202,0.38884703412167165,-5.7294938909620134e-05,0.0,arg_allele,100,local_mismatch_6bp,hybrid_ckmer7_csp,360,3183,0.05157477222745837
0.13333333333333333,0.9583825382270539,0.901131446304147,0.24841889940242265,0.4446763016590797,-0.00018021056261858853,0.0,arg_allele,150,substitution_1pct,ckmer5_count_l2,360,501,0.2555721889554225
0.12777777777777777,0.9298974292009642,0.8342904644749971,0.32249264497846153,0.5756887401808408,-0.00016464997865119532,0.0,arg_allele,150,substitution_1pct,ckmer7_count_l2,360,2208,0.06386246980676329
0.11944444444444445,0.9812358636977463,0.9548563869030489,0.16600891012227184,0.30047832118424594,-0.00010140064890758996,0.0,arg_allele,150,substitution_1pct,cspaced_count_l2,360,99,0.9085718294051628
0.12222222222222222,0.9979743439036614,0.9951585962038119,0.05454468685919413,0.0984008696793136,-1.1121211442725105e-05,0.0,arg_allele,150,substitution_1pct,cspaced_property_l2,360,110,0.9086237373737374
0.1361111111111111,0.9781784410653577,0.9479289124191863,0.179885520460668,0.3227106640334588,-8.681068089576305e-05,0.0,arg_allele,150,substitution_1pct,hybrid_ckmer5_csp,360,611,0.3731428441534825
0.13333333333333333,0.9639358865523125,0.9151887501041029,0.23130257785630876,0.4118507442931795,-8.511647217172044e-05,0.0,arg_allele,150,substitution_1pct,hybrid_ckmer7_csp,360,2318,0.10395036429872495
