sample_id,length,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,paired_cosine,n_features
Candida_tropicalis_L69_R0060,69,ck4,CK4,dispersed_property,dispersed,property,0.3350229620532333,0.9438798074485389,136
Candida_tropicalis_L69_R0060,69,ck4,CK4,contiguous_random,contiguous,random,0.30151134457776363,0.9545454545454545,136
Candida_tropicalis_L69_R0060,69,ck4,CK4,contiguous_property,contiguous,property,0.3554185683040858,0.9368388206523373,136
Enterobacter_hormaechei_L69_R0057,69,ck4,CK4,dispersed_random,dispersed,random,0.42037498519838357,0.9116424359097295,136
Enterobacter_hormaechei_L69_R0057,69,ck4,CK4,dispersed_property,dispersed,property,0.42037498519838357,0.9116424359097295,136
Enterobacter_hormaechei_L69_R0057,69,ck4,CK4,contiguous_random,contiguous,random,0.2758681254827479,0.9619483886713175,136
Enterobacter_hormaechei_L69_R0057,69,ck4,CK4,contiguous_property,contiguous,property,0.2758681254827479,0.9619483886713175,136
Enterobacter_asburiae_L69_R0037,69,ck4,CK4,dispersed_random,dispersed,random,0.3628457939267489,0.9341714649148339,136
Enterobacter_asburiae_L69_R0037,69,ck4,CK4,dispersed_property,dispersed,property,0.36493610183036246,0.9334108207904295,136
Enterobacter_asburiae_L69_R0037,69,ck4,CK4,contiguous_random,contiguous,random,0.277823499000316,0.9614070517016108,136
Enterobacter_asburiae_L69_R0037,69,ck4,CK4,contiguous_property,contiguous,property,0.24608561802920598,0.9697209342995918,136
Candida_tropicalis_L69_R0070,69,ck4,CK4,dispersed_random,dispersed,random,0.29600968424692325,0.9561891334160185,136
Candida_tropicalis_L69_R0070,69,ck4,CK4,dispersed_property,dispersed,property,0.2933143677941388,0.9569833408227622,136
Candida_tropicalis_L69_R0070,69,ck4,CK4,contiguous_random,contiguous,random,0.2787066067860358,0.9611613136669069,136
Candida_tropicalis_L69_R0070,69,ck4,CK4,contiguous_property,contiguous,property,0.27684540267754354,0.9616783115081544,136
Enterobacter_asburiae_L69_R0055,69,ck4,CK4,dispersed_random,dispersed,random,0.42680042325704315,0.9089206993538044,136
Enterobacter_asburiae_L69_R0055,69,ck4,CK4,dispersed_property,dispersed,property,0.42680042325704315,0.9089206993538044,136
Enterobacter_asburiae_L69_R0055,69,ck4,CK4,contiguous_random,contiguous,random,0.31695088621397555,0.949771067864088,136
Enterobacter_asburiae_L69_R0055,69,ck4,CK4,contiguous_property,contiguous,property,0.31562618072965165,0.9501900570190068,136
Enterobacter_cloacae_L69_R0024,69,ck4,CK4,dispersed_random,dispersed,random,0.3931372044480121,0.9227215692394009,136
Enterobacter_cloacae_L69_R0024,69,ck4,CK4,dispersed_property,dispersed,property,0.3931372044480121,0.9227215692394009,136
Enterobacter_cloacae_L69_R0024,69,ck4,CK4,contiguous_random,contiguous,random,0.3102897191009754,0.951860145110119,136
Enterobacter_cloacae_L69_R0024,69,ck4,CK4,contiguous_property,contiguous,property,0.3145102820016944,0.9505416412576074,136
Acinetobacter_pittii_L69_R0042,69,ck4,CK4,dispersed_random,dispersed,random,0.36380343755449945,0.9338235294117648,136
Acinetobacter_pittii_L69_R0042,69,ck4,CK4,dispersed_property,dispersed,property,0.4131364889233408,0.9146591207600472,136
Acinetobacter_pittii_L69_R0042,69,ck4,CK4,contiguous_random,contiguous,random,0.273281372328843,0.9626586457690324,136
Acinetobacter_pittii_L69_R0042,69,ck4,CK4,contiguous_property,contiguous,property,0.273281372328843,0.9626586457690324,136
Acinetobacter_baumannii_L69_R0017,69,ck4,CK4,dispersed_random,dispersed,random,0.31674928832165766,0.9498349441738618,136
Acinetobacter_baumannii_L69_R0017,69,ck4,CK4,dispersed_property,dispersed,property,0.3178108253797136,0.9494981396357326,136
