retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density
1.0,0.970601113736883,0.9019641046883784,0.1675552444950073,0.4427986875160963,0.32140577322711117,1.0,69,short_indel,cspaced_property_selected:length,canonical spaced + length,600,137,0.355176399026764
1.0,0.9955860998706534,0.985320535320879,0.06485469668032816,0.17134443456689105,0.047994302777375875,1.0,69,short_indel,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.35984903381642513
1.0,0.9958525445365315,0.9863765008660647,0.06285294932667575,0.16506590729233123,0.04526497538106221,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.36899404761904764
1.0,0.9961004314117529,0.9871588840893376,0.06095668017223829,0.16025615948547386,0.0430281419745908,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.37788145539906104
1.0,0.9961071920544328,0.9871782880639943,0.060904149537540704,0.16013506778270248,0.04295624903331513,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.38652199074074073
1.0,0.9961071920544328,0.9871782880639943,0.060904149537540704,0.16013506778270248,0.04295624903331513,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.38385632183908047
1.0,0.9964006945938743,0.9879717667070974,0.0585756600278651,0.15510135317735932,0.03982920859823608,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.38807648401826483
1.0,0.996446328746667,0.9881117638877548,0.05820545913856286,0.15419612963013907,0.03932200231242196,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.3922392290249433
1.0,0.996446328746667,0.9881117638877548,0.05820545913856286,0.15419612963013907,0.03932200231242196,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.394925799086758
1.0,0.9964006945938743,0.9879717667070974,0.0585756600278651,0.15510135317735932,0.03982920859823608,1.0,69,short_indel,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.38807648401826483
1.0,0.996446328746667,0.9881117638877548,0.05820545913856286,0.15419612963013907,0.03932200231242196,1.0,69,short_indel,cspaced_property_l2,full CSP,600,147,0.3922392290249433
1.0,0.8652221310043374,0.8243605453485792,0.5157959992883829,0.5926877988974278,0.40575064226969215,1.0,69,local_mismatch_6bp,spaced_count_l2,"spaced, no RC",600,256,0.21052734375
1.0,0.8863641847435288,0.8437954835741767,0.4727413702957882,0.558935624957203,0.28729958969199915,1.0,69,local_mismatch_6bp,cspaced_count_l2,canonical spaced,600,136,0.352218137254902
