fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes,label_control,permutation
3,nearest_centroid,0.35185185185185186,0.3454076787410121,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,2
4,contract_logistic,0.3333333333333333,0.328042328042328,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,2
4,nearest_centroid,0.25925925925925924,0.24459275738474848,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,2
5,contract_logistic,0.35185185185185186,0.3335651045288091,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,2
5,nearest_centroid,0.3333333333333333,0.29649979649979646,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,2
1,contract_logistic,0.3492063492063492,0.33964912280701753,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
1,nearest_centroid,0.38095238095238093,0.3516594516594516,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
2,contract_logistic,0.25396825396825395,0.24695484254307784,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
2,nearest_centroid,0.2222222222222222,0.20597076039718212,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
3,contract_logistic,0.2962962962962963,0.288623636899499,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
3,nearest_centroid,0.2962962962962963,0.27961045932060424,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
4,contract_logistic,0.25925925925925924,0.2518939393939394,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
4,nearest_centroid,0.25925925925925924,0.24717821269545406,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
5,contract_logistic,0.3333333333333333,0.3272984816962507,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
5,nearest_centroid,0.37037037037037035,0.36698634117988954,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,2
1,contract_logistic,0.3333333333333333,0.3156265004752526,11,225,63,25,7,50,p,288,32,3,within_source_permutation,2
1,nearest_centroid,0.3333333333333333,0.3156265004752526,11,225,63,25,7,50,p,288,32,3,within_source_permutation,2
2,contract_logistic,0.3333333333333333,0.31375531375531374,11,225,63,25,7,50,p,288,32,3,within_source_permutation,2
2,nearest_centroid,0.3492063492063492,0.33390666208003666,11,225,63,25,7,50,p,288,32,3,within_source_permutation,2
3,contract_logistic,0.25925925925925924,0.20439560439560442,11,234,54,26,6,50,p,288,32,3,within_source_permutation,2
3,nearest_centroid,0.25925925925925924,0.20439560439560442,11,234,54,26,6,50,p,288,32,3,within_source_permutation,2
4,contract_logistic,0.35185185185185186,0.3515229515229515,11,234,54,26,6,50,p,288,32,3,within_source_permutation,2
4,nearest_centroid,0.35185185185185186,0.3515229515229515,11,234,54,26,6,50,p,288,32,3,within_source_permutation,2
5,contract_logistic,0.3888888888888889,0.36720538720538715,11,234,54,26,6,50,p,288,32,3,within_source_permutation,2
5,nearest_centroid,0.37037037037037035,0.3526049973418395,11,234,54,26,6,50,p,288,32,3,within_source_permutation,2
1,contract_logistic,0.38095238095238093,0.37997557997557996,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,2
1,nearest_centroid,0.38095238095238093,0.38017135862913093,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,2
2,contract_logistic,0.42857142857142855,0.4308632543926662,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,2
2,nearest_centroid,0.42857142857142855,0.4308632543926662,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,2
3,contract_logistic,0.42592592592592593,0.41781683160993505,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,2
3,nearest_centroid,0.4074074074074074,0.40163486934324877,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,2
4,contract_logistic,0.3148148148148148,0.28649431861511476,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,2
4,nearest_centroid,0.3148148148148148,0.28649431861511476,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,2
5,contract_logistic,0.4074074074074074,0.40101010101010104,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,2
5,nearest_centroid,0.4074074074074074,0.40101010101010104,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,2
1,contract_logistic,0.36507936507936506,0.36300403317583,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,2
1,nearest_centroid,0.36507936507936506,0.3593910115649246,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,2
2,contract_logistic,0.4444444444444444,0.4481481481481482,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,2
2,nearest_centroid,0.4444444444444444,0.44680419593311577,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,2
3,contract_logistic,0.37037037037037035,0.36173475647159864,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,2
3,nearest_centroid,0.35185185185185186,0.34625322997416025,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,2
4,contract_logistic,0.3333333333333333,0.3061720469552458,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,2
4,nearest_centroid,0.35185185185185186,0.3302536231884058,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,2
5,contract_logistic,0.42592592592592593,0.41881792985358346,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,2
5,nearest_centroid,0.4444444444444444,0.44008431508431506,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,2
1,contract_logistic,0.36507936507936506,0.35439808418531826,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,2
1,nearest_centroid,0.3333333333333333,0.3046336379669713,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,2
2,contract_logistic,0.2857142857142857,0.2638499844382197,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,2
