fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes
4,contract_logistic,0.6851851851851852,0.667919799498747,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
4,nearest_centroid,0.6666666666666666,0.6581881533101045,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
5,contract_logistic,0.5740740740740741,0.5694123335902201,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
5,nearest_centroid,0.5555555555555556,0.5516934046345812,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
1,contract_logistic,0.3492063492063492,0.30073010252038385,11,216,63,24,7,100,p,279,31,3
1,nearest_centroid,0.3333333333333333,0.3257646562940972,11,216,63,24,7,100,p,279,31,3
2,contract_logistic,0.3148148148148148,0.24089635854341737,11,225,54,25,6,100,p,279,31,3
2,nearest_centroid,0.3148148148148148,0.25925925925925924,11,225,54,25,6,100,p,279,31,3
3,contract_logistic,0.35185185185185186,0.28341880341880343,11,225,54,25,6,100,p,279,31,3
3,nearest_centroid,0.2962962962962963,0.26099290780141843,11,225,54,25,6,100,p,279,31,3
4,contract_logistic,0.4444444444444444,0.359000337723742,11,225,54,25,6,100,p,279,31,3
4,nearest_centroid,0.37037037037037035,0.31066518023039763,11,225,54,25,6,100,p,279,31,3
5,contract_logistic,0.3333333333333333,0.30815018315018317,11,225,54,25,6,100,p,279,31,3
5,nearest_centroid,0.3333333333333333,0.3209120993698717,11,225,54,25,6,100,p,279,31,3
1,contract_logistic,0.4444444444444444,0.43915343915343913,75,216,63,24,7,100,msp,279,31,3
1,nearest_centroid,0.4444444444444444,0.4427536231884058,75,216,63,24,7,100,msp,279,31,3
2,contract_logistic,0.4444444444444444,0.4328845757417186,75,225,54,25,6,100,msp,279,31,3
2,nearest_centroid,0.46296296296296297,0.4599326599326599,75,225,54,25,6,100,msp,279,31,3
3,contract_logistic,0.5925925925925926,0.5955709403985266,75,225,54,25,6,100,msp,279,31,3
3,nearest_centroid,0.5925925925925926,0.5965852949723918,75,225,54,25,6,100,msp,279,31,3
4,contract_logistic,0.5555555555555556,0.5488757049732659,75,225,54,25,6,100,msp,279,31,3
4,nearest_centroid,0.5,0.49399301479645813,75,225,54,25,6,100,msp,279,31,3
5,contract_logistic,0.5185185185185185,0.5205595839742182,75,225,54,25,6,100,msp,279,31,3
5,nearest_centroid,0.5185185185185185,0.5195505102625846,75,225,54,25,6,100,msp,279,31,3
1,contract_logistic,0.3968253968253968,0.3927094868955334,86,216,63,24,7,100,p_msp,279,31,3
1,nearest_centroid,0.42857142857142855,0.4296747967479675,86,216,63,24,7,100,p_msp,279,31,3
2,contract_logistic,0.42592592592592593,0.3950373298199385,86,225,54,25,6,100,p_msp,279,31,3
2,nearest_centroid,0.4444444444444444,0.4224598930481283,86,225,54,25,6,100,p_msp,279,31,3
3,contract_logistic,0.5185185185185185,0.5116732399474138,86,225,54,25,6,100,p_msp,279,31,3
3,nearest_centroid,0.5370370370370371,0.5354075005237796,86,225,54,25,6,100,p_msp,279,31,3
4,contract_logistic,0.5370370370370371,0.5318713450292398,86,225,54,25,6,100,p_msp,279,31,3
4,nearest_centroid,0.5,0.4970329180855497,86,225,54,25,6,100,p_msp,279,31,3
5,contract_logistic,0.48148148148148145,0.4701401443161977,86,225,54,25,6,100,p_msp,279,31,3
5,nearest_centroid,0.5185185185185185,0.5205278592375366,86,225,54,25,6,100,p_msp,279,31,3
1,contract_logistic,0.746031746031746,0.7405779405779406,222,216,63,24,7,100,ck4p_msp,279,31,3
1,nearest_centroid,0.6825396825396826,0.6882278620083498,222,216,63,24,7,100,ck4p_msp,279,31,3
2,contract_logistic,0.7222222222222222,0.6795648795648797,222,225,54,25,6,100,ck4p_msp,279,31,3
2,nearest_centroid,0.7222222222222222,0.7138157894736842,222,225,54,25,6,100,ck4p_msp,279,31,3
3,contract_logistic,0.7407407407407407,0.7370141038871689,222,225,54,25,6,100,ck4p_msp,279,31,3
3,nearest_centroid,0.6851851851851852,0.6873343932167462,222,225,54,25,6,100,ck4p_msp,279,31,3
4,contract_logistic,0.6481481481481481,0.6419385893070103,222,225,54,25,6,100,ck4p_msp,279,31,3
4,nearest_centroid,0.6111111111111112,0.6048344947735192,222,225,54,25,6,100,ck4p_msp,279,31,3
5,contract_logistic,0.5555555555555556,0.5565697543385171,222,225,54,25,6,100,ck4p_msp,279,31,3
5,nearest_centroid,0.5740740740740741,0.5720437502046698,222,225,54,25,6,100,ck4p_msp,279,31,3
1,contract_logistic,0.7142857142857143,0.6933706816059756,136,216,63,24,7,150,ck4,279,31,3
1,nearest_centroid,0.6507936507936508,0.6536922015182884,136,216,63,24,7,150,ck4,279,31,3
2,contract_logistic,0.7222222222222222,0.7006631299734748,136,225,54,25,6,150,ck4,279,31,3
