family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
k-mer,k=6,6,,False,False,75,substitution_1pct,120,3298,0.9557681125696201,0.8427476857990897,0.2013491629308584,0.5608064809777791
k-mer,k=7,7,,False,False,75,substitution_1pct,120,6045,0.9584908962745483,0.8547960742202886,0.19473405022808343,0.5388950283305879
canonical k-mer,k=4,4,,True,False,75,substitution_1pct,120,136,0.9812956841798172,0.9325707177786462,0.13063142633697816,0.3672281506592674
canonical k-mer,k=5,5,,True,False,75,substitution_1pct,120,511,0.9663789542765158,0.8808697766807628,0.17549797270970505,0.4881175957489367
canonical k-mer,k=6,6,,True,False,75,substitution_1pct,120,1933,0.9538653163801397,0.8309604243683305,0.20564852157082628,0.5814451826082385
canonical k-mer,k=7,7,,True,False,75,substitution_1pct,120,4728,0.9524840768135969,0.8248842686879503,0.2084657009819697,0.5917935879464293
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,75,substitution_1pct,120,136,0.9812956841798172,0.9325707177786462,0.13063142633697816,0.3672281506592674
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,75,substitution_1pct,120,147,0.9979588385460816,0.9926607680059568,0.043098783122249434,0.12115390062513107
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,75,substitution_1pct,120,136,0.980463513448872,0.9353379878934912,0.1339679497236922,0.3596137839937581
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,75,substitution_1pct,120,147,0.9978633106799758,0.9928048806653785,0.0442331885028994,0.11995794461416584
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,75,substitution_1pct,120,136,0.979799649542839,0.9237805963952351,0.13622305642482072,0.3904280986756621
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,75,substitution_1pct,120,147,0.9978037588952973,0.9916806078750978,0.044910018198004886,0.12899134378365273
k-mer,k=4,4,,False,False,100,reverse_complement,120,256,0.3730844844212251,0.1928007938476803,1.1150071415287381,1.2705893663498742
k-mer,k=5,5,,False,False,100,reverse_complement,120,1021,0.147765550012504,0.03500464900949547,1.3039951835304882,1.3892410280794232
k-mer,k=6,6,,False,False,100,reverse_complement,120,3627,0.06418118278434248,0.0,1.3675035639971043,1.4142135623730954
k-mer,k=7,7,,False,False,100,reverse_complement,120,7513,0.032847846864200385,0.0,1.3903922005577816,1.4142135623730963
canonical k-mer,k=4,4,,True,False,100,reverse_complement,120,136,1.0000000000000002,0.9999999999999992,0.0,0.0
canonical k-mer,k=5,5,,True,False,100,reverse_complement,120,512,1.0000000000000004,0.9999999999999991,0.0,0.0
canonical k-mer,k=6,6,,True,False,100,reverse_complement,120,2010,1.0000000000000007,0.9999999999999991,0.0,0.0
canonical k-mer,k=7,7,,True,False,100,reverse_complement,120,5548,1.0000000000000009,0.999999999999999,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,100,reverse_complement,120,136,1.0000000000000002,0.9999999999999992,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,100,reverse_complement,120,147,0.9993750869865355,0.997361907469363,0.027029438619021844,0.07263642115729668
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,100,reverse_complement,120,136,1.0000000000000002,0.9999999999999992,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,100,reverse_complement,120,147,0.9993750869865357,0.997361907469363,0.02702943861902184,0.07263642115729668
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,100,reverse_complement,120,136,0.5568479259053092,0.40208635897222056,0.9342985336435876,1.0935386685261321
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,100,reverse_complement,120,147,0.9526784665273113,0.9350254553952315,0.3052376659933986,0.3604843248283522
k-mer,k=4,4,,False,False,100,N_3pct,120,256,0.9615315776888643,0.9482467547738302,0.27507494965289836,0.3217166390554032
k-mer,k=5,5,,False,False,100,N_3pct,120,1021,0.9358989192861242,0.921954445729289,0.35599113370828417,0.3950836728357963
k-mer,k=6,6,,False,False,100,N_3pct,120,3627,0.9146437011372631,0.9002923501782479,0.4110270297841273,0.44655940214433204
k-mer,k=7,7,,False,False,100,N_3pct,120,7513,0.8968780787092012,0.8812466991035208,0.45171406773995215,0.48734649049004014
canonical k-mer,k=4,4,,True,False,100,N_3pct,120,136,0.9703424245017761,0.9569183734822146,0.24116065362831396,0.29353509761758056
canonical k-mer,k=5,5,,True,False,100,N_3pct,120,512,0.9421943469984233,0.9242613098409258,0.33761823688179315,0.3892009249233948
canonical k-mer,k=6,6,,True,False,100,N_3pct,120,2010,0.9175867897337272,0.9002676913883894,0.40372057347733015,0.4466145535373579
canonical k-mer,k=7,7,,True,False,100,N_3pct,120,5548,0.8982432039315991,0.880239990848522,0.4485016692150182,0.48940667874657773
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,100,N_3pct,120,136,0.9703424245017761,0.9569183734822146,0.24116065362831396,0.29353509761758056
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,100,N_3pct,120,147,0.9949988296463687,0.9935080217098697,0.09967395529944487,0.11394675057579488
