family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,100,N_3pct,120,136,0.9672360998036424,0.9551736075402766,0.25369648004147627,0.2994202735214772
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,100,N_3pct,120,147,0.9946620211800903,0.9933415481401303,0.10297489737775901,0.1153988873340901
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,100,N_3pct,120,136,0.967296227007055,0.9540369431762509,0.25369898858044043,0.30319195653174136
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,100,N_3pct,120,147,0.9946671234037285,0.9931859905152002,0.10295823417975664,0.11673909309214756
k-mer,k=4,4,,False,False,100,substitution_1pct,120,256,0.9744112946075258,0.9296988743275855,0.17294448556298753,0.37496961527799777
k-mer,k=5,5,,False,False,100,substitution_1pct,120,1021,0.9566147764299271,0.878685951801302,0.22531821246871359,0.4925601988790126
k-mer,k=6,6,,False,False,100,substitution_1pct,120,3627,0.9445620633979995,0.8397088304047405,0.2540754380272647,0.566194207347887
k-mer,k=7,7,,False,False,100,substitution_1pct,120,7513,0.9451029547205352,0.8308789272165916,0.2519560099326508,0.5815858378780078
canonical k-mer,k=4,4,,True,False,100,substitution_1pct,120,136,0.9798558544009985,0.9406642483762758,0.15299105724855458,0.34448638475908455
canonical k-mer,k=5,5,,True,False,100,substitution_1pct,120,512,0.960636334837226,0.8845020947972918,0.2141301113037872,0.480620100558652
canonical k-mer,k=6,6,,True,False,100,substitution_1pct,120,2010,0.944590140918038,0.8394295840281918,0.2540730120487499,0.5666901539097348
canonical k-mer,k=7,7,,True,False,100,substitution_1pct,120,5548,0.9396996702406573,0.8204325097630838,0.2636452873316571,0.5992763542204601
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,100,substitution_1pct,120,136,0.9798558544009985,0.9406642483762758,0.15299105724855458,0.34448638475908455
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,100,substitution_1pct,120,147,0.9978686726151541,0.9937472946067755,0.049810862759479414,0.11182748399973562
