representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_property_multiscale_l2,logistic,76,2,293,0.5652173913043478,0.4362745098039216,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_anchor_l2,nearest_centroid,76,2,221,0.6521739130434783,0.48888888888888893,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_anchor_l2,logistic,76,2,221,0.7391304347826086,0.6166666666666667,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,76,2,469,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,logistic,76,2,469,0.6521739130434783,0.39473684210526316,target_background,Burkholderia,69,clean,target_binary
ckmer5_property_moment_l2,nearest_centroid,76,2,480,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
ckmer5_property_moment_l2,logistic,76,2,480,0.6521739130434783,0.39473684210526316,target_background,Burkholderia,69,clean,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,76,2,590,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
ckmer5_property_multiscale_l2,logistic,76,2,590,0.6521739130434783,0.39473684210526316,target_background,Burkholderia,69,clean,target_binary
ckmer5_property_anchor_l2,nearest_centroid,76,2,518,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
ckmer5_property_anchor_l2,logistic,76,2,518,0.6521739130434783,0.39473684210526316,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,nearest_centroid,76,2,144,0.6086956521739131,0.5548387096774194,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,logistic,76,2,144,0.6521739130434783,0.5892857142857143,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,76,2,612,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,76,2,612,0.6086956521739131,0.3783783783783784,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,nearest_centroid,76,2,652,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,logistic,76,2,652,0.6521739130434783,0.39473684210526316,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,nearest_centroid,76,2,762,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,logistic,76,2,762,0.6521739130434783,0.39473684210526316,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,nearest_centroid,76,2,690,0.6086956521739131,0.4623376623376624,target_background,Burkholderia,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,logistic,76,2,690,0.6956521739130435,0.5165165165165165,target_background,Burkholderia,69,clean,target_binary
ckmer4_count_l2,nearest_centroid,104,4,136,0.34375,0.2857975357975358,within_genus_species,Candida,69,clean,label
ckmer4_count_l2,logistic,104,4,136,0.1875,0.13894736842105262,within_genus_species,Candida,69,clean,label
ckmer4_property_l2,nearest_centroid,104,4,146,0.34375,0.2857975357975358,within_genus_species,Candida,69,clean,label
ckmer4_property_l2,logistic,104,4,146,0.21875,0.1625,within_genus_species,Candida,69,clean,label
ckmer4_property_moment_l2,nearest_centroid,104,4,186,0.34375,0.2808568243350852,within_genus_species,Candida,69,clean,label
ckmer4_property_moment_l2,logistic,104,4,186,0.25,0.20093167701863357,within_genus_species,Candida,69,clean,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,104,4,221,0.34375,0.2857975357975358,within_genus_species,Candida,69,clean,label
ckmer4_property_multiscale_mean_l2,logistic,104,4,221,0.3125,0.25471967963386727,within_genus_species,Candida,69,clean,label
ckmer4_property_multiscale_l2,nearest_centroid,104,4,296,0.34375,0.2857975357975358,within_genus_species,Candida,69,clean,label
ckmer4_property_multiscale_l2,logistic,104,4,296,0.3125,0.23988095238095242,within_genus_species,Candida,69,clean,label
ckmer4_property_anchor_l2,nearest_centroid,104,4,224,0.34375,0.2857975357975358,within_genus_species,Candida,69,clean,label
ckmer4_property_anchor_l2,logistic,104,4,224,0.28125,0.22431077694235585,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,nearest_centroid,104,4,503,0.28125,0.25992098417727705,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,logistic,104,4,503,0.25,0.2648611111111111,within_genus_species,Candida,69,clean,label
ckmer5_property_moment_l2,nearest_centroid,104,4,545,0.3125,0.2583333333333333,within_genus_species,Candida,69,clean,label
ckmer5_property_moment_l2,logistic,104,4,545,0.28125,0.30069444444444443,within_genus_species,Candida,69,clean,label
ckmer5_property_multiscale_l2,nearest_centroid,104,4,655,0.3125,0.24107142857142855,within_genus_species,Candida,69,clean,label
ckmer5_property_multiscale_l2,logistic,104,4,655,0.3125,0.3254180602006689,within_genus_species,Candida,69,clean,label
ckmer5_property_anchor_l2,nearest_centroid,104,4,583,0.3125,0.24107142857142855,within_genus_species,Candida,69,clean,label
ckmer5_property_anchor_l2,logistic,104,4,583,0.28125,0.2548576902025178,within_genus_species,Candida,69,clean,label
cspaced_property_l2,nearest_centroid,104,4,147,0.25,0.24497071555895084,within_genus_species,Candida,69,clean,label
cspaced_property_l2,logistic,104,4,147,0.21875,0.19315476190476188,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,104,4,649,0.3125,0.25512422360248443,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,104,4,649,0.25,0.2673611111111111,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,nearest_centroid,104,4,689,0.3125,0.25512422360248443,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,logistic,104,4,689,0.28125,0.29789712986643935,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,nearest_centroid,104,4,799,0.3125,0.25512422360248443,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,logistic,104,4,799,0.3125,0.29329004329004327,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,nearest_centroid,104,4,727,0.3125,0.25512422360248443,within_genus_species,Candida,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,logistic,104,4,727,0.28125,0.26958333333333334,within_genus_species,Candida,69,clean,label
ckmer4_count_l2,nearest_centroid,84,2,136,0.6538461538461539,0.6267942583732058,target_background,Candida,69,clean,target_binary
ckmer4_count_l2,logistic,84,2,136,0.5769230769230769,0.519327731092437,target_background,Candida,69,clean,target_binary
ckmer4_property_l2,nearest_centroid,84,2,146,0.6538461538461539,0.6267942583732058,target_background,Candida,69,clean,target_binary
