representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer5_count_l2,CK5,logistic,116,4,511,0.17142857142857143,0.16009358288770054,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,nearest_centroid,116,4,147,0.2,0.19385420071918927,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,logistic,116,4,147,0.14285714285714285,0.14930555555555555,within_genus_species,Acinetobacter,69,substitution_1pct,label
ck4p_msp,CK4P-MSP,nearest_centroid,116,4,222,0.2,0.19385420071918927,within_genus_species,Acinetobacter,69,substitution_1pct,label
ck4p_msp,CK4P-MSP,logistic,116,4,222,0.08571428571428572,0.0873015873015873,within_genus_species,Acinetobacter,69,substitution_1pct,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,116,4,222,0.11428571428571428,0.11160130718954248,within_genus_species,Acinetobacter,69,substitution_1pct,label
hash_k15_d222,"Hashed k=15, d=222",logistic,116,4,222,0.08571428571428572,0.07894736842105263,within_genus_species,Acinetobacter,69,substitution_1pct,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,116,4,222,0.2571428571428571,0.10227272727272728,within_genus_species,Acinetobacter,69,substitution_1pct,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,116,4,222,0.2571428571428571,0.10227272727272728,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer4_count_l2,CK4,nearest_centroid,72,3,136,0.3181818181818182,0.2920634920634921,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer4_count_l2,CK4,logistic,72,3,136,0.3181818181818182,0.31645299145299144,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer5_count_l2,CK5,nearest_centroid,72,3,469,0.2727272727272727,0.22222222222222224,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer5_count_l2,CK5,logistic,72,3,469,0.2727272727272727,0.24314574314574314,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,nearest_centroid,72,3,146,0.3181818181818182,0.2920634920634921,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,logistic,72,3,146,0.3181818181818182,0.31645299145299144,within_genus_species,Burkholderia,69,substitution_1pct,label
ck4p_msp,CK4P-MSP,nearest_centroid,72,3,222,0.3181818181818182,0.2920634920634921,within_genus_species,Burkholderia,69,substitution_1pct,label
ck4p_msp,CK4P-MSP,logistic,72,3,222,0.3181818181818182,0.3091820460241513,within_genus_species,Burkholderia,69,substitution_1pct,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,72,3,222,0.22727272727272727,0.1878787878787879,within_genus_species,Burkholderia,69,substitution_1pct,label
hash_k15_d222,"Hashed k=15, d=222",logistic,72,3,222,0.3181818181818182,0.3101010101010101,within_genus_species,Burkholderia,69,substitution_1pct,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,72,3,222,0.4090909090909091,0.2672413793103448,within_genus_species,Burkholderia,69,substitution_1pct,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,72,3,222,0.4090909090909091,0.2672413793103448,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer4_count_l2,CK4,nearest_centroid,67,2,136,0.42857142857142855,0.41666666666666663,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer4_count_l2,CK4,logistic,67,2,136,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer5_count_l2,CK5,nearest_centroid,67,2,459,0.5238095238095238,0.4951923076923077,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer5_count_l2,CK5,logistic,67,2,459,0.38095238095238093,0.35764705882352943,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer4_property_l2,CK4+P,nearest_centroid,67,2,146,0.38095238095238093,0.37528604118993136,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer4_property_l2,CK4+P,logistic,67,2,146,0.47619047619047616,0.4564705882352942,target_background,Burkholderia,69,substitution_1pct,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,67,2,222,0.42857142857142855,0.41666666666666663,target_background,Burkholderia,69,substitution_1pct,target_binary
ck4p_msp,CK4P-MSP,logistic,67,2,222,0.5714285714285714,0.5333333333333333,target_background,Burkholderia,69,substitution_1pct,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,67,2,222,0.5238095238095238,0.41666666666666663,target_background,Burkholderia,69,substitution_1pct,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,67,2,222,0.47619047619047616,0.4296296296296296,target_background,Burkholderia,69,substitution_1pct,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,67,2,222,0.6190476190476191,0.38235294117647056,target_background,Burkholderia,69,substitution_1pct,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,67,2,222,0.5714285714285714,0.36363636363636365,target_background,Burkholderia,69,substitution_1pct,target_binary
ckmer4_count_l2,CK4,nearest_centroid,119,4,136,0.3055555555555556,0.293048128342246,within_genus_species,Candida,69,substitution_1pct,label
ckmer4_count_l2,CK4,logistic,119,4,136,0.3333333333333333,0.2965656565656566,within_genus_species,Candida,69,substitution_1pct,label
ckmer5_count_l2,CK5,nearest_centroid,119,4,503,0.25,0.2325072588230483,within_genus_species,Candida,69,substitution_1pct,label
ckmer5_count_l2,CK5,logistic,119,4,503,0.25,0.2331140350877193,within_genus_species,Candida,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,nearest_centroid,119,4,147,0.2777777777777778,0.26359761295822676,within_genus_species,Candida,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,logistic,119,4,147,0.2777777777777778,0.25854945334350365,within_genus_species,Candida,69,substitution_1pct,label
ck4p_msp,CK4P-MSP,nearest_centroid,119,4,222,0.3333333333333333,0.31168478260869564,within_genus_species,Candida,69,substitution_1pct,label
ck4p_msp,CK4P-MSP,logistic,119,4,222,0.3055555555555556,0.29747474747474745,within_genus_species,Candida,69,substitution_1pct,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,119,4,222,0.19444444444444445,0.18019480519480519,within_genus_species,Candida,69,substitution_1pct,label
hash_k15_d222,"Hashed k=15, d=222",logistic,119,4,222,0.19444444444444445,0.18434343434343434,within_genus_species,Candida,69,substitution_1pct,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,119,4,222,0.25,0.1,within_genus_species,Candida,69,substitution_1pct,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,119,4,222,0.25,0.1,within_genus_species,Candida,69,substitution_1pct,label
ckmer4_count_l2,CK4,nearest_centroid,73,2,136,0.36363636363636365,0.36363636363636365,target_background,Candida,69,substitution_1pct,target_binary
ckmer4_count_l2,CK4,logistic,73,2,136,0.3181818181818182,0.30526315789473685,target_background,Candida,69,substitution_1pct,target_binary
ckmer5_count_l2,CK5,nearest_centroid,73,2,495,0.5909090909090909,0.5900621118012422,target_background,Candida,69,substitution_1pct,target_binary
ckmer5_count_l2,CK5,logistic,73,2,495,0.3181818181818182,0.3167701863354037,target_background,Candida,69,substitution_1pct,target_binary
