retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.9766758516396937,0.9679248812549966,0.21433525043949683,0.25327678947777016,0.10436291404213625,1.0,75,local_mismatch_6bp,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.7238043683786775,0.6138281651436717,0.7327571891372574,0.8788306473998649,0.5321387029455938,1.0,75,local_mismatch_6bp,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.8518801370245694,0.762770148799995,0.533304827332323,0.6888060725247972,0.6667640340726756,1.0,75,local_mismatch_6bp,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9845537546571732,0.9454395952437212,0.11979954822420565,0.33033101956645866,0.3512373554995231,1.0,75,short_indel,ck4,CK4,250,136,,
1.0,0.9711950328021526,0.8990688103403917,0.16434702090045245,0.4492864455402889,0.5934948789839288,1.0,75,short_indel,ckmer5_count_l2,CK5,250,512,,
1.0,0.9922738638746232,0.9727090215029427,0.08472946192115413,0.2336253497811784,0.1761189035994765,1.0,75,short_indel,ck4_p,CK4+P,250,147,,
1.0,0.9948152359913738,0.9817021079022153,0.06944874688548071,0.19129752244494547,0.11937256435437787,1.0,75,short_indel,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.8860406171551658,0.6161290507476898,0.32770730672035514,0.8761457466413848,0.6962987730410676,1.0,75,short_indel,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9396326956615108,0.7902972499680668,0.2345187658471525,0.647226717267866,0.7557204479344564,1.0,75,short_indel,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9796271906580161,0.9432273750766259,0.15592879625171982,0.33696412636392803,0.3111769494016837,1.0,100,substitution_1pct,ck4,CK4,250,136,,
1.0,0.9607584367308709,0.881447556244791,0.21741783242213059,0.48693339014470693,0.5727609989243251,1.0,100,substitution_1pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9898085419539406,0.97159795105141,0.11029552324136091,0.23833565610520532,0.1559346723586192,1.0,100,substitution_1pct,ck4_p,CK4+P,250,147,,
1.0,0.9931845185580083,0.9810078111323108,0.09021288676852718,0.19489536632993898,0.10525356330947228,1.0,100,substitution_1pct,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.848481423937787,0.5706882941996954,0.42756233104013464,0.9266067146481747,0.6570505755673915,1.0,100,substitution_1pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9183893601728198,0.7544018253180992,0.3123530400956673,0.7008505216270519,0.7324580860704412,1.0,100,substitution_1pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9693540170718481,0.9560880424250776,0.24559224008115618,0.296350971486871,0.3098740400629465,1.0,100,N_3pct,ck4,CK4,250,136,,
1.0,0.9409905156588253,0.9229001822957824,0.34166763324944355,0.3926826140898461,0.5619396939559795,1.0,100,N_3pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9836467046432238,0.9770332727164411,0.17960135948689993,0.21432088892688855,0.15536887756296233,1.0,100,N_3pct,ck4_p,CK4+P,250,147,,
1.0,0.9888527875137482,0.9845219952583621,0.1483372659420094,0.1759431772763313,0.10489976648214136,1.0,100,N_3pct,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.7765634371150789,0.6749469698015959,0.6616748638951249,0.8062909284855978,0.5841883404320124,1.0,100,N_3pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.7747813019911421,0.6389248706185217,0.6622108342316524,0.8497942446596153,0.5855601132544511,1.0,100,N_3pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9871047951942643,0.9817835585092796,0.1595205112916455,0.19087336198232255,0.31849409357751557,1.0,100,trim_5bp,ck4,CK4,250,136,,
1.0,0.9798053250550148,0.9746794344808951,0.20015712910732034,0.2250358438964939,0.5897945708463667,1.0,100,trim_5bp,ckmer5_count_l2,CK5,250,512,,
1.0,0.9935259744606031,0.9908698459010378,0.11303521552064953,0.135130256427172,0.15957322160940687,1.0,100,trim_5bp,ck4_p,CK4+P,250,147,,
1.0,0.9954811312708021,0.993631698198888,0.0944771886353565,0.11285618939350335,0.10751397343733968,1.0,100,trim_5bp,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.9703662525095658,0.9646530752325195,0.24307894233035496,0.26588315015239766,0.7771088354850162,1.0,100,trim_5bp,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9695611201802513,0.9505930252479938,0.24205278428469001,0.3143467920395009,0.7824935120514459,1.0,100,trim_5bp,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9519751143695929,0.9101834785806406,0.3013842530447098,0.4238307744931546,0.29473957276616874,1.0,100,substitution_1pct_N_3pct,ck4,CK4,250,136,,
