length,condition,omitted_p_group,n_pairs,p_features_remaining,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,short_indel,hydrogen,250,9,1.0,0.9922879879656259,0.9726637495776399,0.08619620252294245,0.23381913254779627,0.18088985178606418,1.0
75,short_indel,gc,250,9,1.0,0.9922969761168908,0.9727040403853657,0.08614084932048909,0.23364689033077884,0.17967242947544584,1.0
75,short_indel,purine,250,9,1.0,0.9922972014050155,0.9727014484561554,0.08613871458701612,0.2336579325893106,0.17955839825047085,1.0
75,short_indel,eiip,250,9,1.0,0.9922962899789045,0.9727000783743072,0.08614484985163742,0.2336638178407666,0.17977169091780903,1.0
75,short_indel,n_fraction,250,10,1.0,0.9922962887261279,0.9727000584437966,0.08614485649079698,0.2336639037047898,0.17977211618274228,1.0
75,short_indel,scaled_length,250,10,1.0,0.9922968461588867,0.9727029071934689,0.08614142450572021,0.2336517290155619,0.17977588925842874,1.0
75,short_indel,entropy,250,10,1.0,0.9922963211143135,0.9727013427494514,0.08614483482809603,0.23365841716025781,0.17976749653523066,1.0
100,substitution_1pct,none,250,11,1.0,0.9911417060308148,0.9703137797031645,0.0970231935512158,0.24366390410080538,0.15523494410652006,1.0
100,substitution_1pct,hydrogen,250,9,1.0,0.9911300015104021,0.9702835299626345,0.09709963315528901,0.24378787126538887,0.15620688474843192,1.0
100,substitution_1pct,gc,250,9,1.0,0.9911431616491039,0.9703155556735946,0.09701531268259987,0.24365660961373478,0.15513839053471298,1.0
100,substitution_1pct,purine,250,9,1.0,0.9911434566336479,0.9703199748027499,0.09700463535943565,0.24363851461115943,0.15503629307618724,1.0
100,substitution_1pct,eiip,250,9,1.0,0.991141711647029,0.9703138035240078,0.0970231509355979,0.2436638062237886,0.1552342858223626,1.0
100,substitution_1pct,n_fraction,250,10,1.0,0.9911417060308148,0.9703137797031645,0.0970231935512158,0.24366390410080538,0.15523494410652003,1.0
100,substitution_1pct,scaled_length,250,10,1.0,0.9911416597446814,0.9703136488636577,0.09702359466383319,0.24366443946168206,0.15524063959124532,1.0
100,substitution_1pct,entropy,250,10,1.0,0.9911417752289439,0.9703141239854128,0.09702304089451991,0.24366249832981515,0.1552365246944717,1.0
100,N_3pct,none,250,11,1.0,0.9837773808829409,0.9769930580017884,0.1788144173779054,0.214508069344064,0.15340803978757214,1.0
100,N_3pct,hydrogen,250,9,1.0,0.9842512167210243,0.9775154075426427,0.17608997792252148,0.21205867130965395,0.15436418198797758,1.0
100,N_3pct,gc,250,9,1.0,0.9837212529552455,0.9769319545276081,0.1791333216680705,0.21479276963575933,0.1533207690109536,1.0
100,N_3pct,purine,250,9,1.0,0.983719465714778,0.9769347701346701,0.17914522376783928,0.2147796400653385,0.15321527591229558,1.0
100,N_3pct,eiip,250,9,1.0,0.9837779144846377,0.9769930382860582,0.1788113168315842,0.21450816131082898,0.1534072654006048,1.0
100,N_3pct,n_fraction,250,10,1.0,0.9838048062322063,0.9770187422193789,0.17865836549074646,0.21438830460634267,0.15340806377023505,1.0
100,N_3pct,scaled_length,250,10,1.0,0.9837456961894793,0.97696342952964,0.17899506659766184,0.2146461488713875,0.1534168756137919,1.0
100,N_3pct,entropy,250,10,1.0,0.9838313161962216,0.9770428603157307,0.17850683175818355,0.21427581480840413,0.15338945181917246,1.0
100,trim_5bp,none,250,11,1.0,0.9935739685835617,0.9916730425276205,0.11257929109286127,0.12904997264902687,0.15840049164705017,1.0
100,trim_5bp,hydrogen,250,9,1.0,0.9934994759923892,0.9915949089025774,0.11324880079316044,0.12965400464828092,0.15935383464840808,1.0
100,trim_5bp,gc,250,9,1.0,0.9935756838629,0.9916732873519787,0.11256407786693975,0.12904806342121805,0.15831688976640132,1.0
100,trim_5bp,purine,250,9,1.0,0.9935765093308216,0.9916834325834535,0.11255681520907006,0.1289694957020694,0.1582027044592503,1.0
100,trim_5bp,eiip,250,9,1.0,0.9935739496334522,0.9916729737321176,0.11257946835312709,0.1290505055625162,0.15839988379234418,1.0
100,trim_5bp,n_fraction,250,10,1.0,0.9935739685835617,0.9916730425276205,0.11257929109286127,0.12904997264902687,0.15840049164705017,1.0
100,trim_5bp,scaled_length,250,10,1.0,0.9935920187089616,0.9916945432546143,0.11241610861706544,0.12888325064268955,0.1584024843038946,1.0
100,trim_5bp,entropy,250,10,1.0,0.9935724469851316,0.9916702496767265,0.11259264050594792,0.12907160650791005,0.15840098216244738,1.0
100,substitution_1pct_N_3pct,none,250,11,1.0,0.9757977165705408,0.9553899138398826,0.21418032535881554,0.29869674483847003,0.14567696297818683,1.0
100,substitution_1pct_N_3pct,hydrogen,250,9,1.0,0.976262724576641,0.955775021247257,0.21183501461292178,0.2974050338117182,0.14662909914393424,1.0
100,substitution_1pct_N_3pct,gc,250,9,1.0,0.9757430800877089,0.9553463440031287,0.2144531988926381,0.2988426075286583,0.14558867203653292,1.0
100,substitution_1pct_N_3pct,purine,250,9,1.0,0.9757400497945198,0.9553562131681207,0.2144676618008925,0.2988096205297314,0.14548299297453718,1.0
100,substitution_1pct_N_3pct,eiip,250,9,1.0,0.9757982513218736,0.9553901621482951,0.21417755550552858,0.2986959128628624,0.14567622183352638,1.0
100,substitution_1pct_N_3pct,n_fraction,250,10,1.0,0.9758251336506878,0.9554186564635435,0.21404424862528082,0.2986004987307444,0.14567698813230573,1.0
100,substitution_1pct_N_3pct,scaled_length,250,10,1.0,0.9757657240762346,0.955358350343849,0.21433934211925232,0.2988024040796545,0.14568627955529823,1.0
100,substitution_1pct_N_3pct,entropy,250,10,1.0,0.9758549206481607,0.9554509270795063,0.21389871828759555,0.2984923466288992,0.14565692412721848,1.0
100,local_mismatch_6bp,none,250,11,1.0,0.9779452575130438,0.9696485553286516,0.20856383937550965,0.246379532437702,0.14434026932261718,1.0
100,local_mismatch_6bp,hydrogen,250,9,1.0,0.9778670889141386,0.9694557281796423,0.20894126392894122,0.24716074340530791,0.14523714109944763,1.0
100,local_mismatch_6bp,gc,250,9,1.0,0.9779556152451148,0.9696622495048508,0.20851356062373752,0.2463238963617034,0.14424639335412673,1.0
100,local_mismatch_6bp,purine,250,9,1.0,0.9779560881537352,0.96968730252593,0.20851223157651624,0.24622224622186503,0.1441560649174632,1.0
100,local_mismatch_6bp,eiip,250,9,1.0,0.9779452970528141,0.9696486522001959,0.20856364352379891,0.24637913906096942,0.14433963832730073,1.0
