length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,substitution_1pct_N_3pct,P_auxiliary_only,250,3,0.004,0.9993376895733658,0.9991979673968703,0.03633279120168469,0.04005078252822675,-0.00018963463577384055,0.004
75,substitution_1pct_N_3pct,P_train_zscore,250,11,0.004,0.41646561104845387,0.0060685911083822605,1.053525504192906,1.4099156733384324,-0.40162217906374326,0.004
75,substitution_1pct_N_3pct,P_unit_range,250,11,0.26,0.9991297591950768,0.9987378914623455,0.041452847651745076,0.050240645383085265,-0.00011132422688187216,0.256
75,substitution_1pct_N_3pct,MSP_declared,250,75,0.976,0.9991173047380699,0.9982687930990134,0.041160167232988217,0.058841602272830924,0.0013261938359402645,0.976
75,substitution_1pct_N_3pct,MSP_train_zscore,250,75,0.944,0.8736721959695076,0.7267857058647147,0.48103592092683883,0.7392027159518667,0.14263919346897347,0.944
75,substitution_1pct_N_3pct,MSP_unit_range,250,75,1.0,0.9976405494914427,0.9956936848314955,0.06737499791115775,0.09280281427473384,0.011295744140428584,1.0
75,substitution_1pct_N_3pct,CK4+P_declared,250,147,1.0,0.9708284973086273,0.9395762428461913,0.23270997071839125,0.34762914918959137,0.16431515273254424,1.0
75,substitution_1pct_N_3pct,CK4+P_property_only,250,144,1.0,0.9708861221069819,0.9396040142816542,0.2324419406280728,0.34754947138118003,0.1642831105141495,1.0
75,substitution_1pct_N_3pct,CK4+P_auxiliary_only,250,139,1.0,0.9713598899171528,0.9400509113152802,0.23023035147147636,0.3462608175306812,0.16388397524765544,1.0
75,substitution_1pct_N_3pct,CK4+P_train_zscore,250,147,0.608,0.6799238506546968,0.48266065425387883,0.7846335516031033,1.0171785965661786,0.04126302869724208,0.608
75,substitution_1pct_N_3pct,CK4+P_unit_range,250,147,1.0,0.9712559247280084,0.9399617316510424,0.23069045486038028,0.34651757023223745,0.16574039176812103,1.0
75,substitution_1pct_N_3pct,CK4P-MSP_declared,250,222,1.0,0.9802580997851083,0.9593307769704752,0.19162958150724738,0.28519722269054415,0.11123840631500284,1.0
75,substitution_1pct_N_3pct,CK4P-MSP_property_only,250,219,1.0,0.9802965163173446,0.959349291260784,0.1914132003631531,0.28513247510995193,0.1112183250312992,1.0
75,substitution_1pct_N_3pct,CK4P-MSP_auxiliary_only,250,214,1.0,0.9806123615241252,0.9596472226165349,0.18962724705827105,0.284085331111947,0.11096563189766749,1.0
75,substitution_1pct_N_3pct,CK4P-MSP_train_zscore,250,222,0.976,0.7445066324263004,0.6034218206438575,0.7050818687923497,0.8905931701296929,0.1534454483270896,0.976
75,substitution_1pct_N_3pct,CK4P-MSP_unit_range,250,222,1.0,0.9800507996491533,0.9588224451628279,0.19254333895639883,0.28696991251683496,0.12093783687430885,1.0
75,local_mismatch_6bp,P_declared,250,11,0.164,0.9998920363272581,0.999678779239352,0.012852275420814593,0.025342981833781683,-7.071410923468857e-05,0.156
75,local_mismatch_6bp,P_property_only,250,8,0.14,0.9998926704658833,0.9996716867602151,0.01275451813085241,0.02562453072478815,-7.42905076435747e-05,0.132
75,local_mismatch_6bp,P_auxiliary_only,250,3,0.036,0.9999830807597153,0.9999233896478732,0.004001176476584158,0.012377336432159788,-1.6816227434257147e-05,0.016
