target_label,representation,representation_label,n_features,c_value,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
tax_1097667,ck4,CK4,136,10.0,75,N_3pct,2400,0.89125,0.8912500000000001,0.7828330467071967,0.8912268668249759,0.9568229166666666,0.9490434644453158,,,0.9048601973455439,-0.013633330520568032,0.9849332188988287
tax_1097667,ck4,CK4,136,10.0,75,clean,2400,0.8970833333333333,0.8970833333333333,0.7948295770730917,0.8970404156315853,0.9598506944444445,0.9537145425917761,,,0.9048601973455439,-0.007819781713958585,0.9913580222260872
tax_1097667,ck4,CK4,136,10.0,75,substitution_1pct,2400,0.8929166666666667,0.8929166666666667,0.785894733757956,0.8929124835605557,0.9565513888888889,0.9484097629089595,,,0.9048601973455439,-0.011947713784988157,0.9867960665967656
tax_1097667,ck4,CK4,136,10.0,100,N_3pct,2400,0.9020833333333333,0.9020833333333333,0.8059149920272947,0.9019771248674128,0.9639215277777777,0.958527932987862,,,0.9048601973455439,-0.0028830724781311323,0.9968137923553397
tax_1097667,ck4,CK4,136,10.0,100,clean,2400,0.905,0.905,0.8123910457046164,0.9048601973455439,0.9670590277777777,0.9630188278355408,,,0.9048601973455439,0.0,1.0
tax_1097667,ck4,CK4,136,10.0,100,substitution_1pct,2400,0.9054166666666666,0.9054166666666668,0.8126868492425927,0.905308807480187,0.9657736111111112,0.9620101924805204,,,0.9048601973455439,0.0004486101346431459,1.0004957783931254
tax_1097667,ck4_p,CK4+P,147,0.1,69,N_3pct,2400,0.8725,0.8725,0.7495485701501072,0.8721131422553223,0.9386597222222223,0.922567025305799,,,0.8806454392058719,-0.008532296950549578,0.9903113142126261
tax_1097667,ck4_p,CK4+P,147,0.1,69,clean,2400,0.87375,0.87375,0.7550250944571307,0.8731208689475715,0.9406465277777778,0.9235662509284636,,,0.8806454392058719,-0.007524570258300445,0.9914556188866591
tax_1097667,ck4_p,CK4+P,147,0.1,69,substitution_1pct,2400,0.8758333333333334,0.8758333333333332,0.7589635491789277,0.8752364610975703,0.9399243055555555,0.9222229221951344,,,0.8806454392058719,-0.005408978108301654,0.9938579388849397
tax_1097667,ck4_p,CK4+P,147,0.1,75,N_3pct,2400,0.8741666666666666,0.8741666666666666,0.7542491039161913,0.8736732026143791,0.9383840277777779,0.9179303445003895,,,0.8806454392058719,-0.00697223659149282,0.9920828107645909
tax_1097667,ck4_p,CK4+P,147,0.1,75,clean,2400,0.8770833333333333,0.8770833333333333,0.7634939956623357,0.8763325473696125,0.941611111111111,0.9241582934065562,,,0.8806454392058719,-0.0043128918362593804,0.9951025785812863
tax_1097667,ck4_p,CK4+P,147,0.1,75,substitution_1pct,2400,0.8775,0.8775,0.7625095728141457,0.8768967942920309,0.939338888888889,0.9196259852245283,,,0.8806454392058719,-0.0037486449138409705,0.9957432983276205
