representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer4_property_multiscale_l2,nearest_centroid,160,2,297,0.7708333333333334,0.7658536585365854,target_background,75,clean,target_binary
ckmer4_property_multiscale_l2,logistic,160,2,297,0.8125,0.8124185844550587,target_background,75,clean,target_binary
ckmer4_property_multiscale_l2,mlp,160,2,297,0.7291666666666666,0.7290490664350847,target_background,75,clean,target_binary
ckmer4_property_moment_l2,nearest_centroid,160,2,187,0.7708333333333334,0.7658536585365854,target_background,75,clean,target_binary
ckmer4_property_moment_l2,logistic,160,2,187,0.7291666666666666,0.7281045751633988,target_background,75,clean,target_binary
ckmer4_property_moment_l2,mlp,160,2,187,0.5833333333333334,0.5826086956521739,target_background,75,clean,target_binary
ckmer5_count_l2,nearest_centroid,160,2,511,0.75,0.7386569872958257,target_background,75,clean,target_binary
ckmer5_count_l2,logistic,160,2,511,0.7708333333333334,0.7683194383501536,target_background,75,clean,target_binary
ckmer5_count_l2,mlp,160,2,511,0.75,0.7386569872958257,target_background,75,clean,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,160,2,672,0.75,0.7428571428571429,target_background,75,clean,target_binary
ckmer5_property_multiscale_l2,logistic,160,2,672,0.875,0.8747826086956522,target_background,75,clean,target_binary
ckmer5_property_multiscale_l2,mlp,160,2,672,0.8125,0.8084257206208425,target_background,75,clean,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.7291666666666666,0.7192982456140351,target_background,75,clean,target_binary
cspaced_property_l2,logistic,160,2,147,0.7708333333333334,0.7699346405228757,target_background,75,clean,target_binary
cspaced_property_l2,mlp,160,2,147,0.6875,0.6862745098039216,target_background,75,clean,target_binary
ckmer4_count_l2,nearest_centroid,2252,30,136,0.2988165680473373,0.2802574258108911,label_probe,75,N_3pct,label
ckmer4_count_l2,logistic,2252,30,136,0.23668639053254437,0.2247378590424758,label_probe,75,N_3pct,label
ckmer4_count_l2,mlp,2252,30,136,0.2618343195266272,0.24218879209701963,label_probe,75,N_3pct,label
ckmer4_property_l2,nearest_centroid,2252,30,147,0.3032544378698225,0.286105003079998,label_probe,75,N_3pct,label
ckmer4_property_l2,logistic,2252,30,147,0.2440828402366864,0.23193522506801756,label_probe,75,N_3pct,label
ckmer4_property_l2,mlp,2252,30,147,0.257396449704142,0.2411579740376033,label_probe,75,N_3pct,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,2252,30,222,0.30177514792899407,0.28477449893712825,label_probe,75,N_3pct,label
ckmer4_property_multiscale_mean_l2,logistic,2252,30,222,0.25443786982248523,0.2423126444831359,label_probe,75,N_3pct,label
ckmer4_property_multiscale_mean_l2,mlp,2252,30,222,0.1834319526627219,0.16415061807543535,label_probe,75,N_3pct,label
ckmer4_property_multiscale_l2,nearest_centroid,2252,30,297,0.30029585798816566,0.28322911129297096,label_probe,75,N_3pct,label
ckmer4_property_multiscale_l2,logistic,2252,30,297,0.2440828402366864,0.22655141606903054,label_probe,75,N_3pct,label
ckmer4_property_multiscale_l2,mlp,2252,30,297,0.20710059171597633,0.18962638415491606,label_probe,75,N_3pct,label
ckmer4_property_moment_l2,nearest_centroid,2252,30,187,0.2988165680473373,0.28040081270426354,label_probe,75,N_3pct,label
ckmer4_property_moment_l2,logistic,2252,30,187,0.24260355029585798,0.22992537130431526,label_probe,75,N_3pct,label
