split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std,mutation_fraction
5fold_grouped_cv,nearest_centroid,0.8194444444444444,0.818893062736999,150,center,ck4_msp,360,211,0.04212708580028639,0.042165391303388866,0.01
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,150,center,ck4_msp,360,211,0.010393492741038724,0.010400659235583802,0.01
holdout,nearest_centroid,0.7833333333333333,0.7833333333333333,150,center,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9916666666666667,0.9916660879227724,150,center,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.8194444444444444,0.818893062736999,150,center,ck4p_msp,360,222,0.04212708580028639,0.042165391303388866,0.01
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,150,center,ck4p_msp,360,222,0.010393492741038724,0.010400659235583802,0.01
holdout,nearest_centroid,0.7333333333333333,0.7332592386774104,150,jittered,ck4,360,136,,,0.01
holdout,logistic,0.6916666666666667,0.6914738378153013,150,jittered,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.736111111111111,0.7345183024988018,150,jittered,ck4,360,136,0.03828902431136173,0.037268911366004735,0.01
5fold_grouped_cv,logistic,0.7277777777777779,0.7275716934124101,150,jittered,ck4,360,136,0.03888888888888886,0.038916608217178024,0.01
holdout,nearest_centroid,0.7333333333333333,0.7332592386774104,150,jittered,ck4_p,360,147,,,0.01
holdout,logistic,0.7083333333333334,0.7078260869565217,150,jittered,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.736111111111111,0.7345183024988018,150,jittered,ck4_p,360,147,0.03828902431136173,0.037268911366004735,0.01
5fold_grouped_cv,logistic,0.7222222222222223,0.7216767778879312,150,jittered,ck4_p,360,147,0.04564354645876384,0.04601331929451302,0.01
holdout,nearest_centroid,0.7333333333333333,0.7332592386774104,150,jittered,ck4_msp,360,211,,,0.01
holdout,logistic,0.9,0.899749373433584,150,jittered,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.7388888888888889,0.737335233704697,150,jittered,ck4_msp,360,211,0.03333333333333332,0.03220241018548148,0.01
5fold_grouped_cv,logistic,0.8722222222222221,0.8717922779015732,150,jittered,ck4_msp,360,211,0.04427049291808119,0.04466529219277665,0.01
holdout,nearest_centroid,0.7333333333333333,0.7332592386774104,150,jittered,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9083333333333333,0.9080203470141454,150,jittered,ck4p_msp,360,222,,,0.01
