length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets,mutation_fraction
150,center,ck4p_msp,0.12882868325305896,0.10272872922244897,-0.026099954030610013,-0.02869818805371865,-0.023492231309753624,0.8070601594001908,0.78702463039587,0.825332544486341,0.9916139819269613,0.9946425633298377,222,0.7168335001668334,159.13703703703703,180,0.01
150,jittered,ck4,0.22240243596380327,0.18051751881199776,-0.041884917151805486,-0.04575517029839984,-0.03809151536048979,0.8252942619789324,0.8052065162657588,0.8517657043550166,0.9749405463499272,0.983596885671702,136,0.6527641612200435,88.77592592592593,180,0.01
150,jittered,ck4_p,0.15728439536792,0.12768394588441112,-0.029600449483508866,-0.03233356800207416,-0.02692102774699539,0.8254129706518455,0.8053335276336165,0.8518818879657006,0.9874668623685333,0.9917934876517838,147,0.6719450743260267,98.77592592592593,180,0.01
150,jittered,ck4_msp,0.15742991672796167,0.12794049797913354,-0.029489418748828156,-0.03221601413889005,-0.026829546994089286,0.8262058014639911,0.8063534171848696,0.8526886171139852,0.9874442748474602,0.9917605737094713,211,0.7050991750043882,148.77592592592592,180,0.01
150,jittered,ck4p_msp,0.1285590304990369,0.10449453287108751,-0.02406449762794941,-0.02629313084701788,-0.021895486823776775,0.8263236805161356,0.8065053573199249,0.8528060104088104,0.9916272426940199,0.9945037456836029,222,0.7152068735402068,158.77592592592592,180,0.01
150,left,ck4,0.22277598151197825,0.17885534502466713,-0.04392063648731114,-0.04704570374900704,-0.040627632377357836,0.8095867051034058,0.7950560783923981,0.8260132270865551,0.9749783356512,0.9839030190099383,136,0.6532543572984749,88.8425925925926,180,0.01
150,left,ck4_p,0.157547684286854,0.1265068846421137,-0.031040799644740324,-0.033249223305553424,-0.028715754387448923,0.8097120318949225,0.7952009025120135,0.8261132777898094,0.9874858441693132,0.9919468333640247,147,0.6723985890652557,98.8425925925926,180,0.01
150,left,ck4_msp,0.157691750372845,0.12675616644640403,-0.030935583926440958,-0.033141618508192146,-0.02861544281919829,0.8105424029367915,0.7960792717950858,0.8269774972904826,0.9874633895378742,0.9919153012959409,211,0.705415130770581,148.84259259259258,180,0.01
150,left,ck4p_msp,0.12877212549181385,0.10352613743730389,-0.025245988054509984,-0.027045893626051594,-0.023354418806323322,0.8106669236967203,0.7962199053306037,0.8271073144862774,0.9916400439210584,0.9946070834366643,222,0.7155071738405072,158.84259259259258,180,0.01
150,right,ck4,0.21920616534253476,0.17597832894199364,-0.0432278364005411,-0.04873295572271916,-0.038215261678131544,0.8128142130740287,0.7886888750757972,0.8351399870534187,0.9757074262077514,0.9840899306058101,136,0.6520697167755991,88.68148148148148,180,0.01
