sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features,density,avg_nnz_per_read,mutation_fraction
L100_jittered_00077,100,jittered,ck4,0.9172413793103446,0.9586206896551722,0.40683810217248617,0.2876779808912304,-0.11916012128125575,0.7071067811865475,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00078,100,jittered,ck4,0.9236749118767467,0.970047458019202,0.390704717461291,0.24475515104200865,-0.14594956641928233,0.6264453437684886,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00079,100,jittered,ck4,0.9180020381549281,0.952733735076714,0.4049641017301965,0.30746142822567635,-0.09750267350452013,0.7592313168304474,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00080,100,jittered,ck4,0.9142463612072722,0.9687565527464882,0.41413437141277765,0.24997378763987346,-0.16416058377290418,0.6036055080072515,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00081,100,jittered,ck4,0.9125178227877786,0.9682314309476969,0.4182874064855917,0.25206574163222883,-0.16622166485336287,0.6026137476862131,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00082,100,jittered,ck4,0.940982619297442,0.9667218482729047,0.34356187420189127,0.25798508378235835,-0.08557679041953292,0.750913017870998,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00083,100,jittered,ck4,0.9322033898305083,0.966540780309475,0.3682298471593293,0.2586859860546185,-0.10954386110471082,0.7025122706652503,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00084,100,jittered,ck4,0.9555703021246216,0.9724350578274379,0.2980929314001881,0.23479753905253054,-0.06329539234765758,0.7876655711011011,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00085,100,jittered,ck4,0.9117804807676174,0.9766081871345031,0.420046471791831,0.21629522817435007,-0.20375124361748095,0.5149316628031169,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00086,100,jittered,ck4,0.9144934752287666,0.9612213656010463,0.4135372408169148,0.2784910569442176,-0.13504618387269718,0.6734364634103507,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00087,100,jittered,ck4,0.9230276911592552,0.9686394926699383,0.39235776745400325,0.2504416392298268,-0.14191612822417643,0.6382991748957448,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00088,100,jittered,ck4,0.9226353926368556,0.9634219495396604,0.39335634573029205,0.2704738451693235,-0.12288250056096856,0.687605139983622,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00089,100,jittered,ck4,0.9298121969024232,0.9659246825361314,0.3746673273654292,0.26105676571913855,-0.11361056164629063,0.6967694983035407,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00090,100,jittered,ck4,0.9473684210526319,0.9645645879599745,0.32444284226152514,0.2662157472428171,-0.05822709501870804,0.8205320400572356,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00091,100,jittered,ck4,0.9308459577399361,0.9617163101410255,0.371897949066847,0.27670811285170016,-0.09518983621514682,0.7440431267394892,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00092,100,jittered,ck4,0.9299363057324841,0.9577042613611467,0.37433593006153154,0.2908461402145589,-0.08348978984697264,0.7769655992326224,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00093,100,jittered,ck4,0.940145275055083,0.9732475966339402,0.345990534393404,0.23131106054860162,-0.11467947384480237,0.6685473663438215,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00094,100,jittered,ck4,0.9139072847682123,0.9616105792247134,0.41495232312107405,0.27708995209241033,-0.13786237102866372,0.6677633469027754,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00095,100,jittered,ck4,0.933222247808298,0.9583564421295494,0.36545246528571135,0.2885950722741147,-0.07685739301159666,0.7896925036433687,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00096,100,jittered,ck4,0.9323134988132059,0.9712548741276427,0.36793070322220767,0.23977124878665998,-0.1281594544355477,0.6516750211026906,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00097,100,jittered,ck4,0.929824561403509,0.970482162119238,0.37463432463267765,0.2429725823246816,-0.13166174230799604,0.6485593186446862,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00098,100,jittered,ck4,0.9329441729782293,0.9634325446441846,0.3662125804004298,0.2704346699512303,-0.09577791044919953,0.7384636258413827,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00099,100,jittered,ck4,0.9391815389105882,0.9658990081032017,0.34876485226986886,0.2611550952855351,-0.08760975698433376,0.7487999251812717,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00100,100,jittered,ck4,0.9446064278852109,0.9625187993788898,0.3328470282721148,0.27379262452122466,-0.05905440375089016,0.8225779450174,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00101,100,jittered,ck4,0.9173511097078432,0.9735282128757414,0.4065682975642764,0.23009470712842878,-0.17647359043584765,0.5659435536585387,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00102,100,jittered,ck4,0.9215686274509808,0.9748387348716767,0.3960590171906698,0.2243268380213268,-0.17173217916934302,0.5663975021008848,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00103,100,jittered,ck4,0.9324537176853643,0.9591066070275369,0.36754940433807226,0.28598389105844313,-0.08156551327962913,0.778082858203723,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00104,100,jittered,ck4,0.9401856215355229,0.9687689214527786,0.34587390322045647,0.24992430272873126,-0.09594960049172521,0.7225879154271783,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00105,100,jittered,ck4,0.9173286442120087,0.9539771569923461,0.40662355019844,0.30339031958074675,-0.10323323061769324,0.746120876256888,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00106,100,jittered,ck4,0.9157447884107774,0.966681584707466,0.41050021093593303,0.2581411059577075,-0.15235910497822552,0.6288452455825795,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00107,100,jittered,ck4,0.9062988761206485,0.958926602970768,0.4328998126110745,0.2866126202009664,-0.14628719241010812,0.6620761013321682,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00108,100,jittered,ck4,0.9329524115163674,0.9670475645281869,0.36619008310884765,0.2567194401357755,-0.10947064297307213,0.7010551404240712,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00109,100,jittered,ck4,0.9314894053762186,0.9648561311652734,0.3701637330257562,0.26511834653500244,-0.10504538649075379,0.7162191292158687,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00110,100,jittered,ck4,0.946567786648747,0.9651325909401527,0.326901249160211,0.26407350893206794,-0.06282774022814308,0.807808197767541,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00111,100,jittered,ck4,0.9383924133738758,0.9669098586352362,0.35102018923738376,0.25725528707788936,-0.0937649021594944,0.732878891202226,True,136,0.5069035947712418,68.93888888888888,0.03
