sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features,density,avg_nnz_per_read
L150_right_00241,150,right,ncp_anf,0.9814636049917584,0.9825425745252916,0.1925429562889334,0.1868551603499813,-0.005687795938952106,0.9704596000363841,600,0.6265866666666666,375.952
L150_right_00242,150,right,ncp_anf,0.9827062102110005,0.9826805253886843,0.185977363079484,0.18611541908888538,0.0001380560094013661,1.0007423269537505,600,0.6265866666666666,375.952
L150_right_00243,150,right,ncp_anf,0.9834894811018322,0.9835712247278644,0.18171691664876283,0.181266517990147,-0.0004503986586158193,0.9975214269154347,600,0.6265866666666666,375.952
L150_right_00244,150,right,ncp_anf,0.9833838280888596,0.9836449859153237,0.1822974048698532,0.1808591390263559,-0.0014382658434973217,0.9921103328677436,600,0.6265866666666666,375.952
L150_right_00245,150,right,ncp_anf,0.9833371014326316,0.9839655032916907,0.18255354593853834,0.1790781768296071,-0.003475369108931231,0.9809624672527516,600,0.6265866666666666,375.952
L150_right_00246,150,right,ncp_anf,0.9834714448089816,0.9839890812818897,0.1818161444482792,0.1789464652800321,-0.002869679168247097,0.9842165877130706,600,0.6265866666666666,375.952
L150_right_00247,150,right,ncp_anf,0.9836121250979781,0.9836487803522171,0.18104074072992607,0.18083815774212758,-0.0002025829877984886,0.9988810088437459,600,0.6265866666666666,375.952
L150_right_00248,150,right,ncp_anf,0.9826334014631156,0.9826046780913179,0.18636844441527378,0.18652250217431265,0.00015405775903887253,1.0008266300634865,600,0.6265866666666666,375.952
L150_right_00249,150,right,ncp_anf,0.9826393330770766,0.9830168294169929,0.18633661434577145,0.18429959621771203,-0.0020370181280594257,0.9890680737373522,600,0.6265866666666666,375.952
L150_right_00000,150,right,pseeiip,0.9753124303023156,0.9858568746048391,0.22220517409675475,0.16818516816390797,-0.05402000593284678,0.7568913228396524,64,0.9014166666666666,57.690666666666665
L150_right_00001,150,right,pseeiip,0.9721829490249743,0.9853491197873967,0.23586882360763906,0.17117756986593458,-0.06469125374170448,0.725732071105266,64,0.9014166666666666,57.690666666666665
L150_right_00002,150,right,pseeiip,0.9787674915749389,0.9884488250591434,0.2060704172124733,0.15199457188239832,-0.05407584533007498,0.7375855978671654,64,0.9014166666666666,57.690666666666665
L150_right_00003,150,right,pseeiip,0.9764932329109532,0.9920089485260186,0.2168260458941529,0.12642034230282226,-0.09040570359133066,0.5830496137190841,64,0.9014166666666666,57.690666666666665
L150_right_00004,150,right,pseeiip,0.9689948504128064,0.986242864169122,0.24901867234082667,0.1658742646155712,-0.08314440772525547,0.6661117540155485,64,0.9014166666666666,57.690666666666665
L150_right_00005,150,right,pseeiip,0.9783157467510379,0.9886987383873107,0.2082510660186982,0.15034135567227927,-0.057909710346418924,0.7219235826566218,64,0.9014166666666666,57.690666666666665
L150_right_00006,150,right,pseeiip,0.979555978768098,0.9852425386985746,0.2022079188948943,0.17179907625726884,-0.03040884263762547,0.849615965567443,64,0.9014166666666666,57.690666666666665
L150_right_00007,150,right,pseeiip,0.9748468440766561,0.9908013312405104,0.22429068604533778,0.13563678527221013,-0.08865390077312765,0.6047365927838515,64,0.9014166666666666,57.690666666666665
L150_right_00008,150,right,pseeiip,0.9799983930437549,0.988714515065527,0.20000803461983757,0.15023637997817396,-0.04977165464166361,0.7511517237981645,64,0.9014166666666666,57.690666666666665
L150_right_00009,150,right,pseeiip,0.977115563629321,0.9888219424213673,0.21393660916579538,0.14951961462385227,-0.0644169945419431,0.6988968143735438,64,0.9014166666666666,57.690666666666665
L150_right_00010,150,right,pseeiip,0.9760629227221018,0.9870495983435845,0.21880163289106538,0.160937265146489,-0.05786436774457637,0.7355395982196108,64,0.9014166666666666,57.690666666666665
L150_right_00011,150,right,pseeiip,0.9750480107968749,0.9885329267583618,0.22339198375557368,0.15144024063397696,-0.07195174312159672,0.677912600479329,64,0.9014166666666666,57.690666666666665
L150_right_00012,150,right,pseeiip,0.9833242951893948,0.9862441484135882,0.18262368307864854,0.1658665221581005,-0.016757160920548048,0.9082421258948576,64,0.9014166666666666,57.690666666666665
L150_right_00013,150,right,pseeiip,0.9770602126951502,0.9882644131936453,0.21419517877323935,0.15320304700856813,-0.06099213176467122,0.7152497450503246,64,0.9014166666666666,57.690666666666665
L150_right_00014,150,right,pseeiip,0.9607597094840452,0.9871289015930746,0.28014385774439043,0.1604437496877032,-0.11970010805668724,0.5727191414423074,64,0.9014166666666666,57.690666666666665
L150_right_00015,150,right,pseeiip,0.9708052879422611,0.9915160328522405,0.24163903682037327,0.13026102370056372,-0.11137801311980955,0.5390727649580709,64,0.9014166666666666,57.690666666666665
L150_right_00016,150,right,pseeiip,0.9734752338863321,0.9878483250403074,0.2303248406649534,0.15589531718234875,-0.07442952348260465,0.6768497776109393,64,0.9014166666666666,57.690666666666665
L150_right_00017,150,right,pseeiip,0.9792883091255545,0.988633696581222,0.20352734889663182,0.15077336249336706,-0.05275398640326476,0.7408014859464531,64,0.9014166666666666,57.690666666666665
L150_right_00018,150,right,pseeiip,0.9786146500956451,0.9879585897136954,0.20681078262196576,0.15518640588856186,-0.05162437673340389,0.7503786984464476,64,0.9014166666666666,57.690666666666665
L150_right_00019,150,right,pseeiip,0.9824301965819451,0.9889441598060994,0.18745561297573715,0.14869996767922017,-0.03875564529651698,0.7932542820068385,64,0.9014166666666666,57.690666666666665
L150_right_00020,150,right,pseeiip,0.9793766103793674,0.9867078056058083,0.20309303100122672,0.16304719803904622,-0.040045832962180505,0.8028202505779796,64,0.9014166666666666,57.690666666666665
