representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
pseeiip,logistic,87,2,64,0.5925925925925926,0.5714285714285714,target_background,Klebsiella,69,trim_5bp,target_binary
ck4,logistic,116,4,136,0.3142857142857143,0.3136112339672711,within_genus_species,Acinetobacter,69,substitution_1pct_N_3pct,label
ck4p_msp,logistic,116,4,222,0.17142857142857143,0.1637896825396825,within_genus_species,Acinetobacter,69,substitution_1pct_N_3pct,label
pseknc_k3_l3,logistic,116,4,67,0.2571428571428571,0.2585119047619048,within_genus_species,Acinetobacter,69,substitution_1pct_N_3pct,label
ncp_anf,logistic,116,4,276,0.22857142857142856,0.23767752715121138,within_genus_species,Acinetobacter,69,substitution_1pct_N_3pct,label
pseeiip,logistic,116,4,64,0.2571428571428571,0.2585119047619048,within_genus_species,Acinetobacter,69,substitution_1pct_N_3pct,label
ck4,logistic,72,3,136,0.18181818181818182,0.1469298245614035,within_genus_species,Burkholderia,69,substitution_1pct_N_3pct,label
ck4p_msp,logistic,72,3,222,0.3181818181818182,0.30277777777777776,within_genus_species,Burkholderia,69,substitution_1pct_N_3pct,label
pseknc_k3_l3,logistic,72,3,67,0.5,0.49551282051282053,within_genus_species,Burkholderia,69,substitution_1pct_N_3pct,label
ncp_anf,logistic,72,3,276,0.18181818181818182,0.15277777777777776,within_genus_species,Burkholderia,69,substitution_1pct_N_3pct,label
pseeiip,logistic,72,3,64,0.5,0.49551282051282053,within_genus_species,Burkholderia,69,substitution_1pct_N_3pct,label
ck4,logistic,72,2,136,0.5,0.39950372208436724,target_background,Burkholderia,69,substitution_1pct_N_3pct,target_binary
ck4p_msp,logistic,72,2,222,0.5909090909090909,0.5448275862068965,target_background,Burkholderia,69,substitution_1pct_N_3pct,target_binary
pseknc_k3_l3,logistic,72,2,67,0.45454545454545453,0.4107142857142857,target_background,Burkholderia,69,substitution_1pct_N_3pct,target_binary
ncp_anf,logistic,72,2,276,0.5909090909090909,0.5086848635235732,target_background,Burkholderia,69,substitution_1pct_N_3pct,target_binary
pseeiip,logistic,72,2,64,0.45454545454545453,0.4107142857142857,target_background,Burkholderia,69,substitution_1pct_N_3pct,target_binary
ck4,logistic,119,4,136,0.25,0.24335839598997494,within_genus_species,Candida,69,substitution_1pct_N_3pct,label
ck4p_msp,logistic,119,4,222,0.3611111111111111,0.35865384615384616,within_genus_species,Candida,69,substitution_1pct_N_3pct,label
