length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets
150,jittered,pseknc_k3_l3,0.13885395768480224,0.10045666031097494,-0.038397297373827306,-0.04084329920043046,-0.03584247989447517,0.7330426057338265,0.7157625542982766,0.7500594916208322,0.990227107144643,0.9948577126249348,67,0.9028258706467661,60.489333333333335,250
150,jittered,ncp_anf,0.18466105775200828,0.18404561077435797,-0.0006154469776503209,-0.0008219755909641211,-0.00041899672032618145,0.9967306165659073,0.9957520932884018,0.9977430193121466,0.9829398970158078,0.983054375015321,600,0.6242888888888889,374.5733333333333,250
150,jittered,pseeiip,0.21621785415794467,0.1556476026283448,-0.0605702515295999,-0.06482699002123146,-0.05645643221993116,0.7299333902806087,0.711189380453427,0.7481537440082751,0.9762738422740467,0.9876035881094524,64,0.8982708333333334,57.489333333333335,250
150,left,ck4,0.3137563124457289,0.21139441486179697,-0.10236189758393197,-0.10597737266682732,-0.0986215022304926,0.6774171450953813,0.6687162578434859,0.6861417675693321,0.9504344413732025,0.9774990698327287,136,0.6543627450980393,88.99333333333334,250
150,left,ck4p_msp,0.18135675194209183,0.12250502026304397,-0.05885173167904785,-0.06092295874238411,-0.056727660324802226,0.6791608079224283,0.6704311151871367,0.6877578532417549,0.9834403992827265,0.9924436735835132,222,0.7161861861861862,158.99333333333334,250
150,left,pseknc_k3_l3,0.14121256147857492,0.09971802974565673,-0.041494531732918165,-0.04382862388539089,-0.03914944075115175,0.7132326462537214,0.6997114631265596,0.7258957190055513,0.9899274972522676,0.9949589729424194,67,0.9101890547263681,60.98266666666667,250
150,left,ncp_anf,0.18493857068846034,0.1847532554232754,-0.00018531526518496445,-0.00039113155455374073,1.2599563315638135e-05,0.9990568625336658,0.9979966604868098,1.0001260738154678,0.9828905331717768,0.9829255251899078,600,0.6230755555555556,373.8453333333333,250
150,left,pseeiip,0.2204955187050516,0.15476180693020494,-0.06573371177484669,-0.06984266805116908,-0.06216118368253968,0.7103163393912894,0.6952693602559828,0.7250628457195298,0.9753877050780627,0.9878214712761746,64,0.9059791666666667,57.98266666666667,250
150,right,ck4,0.31578883171855204,0.2107181548577805,-0.10507067686077153,-0.10887262307869021,-0.10122885404860162,0.6711433399674754,0.6616035188253324,0.6813754673042393,0.9497937918579473,0.9776066205645186,136,0.6549607843137255,89.07466666666667,250
150,right,ck4p_msp,0.18253781728170287,0.12212616957307014,-0.06041164770863273,-0.06260148226920316,-0.05819054618971556,0.6729095427882037,0.6634036952890408,0.6831115963678747,0.9832252060126503,0.9924781172372493,222,0.7165525525525526,159.07466666666667,250
150,right,pseknc_k3_l3,0.1398879426543574,0.09991322310851465,-0.03997471954584276,-0.04224936205627158,-0.037636885094798886,0.7232996378942613,0.7097358664850312,0.73785907128559,0.9900883916457205,0.9949442170891516,67,0.9058308457711443,60.690666666666665,250
150,right,ncp_anf,0.18407261783176165,0.18324935180850152,-0.0008232660232601014,-0.0010149993832030584,-0.0006635424839627134,0.9955998428404801,0.9946155869384573,0.9965826894644721,0.9830497316931122,0.9832024287812535,600,0.6265866666666666,375.952,250
150,right,pseeiip,0.21772341805202108,0.1548371053606103,-0.06288631269141082,-0.06653261777701067,-0.05924733189874543,0.7202675252583456,0.7065838129989379,0.7348275214998286,0.9760148189132363,0.9878655422728048,64,0.9014166666666666,57.690666666666665,250
