split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.9821428571428571,0.9821371610845295,150,center,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.966,0.9659243757368274,150,center,ck4,500,136,0.018547236990991423,0.018627019164258362
5fold_grouped_cv,logistic,0.968,0.9679442335490933,150,center,ck4,500,136,0.014696938456699083,0.014776768256046876
holdout,nearest_centroid,0.9583333333333334,0.9582608695652174,150,center,ck4p_msp,500,222,,
holdout,logistic,0.9940476190476191,0.9940474081422952,150,center,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.968,0.9679366178806486,150,center,ck4p_msp,500,222,0.01720465053408527,0.017279195451306482
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,ck4p_msp,500,222,0.011661903789690611,0.011671310656271255
holdout,nearest_centroid,0.9285714285714286,0.9283174512871568,150,center,pseknc_k3_l3,500,67,,
holdout,logistic,0.9583333333333334,0.9583200425305688,150,center,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.938,0.9377623200227712,150,center,pseknc_k3_l3,500,67,0.013266499161421568,0.013393393404896576
5fold_grouped_cv,logistic,0.958,0.9579344447596823,150,center,pseknc_k3_l3,500,67,0.017204650534085233,0.01726966540032481
holdout,nearest_centroid,1.0,1.0,150,center,ncp_anf,500,600,,
holdout,logistic,0.9107142857142857,0.9099967855994857,150,center,ncp_anf,500,600,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,150,center,ncp_anf,500,600,0.0,0.0
5fold_grouped_cv,logistic,0.952,0.9518627115143218,150,center,ncp_anf,500,600,0.013266499161421575,0.013373340052017516
holdout,nearest_centroid,0.9226190476190477,0.9222858769526385,150,center,pseeiip,500,64,,
holdout,logistic,0.9642857142857143,0.9642654566080544,150,center,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.9219999999999999,0.9217830447621843,150,center,pseeiip,500,64,0.015999999999999966,0.016074882612958696
5fold_grouped_cv,logistic,0.9480000000000001,0.9479450369929449,150,center,pseeiip,500,64,0.014696938456699055,0.014716989095072974
holdout,nearest_centroid,0.9880952380952381,0.9880935506732813,150,jittered,ck4,500,136,,
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.974,0.9739661311784662,150,jittered,ck4,500,136,0.013564659966250548,0.013608952784753667
5fold_grouped_cv,logistic,0.982,0.9819729366630984,150,jittered,ck4,500,136,0.017204650534085267,0.01725127338534565
holdout,nearest_centroid,0.9880952380952381,0.9880935506732813,150,jittered,ck4p_msp,500,222,,
holdout,logistic,1.0,1.0,150,jittered,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.974,0.9739661311784662,150,jittered,ck4p_msp,500,222,0.013564659966250548,0.013608952784753667
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,jittered,ck4p_msp,500,222,0.00489897948556636,0.004899469432509571
holdout,nearest_centroid,0.9404761904761905,0.9404001702852277,150,jittered,pseknc_k3_l3,500,67,,
holdout,logistic,0.9345238095238095,0.9345029239766082,150,jittered,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.9480000000000001,0.9478563012579115,150,jittered,pseknc_k3_l3,500,67,0.01326649916142158,0.01335524342576198
5fold_grouped_cv,logistic,0.932,0.9319117798186193,150,jittered,pseknc_k3_l3,500,67,0.009797958971132666,0.009739101533327285
holdout,nearest_centroid,0.9166666666666666,0.9166666666666666,150,jittered,ncp_anf,500,600,,
holdout,logistic,0.9285714285714286,0.9282051282051282,150,jittered,ncp_anf,500,600,,
5fold_grouped_cv,nearest_centroid,0.9040000000000001,0.9039739825058077,150,jittered,ncp_anf,500,600,0.03826225293941799,0.0382636210216087
5fold_grouped_cv,logistic,0.9179999999999999,0.9171334972240792,150,jittered,ncp_anf,500,600,0.03655133376499413,0.03724597971940791
holdout,nearest_centroid,0.9226190476190477,0.9224844720496894,150,jittered,pseeiip,500,64,,
holdout,logistic,0.9464285714285714,0.9464114832535885,150,jittered,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.9279999999999999,0.9277177488578616,150,jittered,pseeiip,500,64,0.022271057451320065,0.022377035048582412
5fold_grouped_cv,logistic,0.95,0.9499785733422893,150,jittered,pseeiip,500,64,0.017888543819998298,0.017873553915998132
holdout,nearest_centroid,0.9821428571428571,0.9821371610845295,150,left,ck4,500,136,,
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.9800000000000001,0.979987189590984,150,left,ck4,500,136,0.008944271909999166,0.008955910618377909
5fold_grouped_cv,logistic,0.984,0.9839887902312402,150,left,ck4,500,136,0.01200000000000001,0.012012411864062525
holdout,nearest_centroid,0.9821428571428571,0.9821371610845295,150,left,ck4p_msp,500,222,,
holdout,logistic,1.0,1.0,150,left,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.9800000000000001,0.979987189590984,150,left,ck4p_msp,500,222,0.008944271909999166,0.008955910618377909
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,ck4p_msp,500,222,0.00489897948556636,0.004899469432509571
holdout,nearest_centroid,0.9880952380952381,0.9880935506732813,150,left,pseknc_k3_l3,500,67,,
holdout,logistic,0.9821428571428571,0.9821422244268858,150,left,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.96,0.959911755244009,150,left,pseknc_k3_l3,500,67,0.014142135623730963,0.014215101354110119
5fold_grouped_cv,logistic,0.97,0.9699757706596188,150,left,pseknc_k3_l3,500,67,0.014142135623730963,0.014162534245342964
holdout,nearest_centroid,1.0,1.0,150,left,ncp_anf,500,600,,
holdout,logistic,0.9702380952380952,0.9702117096350934,150,left,ncp_anf,500,600,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,150,left,ncp_anf,500,600,0.0,0.0
5fold_grouped_cv,logistic,0.986,0.9859949980592297,150,left,ncp_anf,500,600,0.008000000000000007,0.00800350151499776
holdout,nearest_centroid,0.9642857142857143,0.9642857142857143,150,left,pseeiip,500,64,,
holdout,logistic,0.9702380952380952,0.9702370407114764,150,left,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.9339999999999999,0.9338690552085251,150,left,pseeiip,500,64,0.013564659966250503,0.013597532221844295
5fold_grouped_cv,logistic,0.958,0.9579560438580991,150,left,pseeiip,500,64,0.016000000000000014,0.01604848547107188
holdout,nearest_centroid,0.9702380952380952,0.9702117096350934,150,right,ck4,500,136,,
holdout,logistic,0.9821428571428571,0.9821371610845295,150,right,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.966,0.9659171601083868,150,right,ck4,500,136,0.021540659228538036,0.021614163437918693
5fold_grouped_cv,logistic,0.9799999999999999,0.9799715360428441,150,right,ck4,500,136,0.016733200530681527,0.01677802477367111
holdout,nearest_centroid,0.9702380952380952,0.9702117096350934,150,right,ck4p_msp,500,222,,
holdout,logistic,0.9940476190476191,0.9940474081422952,150,right,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.968,0.9679354535336401,150,right,ck4p_msp,500,222,0.019390719429665332,0.019441557907647924
5fold_grouped_cv,logistic,0.998,0.9979997999799981,150,right,ck4p_msp,500,222,0.0040000000000000036,0.004000400040003971
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,150,right,pseknc_k3_l3,500,67,,
holdout,logistic,0.9345238095238095,0.9342418958830019,150,right,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.95,0.9497920743339062,150,right,pseknc_k3_l3,500,67,0.021908902300206624,0.02216750397321494
5fold_grouped_cv,logistic,0.962,0.9619420328488311,150,right,pseknc_k3_l3,500,67,0.011661903789690611,0.011736451756418414
holdout,nearest_centroid,1.0,1.0,150,right,ncp_anf,500,600,,
holdout,logistic,0.9107142857142857,0.9099967855994857,150,right,ncp_anf,500,600,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,150,right,ncp_anf,500,600,0.0,0.0
5fold_grouped_cv,logistic,0.944,0.943790638510681,150,right,ncp_anf,500,600,0.01356465996625051,0.013722526170013167
holdout,nearest_centroid,0.9226190476190477,0.9221529139190875,150,right,pseeiip,500,64,,
holdout,logistic,0.9285714285714286,0.928409090909091,150,right,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.944,0.9438147638233451,150,right,pseeiip,500,64,0.01356465996625051,0.013715563865211363
5fold_grouped_cv,logistic,0.958,0.957935186866413,150,right,pseeiip,500,64,0.0213541565040626,0.021454089603684744
