panel,representation,cell_1,cell_2,value,metric
B,pseknc_k3_l3,150,center,0.9579344447596824,grouped_local_change_macro_f1
B,ncp_anf,150,center,0.9518627115143218,grouped_local_change_macro_f1
B,pseeiip,150,center,0.9479450369929447,grouped_local_change_macro_f1
B,ck4,150,jittered,0.9819729366630984,grouped_local_change_macro_f1
B,ck4p_msp,150,jittered,0.995999599959996,grouped_local_change_macro_f1
B,pseknc_k3_l3,150,jittered,0.9319117798186192,grouped_local_change_macro_f1
B,ncp_anf,150,jittered,0.9171334972240792,grouped_local_change_macro_f1
B,pseeiip,150,jittered,0.9499785733422892,grouped_local_change_macro_f1
B,ck4,150,left,0.9839887902312402,grouped_local_change_macro_f1
B,ck4p_msp,150,left,0.995999599959996,grouped_local_change_macro_f1
B,pseknc_k3_l3,150,left,0.9699757706596188,grouped_local_change_macro_f1
B,ncp_anf,150,left,0.9859949980592296,grouped_local_change_macro_f1
B,pseeiip,150,left,0.9579560438580992,grouped_local_change_macro_f1
B,ck4,150,right,0.979971536042844,grouped_local_change_macro_f1
B,ck4p_msp,150,right,0.997999799979998,grouped_local_change_macro_f1
B,pseknc_k3_l3,150,right,0.9619420328488312,grouped_local_change_macro_f1
B,ncp_anf,150,right,0.943790638510681,grouped_local_change_macro_f1
B,pseeiip,150,right,0.957935186866413,grouped_local_change_macro_f1
C,ck4,75,dimension,136.0,feature_dimension
C,ck4p_msp,75,dimension,222.0,feature_dimension
C,pseknc_k3_l3,75,dimension,67.0,feature_dimension
C,ncp_anf,75,dimension,300.0,feature_dimension
C,pseeiip,75,dimension,64.0,feature_dimension
D,ck4,long_duration_full_run_median,75_bp_10000_reads,1.294913399964571,reference_runtime_seconds
D,ck4p_msp,long_duration_full_run_median,75_bp_10000_reads,1.3502091998234391,reference_runtime_seconds
D,pseknc_k3_l3,long_duration_full_run_median,75_bp_10000_reads,25.14430040004663,reference_runtime_seconds
D,ncp_anf,long_duration_full_run_median,75_bp_10000_reads,1.0523253999417648,reference_runtime_seconds
D,pseeiip,long_duration_full_run_median,75_bp_10000_reads,0.8423106998670846,reference_runtime_seconds
