retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9999045041880854,0.9992242587240795,0.00523092820357562,0.039388856688371714,0.017598178103740446,1.0,125,low,35.168,36.27193723849373,36.544,eiip_l2,EIIP positional signal,400,125,1.0,125.0
0.8375,0.9999897522897035,0.9999324277668863,0.0014908023708558858,0.011623973578574337,-6.671338074713817e-06,0.8375,125,low,35.168,36.27193723849373,36.544,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.9933904343423058,0.9656581966243876,0.05273646362150461,0.26207557098151313,0.5358918391288315,1.0,125,mid,36.544,36.732368200836824,36.888,ckmer5_count_l2,canonical 5-mer,400,518,0.18782818532818532,97.295
1.0,0.9874703981641576,0.9411764705882342,0.07276536661371841,0.34299717028501747,0.8579781504542136,1.0,125,mid,36.544,36.732368200836824,36.888,ckmer7_count_l2,canonical 7-mer,400,7899,0.014573205469046715,115.11375
1.0,0.9965483393083926,0.9814350628705341,0.03779506579365089,0.19269111046496376,0.297346799131099,1.0,125,mid,36.544,36.732368200836824,36.888,cspaced_count_l2,canonical spaced count,400,144,0.49449652777777775,71.2075
1.0,0.999627419144241,0.9980523446919725,0.012426519126606887,0.062412413532786044,0.03208570576974628,1.0,125,mid,36.544,36.732368200836824,36.888,cspaced_property_l2,CSP,400,155,0.5239193548387097,81.2075
1.0,0.9965089267432734,0.9820478466977391,0.03832900385778852,0.18948407328363154,0.28953502413319554,1.0,125,mid,36.544,36.732368200836824,36.888,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,673,0.26523402674591384,178.5025
1.0,0.9922089680276769,0.9483565971504395,0.05374126311606298,0.321382270018053,0.25066232344149303,1.0,125,mid,36.544,36.732368200836824,36.888,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9999074568599817,0.9992584449701293,0.005148085416997432,0.03851116624868732,0.017835236235132116,1.0,125,mid,36.544,36.732368200836824,36.888,eiip_l2,EIIP positional signal,400,125,0.99996,124.995
0.8475,0.9999883585443474,0.9998984605975985,0.0016487177538979667,0.014250552799848269,-8.991103876302419e-06,0.8475,125,mid,36.544,36.732368200836824,36.888,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.9968962714016878,0.9703430736811272,0.02620587022690232,0.243544340538924,0.5434838223374457,1.0,125,high,36.888,37.11020920502092,37.632,ckmer5_count_l2,canonical 5-mer,400,517,0.18888297872340426,97.6525
1.0,0.994054606734634,0.9435608239778777,0.036300204583282446,0.335973653970636,0.8644285342253084,1.0,125,high,36.888,37.11020920502092,37.632,ckmer7_count_l2,canonical 7-mer,400,7890,0.014606622306717363,115.24625
1.0,0.9983228643077652,0.9841315389063081,0.018980949121908248,0.1781485786963813,0.2983779121340704,1.0,125,high,36.888,37.11020920502092,37.632,cspaced_count_l2,canonical spaced count,400,139,0.512589928057554,71.25
1.0,0.9998207699744177,0.9983027489458608,0.006218910706877931,0.05826234709964867,0.032363563125688076,1.0,125,high,36.888,37.11020920502092,37.632,cspaced_property_l2,CSP,400,150,0.541675,81.25125
1.0,0.9983585206880528,0.9844405637112775,0.019062199680755895,0.17640532153381258,0.2933039905055229,1.0,125,high,36.888,37.11020920502092,37.632,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,667,0.26822151424287854,178.90375
1.0,0.9961316816038296,0.9721175242384293,0.027172758268836156,0.23614483660767657,0.2584892294755677,1.0,125,high,36.888,37.11020920502092,37.632,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9999687670683306,0.9999828621490859,0.00184885151372987,0.005854544045153189,0.01871133855378501,1.0,125,high,36.888,37.11020920502092,37.632,eiip_l2,EIIP positional signal,400,125,0.99998,124.9975
0.9425,0.9999976740665915,0.9999986444772837,0.0004437177266136481,0.001645300827549825,1.0364355233155597e-06,0.9425,125,high,36.888,37.11020920502092,37.632,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.9895835536696219,0.9570637371122321,0.08577915755565936,0.29303987753001837,0.5069549768453131,1.0,150,low,35.21333333333333,36.095094577553596,36.38,ckmer5_count_l2,canonical 5-mer,400,512,0.2212646484375,113.2875
1.0,0.9791067989775664,0.9078652332294758,0.12183105365016185,0.4292661692300419,0.8412171113299814,1.0,150,low,35.21333333333333,36.095094577553596,36.38,ckmer7_count_l2,canonical 7-mer,400,8001,0.017348768903887014,138.8075
1.0,0.9948574105041631,0.9771522372030187,0.06005142431189313,0.2137651021971924,0.26452648385889593,1.0,150,low,35.21333333333333,36.095094577553596,36.38,cspaced_count_l2,canonical spaced count,400,136,0.5798253676470588,78.85625
1.0,0.9994616799699847,0.9976044602809727,0.019420775694898352,0.06921761361144342,0.02826087090520471,1.0,150,low,35.21333333333333,36.095094577553596,36.38,cspaced_property_l2,CSP,400,147,0.6044642857142857,88.85625
1.0,0.9945226168198034,0.977429670390947,0.062210727823664165,0.21246277933463667,0.2723669591707857,1.0,150,low,35.21333333333333,36.095094577553596,36.38,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.30674317147192715,202.14375
1.0,0.9878836369776809,0.9400249895167287,0.0855579004328791,0.3463332691783075,0.23224881702302635,1.0,150,low,35.21333333333333,36.095094577553596,36.38,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9998481771979815,0.9993169938925113,0.008694118715403716,0.036959597897617276,0.019026788121686778,1.0,150,low,35.21333333333333,36.095094577553596,36.38,eiip_l2,EIIP positional signal,400,150,1.0,150.0
0.7275,0.9999860476852587,0.9999296829756568,0.0021869811139422347,0.01185892270368305,-5.0642760552535585e-06,0.7275,150,low,35.21333333333333,36.095094577553596,36.38,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
