task,representation,length,condition,n,paired_cosine_mean,paired_cosine_median,paired_cosine_p05,l2_delta_mean,l2_delta_p95,group,classifier,n_classes,accuracy,macro_f1,auroc
perturbation_stability,kmer5_count_l2,150,N_3pct,1680,0.947114430648045,,0.9338791905438532,0.32373058427215157,0.3636504073329515,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,150,substitution_1pct,1680,0.9607713325104771,,0.9010267406010531,0.23922177205583575,0.4449117651769081,close_relative_wgs,,,,,
close_relative_species,kmer5_count_l2,150,clean,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.25,0.2461622807017544,
close_relative_species,kmer5_count_l2,150,clean,120,,,,,,Acinetobacter,logistic_regression,4.0,0.25,0.2413893188854489,
close_relative_species,kmer5_count_l2,150,clean,90,,,,,,Burkholderia,nearest_centroid,3.0,0.37037037037037035,0.3159420289855072,
close_relative_species,kmer5_count_l2,150,clean,90,,,,,,Burkholderia,logistic_regression,3.0,0.4074074074074074,0.4054317379125563,
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Burkholderia,nearest_centroid,2.0,0.6296296296296297,0.555921052631579,0.771604938271605
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Burkholderia,logistic_regression,2.0,0.6666666666666666,0.5440900562851783,0.7777777777777779
close_relative_species,kmer5_count_l2,150,clean,120,,,,,,Candida,nearest_centroid,4.0,0.3611111111111111,0.3301728586171311,
close_relative_species,kmer5_count_l2,150,clean,120,,,,,,Candida,logistic_regression,4.0,0.3333333333333333,0.3040472599296129,
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Candida,nearest_centroid,2.0,0.6296296296296297,0.5833333333333333,0.6111111111111112
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Candida,logistic_regression,2.0,0.7037037037037037,0.5090909090909091,0.6358024691358025
close_relative_species,kmer5_count_l2,150,clean,150,,,,,,Enterobacter,nearest_centroid,5.0,0.26666666666666666,0.2631578947368421,
close_relative_species,kmer5_count_l2,150,clean,150,,,,,,Enterobacter,logistic_regression,5.0,0.2222222222222222,0.22162464985994398,
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Enterobacter,nearest_centroid,2.0,0.6666666666666666,0.5846153846153846,0.4197530864197531
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Enterobacter,logistic_regression,2.0,0.6296296296296297,0.46428571428571425,0.3765432098765432
close_relative_species,kmer5_count_l2,150,clean,60,,,,,,Escherichia,nearest_centroid,2.0,0.5,0.4984520123839009,0.5679012345679013
close_relative_species,kmer5_count_l2,150,clean,60,,,,,,Escherichia,logistic_regression,2.0,0.5555555555555556,0.5555555555555556,0.6049382716049383
close_relative_target_binary,kmer5_count_l2,150,clean,60,,,,,,Escherichia,nearest_centroid,2.0,0.5,0.4984520123839009,0.42592592592592593
close_relative_target_binary,kmer5_count_l2,150,clean,60,,,,,,Escherichia,logistic_regression,2.0,0.3888888888888889,0.38699690402476783,0.4691358024691358
close_relative_species,kmer5_count_l2,150,clean,90,,,,,,Klebsiella,nearest_centroid,3.0,0.2962962962962963,0.280952380952381,
close_relative_species,kmer5_count_l2,150,clean,90,,,,,,Klebsiella,logistic_regression,3.0,0.5185185185185185,0.49927849927849927,
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Klebsiella,nearest_centroid,2.0,0.5555555555555556,0.4214285714285714,0.43209876543209874
close_relative_target_binary,kmer5_count_l2,150,clean,90,,,,,,Klebsiella,logistic_regression,2.0,0.6296296296296297,0.46428571428571425,0.4012345679012346
close_relative_species,kmer5_count_l2,150,N_3pct,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.2222222222222222,0.21621701312103786,
close_relative_species,kmer5_count_l2,150,N_3pct,120,,,,,,Acinetobacter,logistic_regression,4.0,0.25,0.2375,
close_relative_species,kmer5_count_l2,150,N_3pct,90,,,,,,Burkholderia,nearest_centroid,3.0,0.25925925925925924,0.22857142857142856,
close_relative_species,kmer5_count_l2,150,N_3pct,90,,,,,,Burkholderia,logistic_regression,3.0,0.4444444444444444,0.4527777777777778,
close_relative_target_binary,kmer5_count_l2,150,N_3pct,90,,,,,,Burkholderia,nearest_centroid,2.0,0.6296296296296297,0.555921052631579,0.654320987654321
close_relative_target_binary,kmer5_count_l2,150,N_3pct,90,,,,,,Burkholderia,logistic_regression,2.0,0.7037037037037037,0.5714285714285714,0.6975308641975309
close_relative_species,kmer5_count_l2,150,N_3pct,120,,,,,,Candida,nearest_centroid,4.0,0.4166666666666667,0.37717391304347825,
close_relative_species,kmer5_count_l2,150,N_3pct,120,,,,,,Candida,logistic_regression,4.0,0.3888888888888889,0.380840742093939,
close_relative_target_binary,kmer5_count_l2,150,N_3pct,90,,,,,,Candida,nearest_centroid,2.0,0.6296296296296297,0.555921052631579,0.5308641975308642
close_relative_target_binary,kmer5_count_l2,150,N_3pct,90,,,,,,Candida,logistic_regression,2.0,0.6296296296296297,0.38636363636363635,0.5123456790123457
