representation,representation_label,probe_scaling,n_features,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
ck4p_msp,CK4P-MSP,contract,222,75,N_3pct,2486,0.8817377312952535,0.8817377312952535,0.7650616503522973,0.8816151359714509,0.9471324210429573,0.9275493418002734,0.8690759816423023,0.8936484502317747,0.8925992985000062,-0.010984162528555275,0.9876941842246415
ck4p_msp,CK4P-MSP,contract,222,75,clean,2486,0.8861625100563154,0.8861625100563153,0.7756517885310124,0.8859183868385305,0.949348531988306,0.9299107987788178,0.87340646347227,0.8980623155142081,0.8925992985000062,-0.006680911661475664,0.9925152174411264
ck4p_msp,CK4P-MSP,contract,222,75,substitution_1pct,2486,0.8869670152855994,0.8869670152855993,0.7762043482296203,0.8868017107288066,0.9489653726192504,0.9314846062933443,0.8750907752766736,0.8997581519138392,0.8925992985000062,-0.005797587771199542,0.9935048259830114
ck4p_msp,CK4P-MSP,contract,222,100,N_3pct,2486,0.8901850362027354,0.8901850362027353,0.784093982055331,0.88992426472556,0.954385265451128,0.939677255084672,0.8769707987821415,0.9016724537601933,0.8925992985000062,-0.0026750337744462227,0.9970030967098658
ck4p_msp,CK4P-MSP,contract,222,100,clean,2486,0.8930008045052292,0.8930008045052293,0.7919451156414385,0.8925992985000062,0.9567696558491026,0.9423863413856681,0.8809619453976781,0.9044158469151378,0.8925992985000062,0.0,1.0
ck4p_msp,CK4P-MSP,contract,222,100,substitution_1pct,2486,0.8930008045052292,0.8930008045052293,0.791035032424074,0.8926603854562123,0.9557127314408799,0.9419259526355763,0.8800089956123075,0.9047836287568667,0.8925992985000062,6.108695620610227e-05,1.0000684371546211
ck4p_msp,CK4P-MSP,train_zscore,222,69,N_3pct,2486,0.7357200321802092,0.7357200321802092,0.517575761982563,0.7239657686199505,0.9235907728492753,0.8936584709171776,0.7078044390959882,0.7410721306428469,0.8961411185878814,-0.17217534996793082,0.8078702713259707
ck4p_msp,CK4P-MSP,train_zscore,222,69,clean,2486,0.8781174577634755,0.8781174577634754,0.7579265087778436,0.8779814449532479,0.9418439156298601,0.9203101774721172,0.8655737706208343,0.8912234173038469,0.8961411185878814,-0.018159673634633444,0.9797356986997214
ck4p_msp,CK4P-MSP,train_zscore,222,69,substitution_1pct,2486,0.8712791633145616,0.8712791633145616,0.7432089587658259,0.8712228198757683,0.9397572504173006,0.9189681057046845,0.8575655057373565,0.8841266982180248,0.8961411185878814,-0.02491829871211304,0.9721937781949134
ck4p_msp,CK4P-MSP,train_zscore,222,75,N_3pct,2486,0.7445695897023331,0.744569589702333,0.5281791079584635,0.7351429935229064,0.9230477480002254,0.8890285797328884,0.7172456248505338,0.7537269923292592,0.8961411185878814,-0.16099812506497502,0.8203428882733647
ck4p_msp,CK4P-MSP,train_zscore,222,75,clean,2486,0.8797264682220435,0.8797264682220434,0.7606949022116102,0.8796282846341509,0.9416154439114874,0.916504288595629,0.8663453519901574,0.8913326443069846,0.8961411185878814,-0.016512833953730488,0.9815733999799596
ck4p_msp,CK4P-MSP,train_zscore,222,75,substitution_1pct,2486,0.8761061946902655,0.8761061946902655,0.7530902599284097,0.8760339837671105,0.940155296045627,0.9159613623805747,0.8631541229146693,0.8889600363923582,0.8961411185878814,-0.020107134820770867,0.9775625351814509
ck4p_msp,CK4P-MSP,train_zscore,222,100,N_3pct,2486,0.7308930008045053,0.7308930008045053,0.5208668543194044,0.7156827398111759,0.93799031616473,0.9183943493610942,0.6978980975183312,0.7334789925089567,0.8961411185878814,-0.18045837877670545,0.7986272752877721
ck4p_msp,CK4P-MSP,train_zscore,222,100,clean,2486,0.8962188254223652,0.8962188254223653,0.7936261170221265,0.8961411185878814,0.952587911451352,0.9372877559495553,0.8844691909009316,0.9078612012389878,0.8961411185878814,0.0,1.0
ck4p_msp,CK4P-MSP,train_zscore,222,100,substitution_1pct,2486,0.8934030571198712,0.8934030571198712,0.7871549232103732,0.8933794391718687,0.9516837330078204,0.936782069194779,0.8816930056513139,0.905456062785599,0.8961411185878814,-0.0027616794160126856,0.9969182538790715
ck5,CK5,contract,512,69,N_3pct,2486,0.8668543845534996,0.8668543845534996,0.7345366923764791,0.8667793479219941,0.943833496542828,0.9247937309350877,0.8542191375878719,0.8796984769748574,0.8991778493004905,-0.032398501378496425,0.9639687505606365
ck5,CK5,contract,512,69,clean,2486,0.8793242156074015,0.8793242156074015,0.7586572697114472,0.8793235126598664,0.946367396762174,0.9273783652599973,0.8664498867237239,0.8905971486426572,0.8991778493004905,-0.019854336640624082,0.9779194553601719
ck5,CK5,contract,512,69,substitution_1pct,2486,0.8765084473049075,0.8765084473049075,0.753071730187366,0.8765039512321335,0.9446185849121937,0.926399528522157,0.8644246047002959,0.8885666245208739,0.8991778493004905,-0.022673898068356957,0.9747837448553743
ck5,CK5,contract,512,75,N_3pct,2486,0.8708769106999196,0.8708769106999196,0.741928874088603,0.8708616778761016,0.9460010653383808,0.9288754884467144,0.8583571247501871,0.883730971358183,0.8991778493004905,-0.028316171424388914,0.9685088200889098
ck5,CK5,contract,512,75,clean,2486,0.8897827835880934,0.8897827835880934,0.7799301130083255,0.8897570253669349,0.9495556451607684,0.9312837896226434,0.8776802916986057,0.9018380619867251,0.8991778493004905,-0.009420823933555589,0.9895228469641635
ck5,CK5,contract,512,75,substitution_1pct,2486,0.8837489943684634,0.8837489943684634,0.7675538788448153,0.8837447619090769,0.948813921111887,0.9316028492681117,0.8712790633402215,0.8958145498533258,0.8991778493004905,-0.01543308739141358,0.982836446200916
ck5,CK5,contract,512,100,N_3pct,2486,0.8909895414320194,0.8909895414320192,0.7834838055366082,0.8908848613122822,0.9540959542383446,0.9411027335393284,0.8778217151187163,0.9025863094191235,0.8991778493004905,-0.008292987988208322,0.990777143815698
ck5,CK5,contract,512,100,clean,2486,0.8994368463395012,0.8994368463395013,0.8030099708339871,0.8991778493004905,0.9581243054427402,0.9448642841494806,0.8878281204553953,0.9100987062495032,0.8991778493004905,0.0,1.0
ck5,CK5,contract,512,100,substitution_1pct,2486,0.8974255832662912,0.8974255832662912,0.7978126068569519,0.8972352083818642,0.9565288867861149,0.9430877331945502,0.8850330994829936,0.9089384606864576,0.8991778493004905,-0.0019426409186262816,0.9978395365053336
ck5,CK5,train_zscore,512,69,N_3pct,2486,0.8024939662107804,0.8024939662107804,0.6091467584555489,0.801819757886248,0.8996290732526929,0.8613278483518361,0.7853910883577233,0.8169077108223511,0.856796586221783,-0.054976828335534966,0.9358344451651397
ck5,CK5,train_zscore,512,69,clean,2486,0.8141592920353983,0.8141592920353982,0.6307037723631826,0.8138078881652879,0.9099556065859399,0.8719173106623409,0.7977865888093534,0.8299854615310696,0.856796586221783,-0.04298869805649508,0.9498262496048655
ck5,CK5,train_zscore,512,69,substitution_1pct,2486,0.8125502815768303,0.8125502815768302,0.6283371070876212,0.8120675110961144,0.9065350030969892,0.8666771610532163,0.7962164166673802,0.8269565112387162,0.856796586221783,-0.044729075125668594,0.9477949890966414
ck5,CK5,train_zscore,512,75,N_3pct,2486,0.8073209975864843,0.8073209975864843,0.6168467507832092,0.8069766586142612,0.904691048633409,0.8707018519164831,0.7916490576864589,0.8219635482458542,0.856796586221783,-0.04981992760752185,0.9418532608454793
ck5,CK5,train_zscore,512,75,clean,2486,0.8222043443282381,0.8222043443282381,0.6451607467408087,0.8221007169644898,0.9116662319447474,0.8763566418238764,0.8072259048443666,0.8356483816614347,0.856796586221783,-0.03469586925729318,0.9595051266365432
ck5,CK5,train_zscore,512,75,substitution_1pct,2486,0.8197908286403862,0.8197908286403861,0.640977935016717,0.8195945490641248,0.9100099737937114,0.8746263333762478,0.80506869470171,0.8349143178908098,0.856796586221783,-0.03720203715765824,0.9565800824187359
ck5,CK5,train_zscore,512,100,N_3pct,2486,0.8447304907481898,0.8447304907481898,0.6902656179236867,0.844639992643197,0.9249525419582162,0.8879260203305901,0.8308548189401944,0.8595120892543828,0.856796586221783,-0.012156593578586006,0.9858115756130718
ck5,CK5,train_zscore,512,100,clean,2486,0.8567980691874497,0.8567980691874497,0.7136109183500777,0.856796586221783,0.9290766830048756,0.8996297092002047,0.8434929102932506,0.8692773376047739,0.856796586221783,0.0,1.0
