representation,probe_scaling,fold,length,condition,coordinate,train_mean,train_sd,scaler_scale,target_mean,mean_raw_delta,mean_abs_raw_delta,mean_scaled_delta,mean_abs_scaled_delta,logistic_coefficient,mean_logit_shift,mean_abs_logit_shift
ck4p_msp,train_zscore,1,69,clean,length_scaled,0.09563765103788906,0.004995622891812613,0.004995622891812613,0.06650045051041047,-0.02921204495517136,0.02921204495517136,-5.847528043609404,5.847528043609404,-0.10208497171434527,0.5969447349307068,0.5969447349307068
ck4p_msp,train_zscore,1,69,clean,base_entropy,0.1532311758044414,0.014207887371803288,0.014207887371803288,0.15361031687850457,0.0002628953804682158,0.0027771890259322553,0.01850348145284099,0.19546811945059567,-0.9393932741692045,-0.017382046025513444,0.18362143672639222
ck4p_msp,train_zscore,1,69,substitution_1pct,hydrogen_mean,0.5014377017384614,0.005442376457106507,0.005442376457106507,0.505094005961853,0.003754245712293392,0.003771651345696357,0.6898173512769777,0.6930155191251861,0.5336997826821934,0.36815537046692925,0.3698622319524993
ck4p_msp,train_zscore,1,69,substitution_1pct,hydrogen_sd,0.08747494850194006,0.010180463402710593,0.010180463402710593,0.08818678468146597,0.0006078330896392835,0.002049735493743002,0.05970583711125029,0.20134009746523432,-0.35807855997711274,-0.021379380175024564,0.07209557216600264
ck4p_msp,train_zscore,1,69,substitution_1pct,gc_mean,0.11888709758690486,0.024626732690552742,0.024626732690552742,0.11939322675735058,0.0009034483701182564,0.0039126812918292495,0.03668567736818923,0.15887943159143575,0.20077804396495966,0.007365678543514622,0.03189950150119309
ck4p_msp,train_zscore,1,69,substitution_1pct,gc_sd,0.08747494850194006,0.010180463402710605,0.010180463402710605,0.08818678468146597,0.0006078330896392951,0.0020497354937430044,0.059705837111251346,0.20134009746523432,-0.3580785599771287,-0.021379380175025893,0.07209557216600583
ck4p_msp,train_zscore,1,69,substitution_1pct,purine_mean,0.09518828886300892,0.01195617269871893,0.01195617269871893,0.09629174689064621,0.0008720547989496688,0.004947859178696164,0.07293762150517506,0.413833030299597,0.007013529630978872,0.0005115501696396672,0.0029024302202840004
ck4p_msp,train_zscore,1,69,substitution_1pct,purine_sd,0.09495876597296458,0.004835481474008504,0.004835481474008504,0.09559257433022623,0.0005377507730766131,0.0010011595829865932,0.11120935442873901,0.20704444601183725,0.12815782172699944,0.014252348619253029,0.026534365201550402
ck4p_msp,train_zscore,1,69,substitution_1pct,eiip_mean,0.022163568297603173,0.0019253877879029178,0.0019253877879029178,0.02235378032168889,0.00015483429649115624,0.0003725222235254315,0.08041720086933642,0.19347906217436486,0.12976896167829816,0.010435656657888922,0.025107577004858224
ck4p_msp,train_zscore,1,69,substitution_1pct,eiip_sd,0.004450786557058927,0.00029422279176893087,0.00029422279176893087,0.00447641535538428,2.7179733219673052e-05,8.182742663245799e-05,0.09237806852508819,0.2781138270780922,0.07576971017031545,0.006999459478239472,0.021072604072064276
ck4p_msp,train_zscore,1,69,substitution_1pct,n_fraction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck4p_msp,train_zscore,1,69,substitution_1pct,length_scaled,0.09563765103788906,0.004995622891812613,0.004995622891812613,0.06653338441277667,-0.02917911105280516,0.02917911105280516,-5.8409354918737275,5.8409354918737275,-0.10208497171434527,0.5962717344732449,0.5962717344732449
ck4p_msp,train_zscore,1,69,substitution_1pct,base_entropy,0.1532311758044414,0.014207887371803288,0.014207887371803288,0.15399014702087538,0.0006427255228390225,0.0028180220460664413,0.04523723379976701,0.19834208790668173,-0.9393932741692045,-0.04249555317352093,0.18632122336421392
ck4p_msp,train_zscore,1,75,N_3pct,hydrogen_mean,0.5014377017384614,0.005442376457106507,0.005442376457106507,0.4946247138158312,-0.006715046433728472,0.006715046433728472,-1.2338445321914744,1.2338445321914744,0.5336997826821934,-0.6585025586942026,0.6585025586942026
ck4p_msp,train_zscore,1,75,N_3pct,hydrogen_sd,0.08747494850194006,0.010180463402710593,0.010180463402710593,0.1199071834295535,0.032328231837726845,0.032328231837726845,3.175516728356325,3.175516728356325,-0.35807855997711274,-1.1370844572730654,1.1370844572730654
ck4p_msp,train_zscore,1,75,N_3pct,gc_mean,0.11888709758690486,0.024626732690552742,0.024626732690552742,0.11708250751853098,-0.0014072708687013422,0.0034490247857060295,-0.0571440347521698,0.14005206573867338,0.20077804396495966,-0.011473267521806331,0.028119379812262788
ck4p_msp,train_zscore,1,75,N_3pct,gc_sd,0.08747494850194006,0.010180463402710605,0.010180463402710605,0.0895660718772576,0.0019871202854309313,0.0024355399799391737,0.19518957112520532,0.23923665196720786,-0.3580785599771287,-0.06989320055106688,0.0856655158301673
ck4p_msp,train_zscore,1,75,N_3pct,purine_mean,0.09518828886300892,0.01195617269871893,0.01195617269871893,0.09432772735769522,-0.0010919647340013137,0.004343368531658343,-0.09133062573764218,0.363274154790665,0.007013529630978872,-0.0006405500498267949,0.0025478340487931337
ck4p_msp,train_zscore,1,75,N_3pct,purine_sd,0.09495876597296458,0.004835481474008504,0.004835481474008504,0.09618868642936998,0.0011338628722203858,0.0012919565019837986,0.23448810181883273,0.2671825978298695,0.12815782172699944,0.03005148435000046,0.034241539741237
ck4p_msp,train_zscore,1,75,N_3pct,eiip_mean,0.022163568297603173,0.0019253877879029178,0.0019253877879029178,0.021876311149259985,-0.00032263487593775606,0.0004130046556351128,-0.1675687765160085,0.21450466146611782,0.12976896167829816,-0.021745226138185216,0.02783604719361296
ck4p_msp,train_zscore,1,75,N_3pct,eiip_sd,0.004450786557058927,0.00029422279176893087,0.00029422279176893087,0.005746579600868254,0.0012973439787036468,0.0012973439787036468,4.409393204733512,4.409393204733512,0.07576971017031545,0.3340984451496166,0.3340984451496166
ck4p_msp,train_zscore,1,75,N_3pct,n_fraction,0.0,0.0,1.0,0.005171811045168497,0.005171811045168497,0.005171811045168497,0.005171811045168497,0.005171811045168497,0.0,0.0,0.0
ck4p_msp,train_zscore,1,75,N_3pct,length_scaled,0.09563765103788906,0.004995622891812613,0.004995622891812613,0.07272859282268197,-0.02298390264289986,0.02298390264289986,-4.6008081756067805,4.6008081756067805,-0.10208497171434527,0.46967337246994667,0.46967337246994667
ck4p_msp,train_zscore,1,75,N_3pct,base_entropy,0.1532311758044414,0.014207887371803288,0.014207887371803288,0.16535541822094652,0.012007996722910181,0.012014466507558486,0.8451641267047927,0.8456194924097001,-0.9393932741692045,-0.7939414961955716,0.794369263676049
ck4p_msp,train_zscore,1,75,clean,hydrogen_mean,0.5014377017384614,0.005442376457106507,0.005442376457106507,0.5045372692383469,0.0031975089887871758,0.0032020617905250386,0.5875207299583173,0.5883572765981437,0.5336997826821934,0.3135596859000376,0.31400615065991644
ck4p_msp,train_zscore,1,75,clean,hydrogen_sd,0.08747494850194006,0.010180463402710593,0.010180463402710593,0.08784409764931228,0.00026514605748561855,0.0017478060061427113,0.02604459610502821,0.17168236228592013,-0.35807855997711274,-0.00932601146847402,0.06147577306081125
ck4p_msp,train_zscore,1,75,clean,gc_mean,0.11888709758690486,0.024626732690552742,0.024626732690552742,0.11948446686949936,0.0009946884822670447,0.003286299243216326,0.04039059889778334,0.1334443868177856,0.20077804396495966,0.008109545441270195,0.026792702963378438
ck4p_msp,train_zscore,1,75,clean,gc_sd,0.08747494850194006,0.010180463402710605,0.010180463402710605,0.08784409764931228,0.00026514605748563324,0.0017478060061427096,0.026044596105029627,0.17168236228591977,-0.3580785599771287,-0.009326011468474942,0.06147577306081385
ck4p_msp,train_zscore,1,75,clean,purine_mean,0.09518828886300892,0.01195617269871893,0.01195617269871893,0.09623151872049833,0.0008118266288018125,0.00400060035532743,0.06790020931102789,0.33460543404128673,0.007013529630978872,0.00047622012995256164,0.002346765126335111
ck4p_msp,train_zscore,1,75,clean,purine_sd,0.09495876597296458,0.004835481474008504,0.004835481474008504,0.09549222898720548,0.0004374054300558748,0.0008482564798441236,0.0904574720029432,0.17542337498419538,0.12815782172699944,0.011592832570828236,0.022481877617973087
ck4p_msp,train_zscore,1,75,clean,eiip_mean,0.022163568297603173,0.0019253877879029178,0.0019253877879029178,0.022307490548787615,0.00010854452358987976,0.0003055038239362921,0.05637540877316129,0.15867132109996343,0.12976896167829816,0.007315778260682761,0.02059061258726609
ck4p_msp,train_zscore,1,75,clean,eiip_sd,0.004450786557058927,0.00029422279176893087,0.00029422279176893087,0.004472393752031815,2.3158129867207612e-05,6.726863479028721e-05,0.07870950352953944,0.2286316243070555,0.07576971017031545,0.005963796270082623,0.01732335190951404
ck4p_msp,train_zscore,1,75,clean,n_fraction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck4p_msp,train_zscore,1,75,clean,length_scaled,0.09563765103788906,0.004995622891812613,0.004995622891812613,0.07219740044415889,-0.023515095021422933,0.023515095021422933,-4.707139736260339,4.707139736260339,-0.10208497171434527,0.4805282268316073,0.4805282268316073
ck4p_msp,train_zscore,1,75,clean,base_entropy,0.1532311758044414,0.014207887371803288,0.014207887371803288,0.153669191853443,0.00032177035540666344,0.0024450782221525206,0.02264730476715651,0.17209301834732854,-0.9393932741692045,-0.021274725776326987,0.16166302396695792
ck4p_msp,train_zscore,1,75,substitution_1pct,hydrogen_mean,0.5014377017384614,0.005442376457106507,0.005442376457106507,0.5043694258873593,0.0030296656377997145,0.003046125520439165,0.5566806452434322,0.5597050377618802,0.5336997826821934,0.29710033938980296,0.29871445701964433
ck4p_msp,train_zscore,1,75,substitution_1pct,hydrogen_sd,0.08747494850194006,0.010180463402710593,0.010180463402710593,0.08818752044339316,0.0006085688515664992,0.0019063256567155755,0.05977810905979634,0.18725332839053355,-0.35807855997711274,-0.02140525921028667,0.06705140218100367
ck4p_msp,train_zscore,1,75,substitution_1pct,gc_mean,0.11888709758690486,0.024626732690552742,0.024626732690552742,0.11918347826611696,0.0006936998788846491,0.003396383165932211,0.028168571430133918,0.1379144853931486,0.20077804396495966,0.005655630673029535,0.027690200611670376
ck4p_msp,train_zscore,1,75,substitution_1pct,gc_sd,0.08747494850194006,0.010180463402710605,0.010180463402710605,0.08818752044339316,0.000608568851566512,0.0019063256567155775,0.059778109059797524,0.18725332839053352,-0.3580785599771287,-0.021405259210288047,0.06705140218100664
ck4p_msp,train_zscore,1,75,substitution_1pct,purine_mean,0.09518828886300892,0.01195617269871893,0.01195617269871893,0.09635907912394488,0.0009393870322483612,0.00424160648639991,0.07856920905374792,0.3547628989044618,0.007013529630978872,0.0005510474757810345,0.0024881401034384048
ck4p_msp,train_zscore,1,75,substitution_1pct,purine_sd,0.09495876597296458,0.004835481474008504,0.004835481474008504,0.09553082748025025,0.00047600392310063723,0.0009109651841699486,0.09843981941803218,0.1883918259363693,0.12815782172699944,0.012615832827814187,0.024143886043177125
ck4p_msp,train_zscore,1,75,substitution_1pct,eiip_mean,0.022163568297603173,0.0019253877879029178,0.0019253877879029178,0.022321781053616045,0.00012283502841830865,0.0003244999768162594,0.06379755246713047,0.16853746494865657,0.12976896167829816,0.00827894214127627,0.021870931830279734
ck4p_msp,train_zscore,1,75,substitution_1pct,eiip_sd,0.004450786557058927,0.00029422279176893087,0.00029422279176893087,0.00447301221262433,2.3776590459722885e-05,7.118427548301669e-05,0.08081151809067166,0.24194004500821126,0.07576971017031545,0.006123065304153396,0.01833172708886524
ck4p_msp,train_zscore,1,75,substitution_1pct,n_fraction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck4p_msp,train_zscore,1,75,substitution_1pct,length_scaled,0.09563765103788906,0.004995622891812613,0.004995622891812613,0.07222236517898295,-0.023490130286598885,0.023490130286598885,-4.7021424145319575,4.7021424145319575,-0.10208497171434527,0.4800180753843181,0.4800180753843181
ck4p_msp,train_zscore,1,75,substitution_1pct,base_entropy,0.1532311758044414,0.014207887371803288,0.014207887371803288,0.1541199667323608,0.0007725452343244606,0.0026648343381823194,0.054374391780275484,0.1875602099345818,-0.9393932741692045,-0.05107893792543207,0.17619279971431018
ck4p_msp,train_zscore,1,100,N_3pct,hydrogen_mean,0.5014377017384614,0.005442376457106507,0.005442376457106507,0.4902831948316097,-0.011056565417949953,0.011056565417949953,-2.031569389786073,2.031569389786073,0.5336997826821934,-1.0842481418326233,1.0842481418326233
ck4p_msp,train_zscore,1,100,N_3pct,hydrogen_sd,0.08747494850194006,0.010180463402710593,0.010180463402710593,0.12270190193538262,0.035122950343555955,0.035122950343555955,3.4500345371512573,3.4500345371512573,-0.35807855997711274,-1.235383398934427,1.235383398934427
ck4p_msp,train_zscore,1,100,N_3pct,gc_mean,0.11888709758690486,0.024626732690552742,0.024626732690552742,0.11591867660387604,-0.002571101783356281,0.0025938312146027115,-0.10440287859796368,0.10532583624451941,0.20077804396495966,-0.020961805749210298,0.02114711538014826
ck4p_msp,train_zscore,1,100,N_3pct,gc_sd,0.08747494850194006,0.010180463402710605,0.010180463402710605,0.08950911912462786,0.001930167532801189,0.0019759212180013685,0.18959525283370413,0.19408951634512714,-0.3580785599771287,-0.0678899951131924,0.06949929451952051
ck4p_msp,train_zscore,1,100,N_3pct,purine_mean,0.09518828886300892,0.01195617269871893,0.01195617269871893,0.09322739103944526,-0.0021923010522512517,0.0023621659100749714,-0.1833614407799706,0.19756873454396248,0.007013529630978872,-0.0012860108980893013,0.0013856541738790796
ck4p_msp,train_zscore,1,100,N_3pct,purine_sd,0.09495876597296458,0.004835481474008504,0.004835481474008504,0.0957934405733117,0.0007386170161620794,0.0007511045144082519,0.1527494252914142,0.15533189785661683,0.12815782172699944,0.01957603361539868,0.019906997674024783
ck4p_msp,train_zscore,1,100,N_3pct,eiip_mean,0.022163568297603173,0.0019253877879029178,0.0019253877879029178,0.02170942875984782,-0.0004895172653499143,0.0004895172653499143,-0.254243466394416,0.254243466394416,0.12976896167829816,-0.03299291064749465,0.03299291064749465
ck4p_msp,train_zscore,1,100,N_3pct,eiip_sd,0.004450786557058927,0.00029422279176893087,0.00029422279176893087,0.005852607993131631,0.0014033723709670238,0.0014033723709670238,4.769760909852178,4.769760909852178,0.07576971017031545,0.3614034017211997,0.3614034017211997
