probe_scaling,length,condition,comparator,ck4p_msp_macro_f1,comparator_macro_f1,absolute_f1_difference,absolute_difference_ci_low,absolute_difference_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
train_zscore,69,N_3pct,ck4,0.7239657686199505,0.8616075445365999,-0.1376417759166494,-0.15410194854679737,-0.11977643387156352,-0.13205567167639054,-0.14953802183079362,-0.11498162994945878
train_zscore,69,N_3pct,ck4_p,0.7239657686199505,0.6471562695951327,0.07680949902481782,0.06337087261738271,0.09185252964263171,0.08201686775179373,0.06702664932347073,0.09788428551229275
train_zscore,69,N_3pct,ck4_msp,0.7239657686199505,0.862774105456897,-0.1388083368369465,-0.15543804607695422,-0.12362206300051491,-0.13638861187965834,-0.15308459633177565,-0.12009819909603289
train_zscore,69,N_3pct,pseknc_k3_l3,0.7239657686199505,0.8744971030026252,-0.15053133438267463,-0.1675000236646844,-0.13404314704550443,-0.13812883461225,-0.15649982752053865,-0.11913085362045774
train_zscore,69,N_3pct,pseeiip,0.7239657686199505,0.8781174380420035,-0.15415166942205294,-0.17179892911158828,-0.13811955955965627,-0.14176731513845775,-0.16073810864073573,-0.1239365388859123
train_zscore,69,N_3pct,ck5,0.7239657686199505,0.801819757886248,-0.0778539892662975,-0.09740406871973424,-0.05815107564914983,-0.11719852163239586,-0.1368509033896176,-0.09685952002740787
train_zscore,69,clean,ck4,0.8779814449532479,0.8732813841325424,0.0047000608207055095,-0.0024826618603654704,0.012343413625594435,0.010286165060964358,0.0007177900063291526,0.020315926724459164
train_zscore,69,clean,ck4_p,0.8779814449532479,0.8789725813989718,-0.0009911364457239058,-0.007868678866569362,0.0058768804235051625,0.004216232281252008,-0.00466735357385969,0.01300704554596695
train_zscore,69,clean,ck4_msp,0.8779814449532479,0.8732894217564728,0.004692023196775086,-0.0021492132191781284,0.011904774407732906,0.0071117481540632355,-0.0005880627189604387,0.015545342789832306
train_zscore,69,clean,pseknc_k3_l3,0.8779814449532479,0.8804984692923785,-0.0025170243391305913,-0.013360016000960415,0.007553638893527939,0.009885475431294033,-0.0024973316063471086,0.021115542008843278
train_zscore,69,clean,pseeiip,0.8779814449532479,0.8821166177993067,-0.004135172846058799,-0.014230681776166156,0.005985622050349692,0.00824918143753639,-0.002643751231428462,0.019518726297293298
train_zscore,69,clean,ck5,0.8779814449532479,0.8138078881652879,0.06417355678796,0.0496388010465498,0.07926655642887409,0.024829024421861634,0.01074412136391864,0.03925240693516232
train_zscore,69,substitution_1pct,ck4,0.8712228198757683,0.8620235801558795,0.009199239719888785,0.0011943289501651993,0.017167836779326505,0.014785343960147634,0.0047252150425462405,0.025650982929784696
train_zscore,69,substitution_1pct,ck4_p,0.8712228198757683,0.8738249296129331,-0.0026021097371647928,-0.010238082081843836,0.004717109664895246,0.002605258989811121,-0.007078661801340341,0.011444806146124944
train_zscore,69,substitution_1pct,ck4_msp,0.8712228198757683,0.8636123310374784,0.007610488838289964,-7.066101609575488e-05,0.014898049741607664,0.010030213795578113,0.0011179348873328833,0.018863915089655795
train_zscore,69,substitution_1pct,pseknc_k3_l3,0.8712228198757683,0.8716739200965722,-0.00045110022080385725,-0.01209829518826382,0.010399585434605814,0.011951399549620767,-0.00013333588969159044,0.024856373238205307
train_zscore,69,substitution_1pct,pseeiip,0.8712228198757683,0.872483424553909,-0.0012606046781407088,-0.01214220002046758,0.009988788292695857,0.01112374960545448,-0.0013623997110822905,0.02329640884250497
train_zscore,69,substitution_1pct,ck5,0.8712228198757683,0.8120675110961144,0.059155308779653915,0.043849328509936863,0.0750171009148371,0.019810776413555553,0.005477582288866934,0.035149057340457306
train_zscore,75,N_3pct,ck4,0.7351429935229064,0.8592071197411003,-0.12406412621819396,-0.13982877096913846,-0.10811822765023078,-0.11847802197793511,-0.13416349176562278,-0.10213587285118461
train_zscore,75,N_3pct,ck4_p,0.7351429935229064,0.6739656210389586,0.06117737248394772,0.04678362197694274,0.07408935429961591,0.06638474121092364,0.050714466206820484,0.08045868160150342
train_zscore,75,N_3pct,ck4_msp,0.7351429935229064,0.8575966756958806,-0.12245368217297425,-0.13732034834720525,-0.1080801901155528,-0.1200339572156861,-0.13476152549895112,-0.10460273201752075
train_zscore,75,N_3pct,pseknc_k3_l3,0.7351429935229064,0.8829185539585427,-0.14777556043563633,-0.16507881847049338,-0.1302570675544631,-0.1353730606652117,-0.15244492115083424,-0.11715913205504798
