task,length,condition,representation,classifier,macro_f1_mean,macro_f1_sd,accuracy_mean,n_cells
target_background,75,substitution_1pct_N_3pct,ck4,nearest_centroid,0.44681007104609305,0.11116456231607842,0.5098253340862037,25
target_background,75,substitution_1pct_N_3pct,ck4_p,logistic,0.46430182494699274,0.11202256296742681,0.5510100419614486,25
target_background,75,substitution_1pct_N_3pct,ck4_p,nearest_centroid,0.4479686241224961,0.1097144346616562,0.5115644645209863,25
target_background,75,substitution_1pct_N_3pct,ck4p_msp,logistic,0.4791071210541056,0.1340534472417182,0.5541088266663714,25
target_background,75,substitution_1pct_N_3pct,ck4p_msp,nearest_centroid,0.4411578292140781,0.10699751875490905,0.5061503231068448,25
target_background,75,substitution_1pct_N_3pct,ckmer5_count_l2,logistic,0.4234194566665155,0.12018332986375824,0.5518382657410791,25
target_background,75,substitution_1pct_N_3pct,ckmer5_count_l2,nearest_centroid,0.4522818592663062,0.10940630821365983,0.5538827810439063,25
target_background,75,trim_5bp,ck4,logistic,0.42912731245014185,0.11250947863787422,0.5040484789436196,25
target_background,75,trim_5bp,ck4,nearest_centroid,0.4626150103631248,0.10988816235117621,0.527449880611006,25
target_background,75,trim_5bp,ck4_p,logistic,0.4488653865671892,0.10274968636071664,0.5242938999051531,25
target_background,75,trim_5bp,ck4_p,nearest_centroid,0.46062233637045075,0.10841291949779641,0.5250969394345354,25
target_background,75,trim_5bp,ck4p_msp,logistic,0.43192468366612324,0.10201456002911008,0.5234660820850079,25
target_background,75,trim_5bp,ck4p_msp,nearest_centroid,0.4567298605598164,0.10657842169123172,0.5209699553075512,25
target_background,75,trim_5bp,ckmer5_count_l2,logistic,0.46354528502143,0.12880499944584264,0.5970531474776999,25
target_background,75,trim_5bp,ckmer5_count_l2,nearest_centroid,0.4662505411879217,0.11743943540572475,0.5711610146034698,25
target_background,100,N_3pct,ck4,logistic,0.5048123773501296,0.10422032756847993,0.584195104128608,25
target_background,100,N_3pct,ck4,nearest_centroid,0.4763011508246909,0.10890025565288265,0.5250591058557811,25
target_background,100,N_3pct,ck4_p,logistic,0.4899655548361385,0.12051907845349427,0.5732354159054927,25
target_background,100,N_3pct,ck4_p,nearest_centroid,0.4763011508246909,0.10890025565288265,0.5250591058557811,25
target_background,100,N_3pct,ck4p_msp,logistic,0.5005007266420008,0.08876663584509817,0.5733745972697379,25
target_background,100,N_3pct,ck4p_msp,nearest_centroid,0.4751882475988844,0.11030349016447602,0.5233199754209984,25
target_background,100,N_3pct,ckmer5_count_l2,logistic,0.5148482758131033,0.14059262553624027,0.62157386432834,25
target_background,100,N_3pct,ckmer5_count_l2,nearest_centroid,0.5202043556103179,0.09574510065624128,0.592608734402852,25
target_background,100,clean,ck4,logistic,0.4976688512611113,0.09372744910391403,0.5691291338669856,25
target_background,100,clean,ck4,nearest_centroid,0.45729736379275127,0.10351819962758455,0.5019498289434351,25
target_background,100,clean,ck4_p,logistic,0.4909173392128251,0.10776097231277872,0.5615848418418751,25
target_background,100,clean,ck4_p,nearest_centroid,0.4554138671724125,0.10129463360411944,0.4999498289434351,25
target_background,100,clean,ck4p_msp,logistic,0.49674617769713014,0.11964786183452963,0.573740304026749,25
target_background,100,clean,ck4p_msp,nearest_centroid,0.4516051537425024,0.10310158252343676,0.49647156807386983,25
target_background,100,clean,ckmer5_count_l2,logistic,0.4598135085914972,0.1223273014176515,0.5622419924491535,25
target_background,100,clean,ckmer5_count_l2,nearest_centroid,0.4724658613693418,0.07987739337838509,0.5447768625236656,25
target_background,100,substitution_1pct,ck4,logistic,0.5058440360631029,0.12202327935401529,0.5824976251370113,25
target_background,100,substitution_1pct,ck4,nearest_centroid,0.4737467512271417,0.11902084464831002,0.5156482767019851,25
target_background,100,substitution_1pct,ck4_p,logistic,0.5024933593228283,0.10134716569362696,0.5829635023970062,25
target_background,100,substitution_1pct,ck4_p,nearest_centroid,0.47222111020150065,0.11846839182363095,0.5137435147972232,25
target_background,100,substitution_1pct,ck4p_msp,logistic,0.5190312215870182,0.14221712435264797,0.5935631636053631,25
target_background,100,substitution_1pct,ck4p_msp,nearest_centroid,0.47429939345790456,0.11949063946984688,0.5164091462672026,25
target_background,100,substitution_1pct,ckmer5_count_l2,logistic,0.4660806451505235,0.10617785427917618,0.5687158910995228,25
target_background,100,substitution_1pct,ckmer5_count_l2,nearest_centroid,0.4765279717593872,0.10192516255541362,0.5549132261600292,25
target_background,100,substitution_1pct_N_3pct,ck4,logistic,0.5247357019104978,0.10199246537628504,0.5851699106520079,25
target_background,100,substitution_1pct_N_3pct,ck4,nearest_centroid,0.4826596814558383,0.10862911715955584,0.5315307735742518,25
target_background,100,substitution_1pct_N_3pct,ck4_p,logistic,0.49068783826219636,0.09698752607272214,0.5622798850765602,25
target_background,100,substitution_1pct_N_3pct,ck4_p,nearest_centroid,0.4862463699307621,0.11079430032960189,0.5346002922908294,25
target_background,100,substitution_1pct_N_3pct,ck4p_msp,logistic,0.5079966842904183,0.10816134562227492,0.5792607865280499,25
