representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ck4p_msp,logistic,5fold_grouped_cv,3,target_background,69,clean,79,79,2,222,0.5,0.4920634920634921,Burkholderia,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,79,79,2,222,0.4,0.3891402714932127,Burkholderia,target_binary
ck4p_msp,logistic,5fold_grouped_cv,4,target_background,69,clean,79,79,2,222,0.5333333333333333,0.5248868778280543,Burkholderia,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,79,79,2,222,0.3125,0.30980392156862746,Burkholderia,target_binary
ck4p_msp,logistic,5fold_grouped_cv,5,target_background,69,clean,79,79,2,222,0.3125,0.23809523809523808,Burkholderia,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,79,79,2,468,0.4375,0.41700404858299595,Burkholderia,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,1,target_background,69,clean,79,79,2,468,0.5,0.4666666666666667,Burkholderia,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,79,79,2,468,0.4375,0.37662337662337664,Burkholderia,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,2,target_background,69,clean,79,79,2,468,0.375,0.3333333333333333,Burkholderia,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,79,79,2,468,0.375,0.375,Burkholderia,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,3,target_background,69,clean,79,79,2,468,0.4375,0.37662337662337664,Burkholderia,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,79,79,2,468,0.4666666666666667,0.4444444444444444,Burkholderia,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,4,target_background,69,clean,79,79,2,468,0.6,0.5833333333333333,Burkholderia,target_binary
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,79,79,2,468,0.25,0.25,Burkholderia,target_binary
ckmer5_count_l2,logistic,5fold_grouped_cv,5,target_background,69,clean,79,79,2,468,0.4375,0.41700404858299595,Burkholderia,target_binary
ck4,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,136,0.25,0.22037337662337664,Candida,label
ck4,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,136,0.20833333333333334,0.21875,Candida,label
ck4,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,136,0.2916666666666667,0.28138528138528135,Candida,label
ck4,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,136,0.3333333333333333,0.3060064935064935,Candida,label
ck4,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,136,0.3333333333333333,0.3121212121212121,Candida,label
ck4,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,136,0.375,0.38267973856209153,Candida,label
ck4,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,136,0.3333333333333333,0.3,Candida,label
ck4,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,136,0.2916666666666667,0.22248803827751196,Candida,label
ck4,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,136,0.3333333333333333,0.3301282051282051,Candida,label
ck4,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,136,0.3333333333333333,0.32698412698412704,Candida,label
ck4_p,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,147,0.25,0.22037337662337664,Candida,label
ck4_p,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,147,0.20833333333333334,0.21634615384615385,Candida,label
ck4_p,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,147,0.2916666666666667,0.28138528138528135,Candida,label
