split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.4375,0.4313295304958315,511,all_labels,genus,Escherichia,target_binary,125,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.6041666666666666,0.5998244844229925,136,all_labels,genus,Escherichia,target_binary,125,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.5833333333333334,0.5767195767195767,147,all_labels,genus,Escherichia,target_binary,125,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.5416666666666666,0.5416666666666666,1904,all_labels,genus,Escherichia,target_binary,125,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4166666666666667,0.4156521739130435,2000,all_labels,genus,Escherichia,target_binary,125,N_3pct,rope_property,160,2
holdout,nearest_centroid,0.5694444444444444,0.5372174994816504,511,all_labels,genus,Klebsiella,target_binary,125,N_3pct,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.6111111111111112,0.5785953177257526,136,all_labels,genus,Klebsiella,target_binary,125,N_3pct,cspaced_count_l2,240,2
holdout,nearest_centroid,0.5972222222222222,0.5597722960151803,147,all_labels,genus,Klebsiella,target_binary,125,N_3pct,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5138888888888888,0.4343434343434343,1904,all_labels,genus,Klebsiella,target_binary,125,N_3pct,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.5694444444444444,0.520515574650913,2000,all_labels,genus,Klebsiella,target_binary,125,N_3pct,rope_property,240,2
holdout,nearest_centroid,0.6979166666666666,0.6452147317446157,511,all_labels,genus,Candida,target_binary,150,clean,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.625,0.6,136,all_labels,genus,Candida,target_binary,150,clean,cspaced_count_l2,320,2
holdout,nearest_centroid,0.65625,0.6267232237539766,147,all_labels,genus,Candida,target_binary,150,clean,cspaced_property_l2,320,2
holdout,nearest_centroid,0.6041666666666666,0.4989010989010989,2304,all_labels,genus,Candida,target_binary,150,clean,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.6979166666666666,0.5334338863750628,2400,all_labels,genus,Candida,target_binary,150,clean,rope_property,320,2
holdout,nearest_centroid,0.5972222222222222,0.5734422880490296,508,all_labels,genus,Burkholderia,target_binary,150,clean,ckmer5_count_l2,240,2
