pair_id,length,representation,representation_label,l2_drift,paired_cosine,n_features
order_pair_000295,69,ck4,CK4,0.0,1.0,136
order_pair_000296,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000297,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000298,69,ck4,CK4,0.0,1.0,136
order_pair_000299,69,ck4,CK4,0.0,1.0,136
order_pair_000300,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000301,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000302,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000303,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000304,69,ck4,CK4,0.0,1.0,136
order_pair_000305,69,ck4,CK4,0.0,1.0,136
order_pair_000306,69,ck4,CK4,0.0,1.0,136
order_pair_000307,69,ck4,CK4,0.0,1.0,136
order_pair_000308,69,ck4,CK4,0.0,1.0,136
order_pair_000309,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000310,69,ck4,CK4,0.0,1.0,136
order_pair_000311,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000312,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000313,69,ck4,CK4,0.0,1.0,136
order_pair_000314,69,ck4,CK4,0.0,1.0,136
order_pair_000315,69,ck4,CK4,0.0,1.0,136
order_pair_000316,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000317,69,ck4,CK4,0.0,1.0,136
order_pair_000318,69,ck4,CK4,0.0,1.0,136
order_pair_000319,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000320,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000321,69,ck4,CK4,0.0,1.0,136
order_pair_000322,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000323,69,ck4,CK4,0.0,1.0000000000000004,136
order_pair_000324,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000325,69,ck4,CK4,0.0,1.0,136
order_pair_000326,69,ck4,CK4,0.0,1.0,136
order_pair_000327,69,ck4,CK4,0.0,1.0,136
order_pair_000328,69,ck4,CK4,0.0,1.0,136
order_pair_000329,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000330,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000331,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000332,69,ck4,CK4,0.0,1.0,136
order_pair_000333,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000334,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000335,69,ck4,CK4,0.0,1.0,136
order_pair_000336,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000337,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000338,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000339,69,ck4,CK4,0.0,1.0,136
order_pair_000340,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000341,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000342,69,ck4,CK4,0.0,1.0,136
order_pair_000343,69,ck4,CK4,0.0,1.0,136
order_pair_000344,69,ck4,CK4,0.0,1.0,136
order_pair_000345,69,ck4,CK4,0.0,1.0,136
order_pair_000346,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000347,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000348,69,ck4,CK4,0.0,1.0,136
order_pair_000349,69,ck4,CK4,0.0,1.0,136
order_pair_000350,69,ck4,CK4,0.0,1.0,136
order_pair_000351,69,ck4,CK4,0.0,1.0,136
order_pair_000352,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000353,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000354,69,ck4,CK4,0.0,1.0,136
order_pair_000355,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000356,69,ck4,CK4,0.0,1.0,136
order_pair_000357,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000358,69,ck4,CK4,0.0,1.0,136
order_pair_000359,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000360,69,ck4,CK4,0.0,1.0,136
order_pair_000361,69,ck4,CK4,0.0,1.0,136
order_pair_000362,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000363,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000364,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000365,69,ck4,CK4,0.0,1.0,136
order_pair_000366,69,ck4,CK4,0.0,1.0,136
order_pair_000367,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000368,69,ck4,CK4,0.0,1.0,136
order_pair_000369,69,ck4,CK4,0.0,1.0000000000000004,136
order_pair_000370,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000371,69,ck4,CK4,0.0,1.0,136
order_pair_000372,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000373,69,ck4,CK4,0.0,1.0,136
order_pair_000374,69,ck4,CK4,0.0,1.0,136
order_pair_000375,69,ck4,CK4,0.0,1.0,136
order_pair_000376,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000377,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000378,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000379,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000380,69,ck4,CK4,0.0,1.0,136
order_pair_000381,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000382,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000383,69,ck4,CK4,0.0,1.0,136
order_pair_000384,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000385,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000386,69,ck4,CK4,0.0,1.0,136
order_pair_000387,69,ck4,CK4,0.0,1.0,136
order_pair_000388,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000389,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000390,69,ck4,CK4,0.0,1.0,136
order_pair_000391,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000392,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000393,69,ck4,CK4,0.0,1.0,136
order_pair_000394,69,ck4,CK4,0.0,1.0,136
order_pair_000395,69,ck4,CK4,0.0,1.0,136
order_pair_000396,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000397,69,ck4,CK4,0.0,1.0,136
order_pair_000398,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000399,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000000,69,p,P,5.551115123125783e-17,1.0000000000000002,11
order_pair_000001,69,p,P,2.110382192020081e-17,1.0,11
order_pair_000002,69,p,P,2.0816681711721685e-17,1.0000000000000002,11
order_pair_000003,69,p,P,3.1140581556135944e-17,1.0,11
order_pair_000004,69,p,P,2.8609792490763984e-17,1.0,11
order_pair_000005,69,p,P,3.926189338142412e-17,1.0,11
order_pair_000006,69,p,P,6.938893903907228e-18,1.0,11
order_pair_000007,69,p,P,0.0,0.9999999999999999,11
order_pair_000008,69,p,P,7.152448122690996e-18,1.0000000000000002,11
order_pair_000009,69,p,P,1.734723475976807e-18,1.0,11
order_pair_000010,69,p,P,1.264356391797763e-16,0.9999999999999999,11
order_pair_000011,69,p,P,2.083474391183281e-17,1.0000000000000002,11
order_pair_000012,69,p,P,6.397344083151129e-17,1.0,11
order_pair_000013,69,p,P,3.4867510341210807e-17,1.0000000000000002,11
order_pair_000014,69,p,P,2.7755575615628914e-17,1.0000000000000002,11
order_pair_000015,69,p,P,3.929062510380681e-17,0.9999999999999998,11
order_pair_000016,69,p,P,2.8609792490763984e-17,0.9999999999999999,11
order_pair_000017,69,p,P,2.7809732887839817e-17,1.0,11
order_pair_000018,69,p,P,3.1080126089379415e-17,1.0000000000000002,11
order_pair_000019,69,p,P,6.36492241168259e-17,0.9999999999999999,11
order_pair_000020,69,p,P,8.673617379884035e-19,0.9999999999999999,11
order_pair_000021,69,p,P,3.925231146709438e-17,1.0000000000000002,11
order_pair_000022,69,p,P,2.862293735361732e-17,0.9999999999999999,11
order_pair_000023,69,p,P,3.470530984772429e-17,0.9999999999999999,11
order_pair_000024,69,p,P,1.4304896245381992e-17,1.0,11
order_pair_000025,69,p,P,2.6020852139652106e-18,1.0000000000000002,11
order_pair_000026,69,p,P,2.6020852139652106e-18,1.0000000000000004,11
order_pair_000027,69,p,P,0.0,1.0,11
order_pair_000028,69,p,P,0.0,1.0,11
order_pair_000029,69,p,P,2.8609792490763984e-17,1.0,11
order_pair_000030,69,p,P,7.850941432989855e-17,1.0000000000000002,11
order_pair_000031,69,p,P,0.0,1.0000000000000002,11
order_pair_000032,69,p,P,2.872787973076523e-17,1.0000000000000002,11
order_pair_000033,69,p,P,4.4565853017184997e-17,1.0000000000000002,11
order_pair_000034,69,p,P,2.8662335771926895e-17,1.0000000000000002,11
order_pair_000035,69,p,P,3.469446951953614e-17,1.0000000000000002,11
order_pair_000036,69,p,P,1.5515838457795457e-17,0.9999999999999999,11
order_pair_000037,69,p,P,1.5515838457795457e-17,1.0,11
order_pair_000038,69,p,P,2.7755575615628914e-17,1.0,11
order_pair_000039,69,p,P,2.8662335771926895e-17,1.0,11
order_pair_000040,69,p,P,2.7755575615628914e-17,1.0000000000000002,11
order_pair_000041,69,p,P,2.7755575615628914e-17,1.0,11
order_pair_000042,69,p,P,0.0,1.0000000000000002,11
order_pair_000043,69,p,P,2.6020852139652106e-18,1.0000000000000002,11
order_pair_000044,69,p,P,2.0888836804026048e-17,1.0000000000000004,11
order_pair_000045,69,p,P,7.757919228897728e-18,1.0000000000000002,11
order_pair_000046,69,p,P,3.122502256758253e-17,1.0000000000000004,11
order_pair_000047,69,p,P,2.8609792490763984e-17,1.0,11
