representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
hybrid_ckmer5_csp,nearest_centroid,92,2,656,0.5714285714285714,0.5508021390374331,target_background,Candida,150,clean,target_binary
hybrid_ckmer5_csp,logistic,92,2,656,0.42857142857142855,0.37777777777777777,target_background,Candida,150,clean,target_binary
minhash_k5_s128,nearest_centroid,92,2,128,0.5714285714285714,0.5508021390374331,target_background,Candida,150,clean,target_binary
minhash_k5_s128,logistic,92,2,128,0.6071428571428571,0.5809523809523809,target_background,Candida,150,clean,target_binary
eiip_l2,nearest_centroid,92,2,150,0.4642857142857143,0.46360153256704983,target_background,Candida,150,clean,target_binary
eiip_l2,logistic,92,2,150,0.6428571428571429,0.6354166666666667,target_background,Candida,150,clean,target_binary
eiip_summary_l2,nearest_centroid,92,2,8,0.6428571428571429,0.6111111111111112,target_background,Candida,150,clean,target_binary
eiip_summary_l2,logistic,92,2,8,0.5714285714285714,0.4285714285714286,target_background,Candida,150,clean,target_binary
ck4,nearest_centroid,147,5,136,0.24444444444444444,0.24476217281170842,within_genus_species,Enterobacter,150,clean,label
ck4,logistic,147,5,136,0.2222222222222222,0.21681286549707607,within_genus_species,Enterobacter,150,clean,label
ck4_p,nearest_centroid,147,5,147,0.24444444444444444,0.24476217281170842,within_genus_species,Enterobacter,150,clean,label
ck4_p,logistic,147,5,147,0.2222222222222222,0.21947712418300655,within_genus_species,Enterobacter,150,clean,label
ck4p_msp,nearest_centroid,147,5,222,0.24444444444444444,0.24476217281170842,within_genus_species,Enterobacter,150,clean,label
ck4p_msp,logistic,147,5,222,0.17777777777777778,0.17402648778809768,within_genus_species,Enterobacter,150,clean,label
ckmer5_count_l2,nearest_centroid,147,5,510,0.24444444444444444,0.2505277230509429,within_genus_species,Enterobacter,150,clean,label
ckmer5_count_l2,logistic,147,5,510,0.17777777777777778,0.18197454420364637,within_genus_species,Enterobacter,150,clean,label
cspaced_count_l2,nearest_centroid,147,5,136,0.17777777777777778,0.17626050420168066,within_genus_species,Enterobacter,150,clean,label
cspaced_count_l2,logistic,147,5,136,0.1111111111111111,0.11859952912584493,within_genus_species,Enterobacter,150,clean,label
cspaced_property_l2,nearest_centroid,147,5,147,0.17777777777777778,0.17626050420168066,within_genus_species,Enterobacter,150,clean,label
cspaced_property_l2,logistic,147,5,147,0.17777777777777778,0.1878805748774789,within_genus_species,Enterobacter,150,clean,label
hybrid_ckmer5_csp,nearest_centroid,147,5,657,0.2222222222222222,0.22492572786690435,within_genus_species,Enterobacter,150,clean,label
hybrid_ckmer5_csp,logistic,147,5,657,0.15555555555555556,0.16257703081232494,within_genus_species,Enterobacter,150,clean,label
minhash_k5_s128,nearest_centroid,147,5,128,0.26666666666666666,0.259047619047619,within_genus_species,Enterobacter,150,clean,label
minhash_k5_s128,logistic,147,5,128,0.15555555555555556,0.15905882352941175,within_genus_species,Enterobacter,150,clean,label
eiip_l2,nearest_centroid,147,5,150,0.15555555555555556,0.15627705627705626,within_genus_species,Enterobacter,150,clean,label
eiip_l2,logistic,147,5,150,0.2222222222222222,0.22742272347535505,within_genus_species,Enterobacter,150,clean,label
eiip_summary_l2,nearest_centroid,147,5,8,0.17777777777777778,0.1500891265597148,within_genus_species,Enterobacter,150,clean,label
eiip_summary_l2,logistic,147,5,8,0.1111111111111111,0.10080808080808082,within_genus_species,Enterobacter,150,clean,label
ck4,nearest_centroid,89,2,136,0.5555555555555556,0.5,target_background,Enterobacter,150,clean,target_binary
ck4,logistic,89,2,136,0.4444444444444444,0.41558441558441556,target_background,Enterobacter,150,clean,target_binary
ck4_p,nearest_centroid,89,2,147,0.5555555555555556,0.5,target_background,Enterobacter,150,clean,target_binary
ck4_p,logistic,89,2,147,0.5555555555555556,0.5,target_background,Enterobacter,150,clean,target_binary
ck4p_msp,nearest_centroid,89,2,222,0.5555555555555556,0.5,target_background,Enterobacter,150,clean,target_binary
ck4p_msp,logistic,89,2,222,0.6666666666666666,0.5846153846153846,target_background,Enterobacter,150,clean,target_binary
ckmer5_count_l2,nearest_centroid,89,2,510,0.5555555555555556,0.5,target_background,Enterobacter,150,clean,target_binary
ckmer5_count_l2,logistic,89,2,510,0.5925925925925926,0.4427767354596623,target_background,Enterobacter,150,clean,target_binary
cspaced_count_l2,nearest_centroid,89,2,136,0.5555555555555556,0.5235294117647059,target_background,Enterobacter,150,clean,target_binary
cspaced_count_l2,logistic,89,2,136,0.37037037037037035,0.33766233766233766,target_background,Enterobacter,150,clean,target_binary
cspaced_property_l2,nearest_centroid,89,2,147,0.5555555555555556,0.5235294117647059,target_background,Enterobacter,150,clean,target_binary
cspaced_property_l2,logistic,89,2,147,0.5555555555555556,0.5235294117647059,target_background,Enterobacter,150,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,89,2,657,0.5185185185185185,0.47218045112781953,target_background,Enterobacter,150,clean,target_binary
hybrid_ckmer5_csp,logistic,89,2,657,0.48148148148148145,0.4166666666666667,target_background,Enterobacter,150,clean,target_binary
minhash_k5_s128,nearest_centroid,89,2,128,0.4074074074074074,0.3647058823529412,target_background,Enterobacter,150,clean,target_binary
minhash_k5_s128,logistic,89,2,128,0.5555555555555556,0.46710526315789475,target_background,Enterobacter,150,clean,target_binary
eiip_l2,nearest_centroid,89,2,150,0.6296296296296297,0.5833333333333333,target_background,Enterobacter,150,clean,target_binary
eiip_l2,logistic,89,2,150,0.5555555555555556,0.5,target_background,Enterobacter,150,clean,target_binary
eiip_summary_l2,nearest_centroid,89,2,8,0.3333333333333333,0.33241758241758246,target_background,Enterobacter,150,clean,target_binary
eiip_summary_l2,logistic,89,2,8,0.6296296296296297,0.46428571428571425,target_background,Enterobacter,150,clean,target_binary
ck4,nearest_centroid,59,2,136,0.5555555555555556,0.55,within_genus_species,Escherichia,150,clean,label
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,150,clean,label
