representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck7_svd222,CK7 SVD-222,logistic,119,4,82,0.3611111111111111,0.2978846153846154,within_genus_species,Candida,69,clean,label
ck4,CK4,nearest_centroid,73,2,136,0.5,0.4989648033126294,target_background,Candida,69,clean,target_binary
ck4,CK4,logistic,73,2,136,0.5909090909090909,0.5448275862068965,target_background,Candida,69,clean,target_binary
ck4_p,CK4+P,nearest_centroid,73,2,147,0.5,0.4989648033126294,target_background,Candida,69,clean,target_binary
ck4_p,CK4+P,logistic,73,2,147,0.5454545454545454,0.5089285714285714,target_background,Candida,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,73,2,222,0.5,0.4989648033126294,target_background,Candida,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,73,2,222,0.5454545454545454,0.5089285714285714,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,73,2,492,0.5909090909090909,0.5900621118012422,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,73,2,492,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ck5_pca147,CK5 PCA-147,nearest_centroid,73,2,50,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ck5_pca147,CK5 PCA-147,logistic,73,2,50,0.45454545454545453,0.4358974358974359,target_background,Candida,69,clean,target_binary
ck5_pca222,CK5 PCA-222,nearest_centroid,73,2,50,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ck5_pca222,CK5 PCA-222,logistic,73,2,50,0.45454545454545453,0.4358974358974359,target_background,Candida,69,clean,target_binary
ck5_svd147,CK5 SVD-147,nearest_centroid,73,2,50,0.5909090909090909,0.5900621118012422,target_background,Candida,69,clean,target_binary
ck5_svd147,CK5 SVD-147,logistic,73,2,50,0.6363636363636364,0.6333333333333333,target_background,Candida,69,clean,target_binary
ck5_svd222,CK5 SVD-222,nearest_centroid,73,2,50,0.5909090909090909,0.5900621118012422,target_background,Candida,69,clean,target_binary
ck5_svd222,CK5 SVD-222,logistic,73,2,50,0.6363636363636364,0.6333333333333333,target_background,Candida,69,clean,target_binary
ck7_pca147,CK7 PCA-147,nearest_centroid,73,2,50,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ck7_pca147,CK7 PCA-147,logistic,73,2,50,0.45454545454545453,0.45,target_background,Candida,69,clean,target_binary
ck7_pca222,CK7 PCA-222,nearest_centroid,73,2,50,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ck7_pca222,CK7 PCA-222,logistic,73,2,50,0.45454545454545453,0.45,target_background,Candida,69,clean,target_binary
ck7_svd147,CK7 SVD-147,nearest_centroid,73,2,50,0.5,0.4905263157894737,target_background,Candida,69,clean,target_binary
ck7_svd147,CK7 SVD-147,logistic,73,2,50,0.5,0.4905263157894737,target_background,Candida,69,clean,target_binary
ck7_svd222,CK7 SVD-222,nearest_centroid,73,2,50,0.5,0.4905263157894737,target_background,Candida,69,clean,target_binary
ck7_svd222,CK7 SVD-222,logistic,73,2,50,0.5,0.4905263157894737,target_background,Candida,69,clean,target_binary
ck4,CK4,nearest_centroid,147,5,136,0.2222222222222222,0.20126984126984127,within_genus_species,Enterobacter,69,clean,label
ck4,CK4,logistic,147,5,136,0.28888888888888886,0.2674598260356774,within_genus_species,Enterobacter,69,clean,label
ck4_p,CK4+P,nearest_centroid,147,5,147,0.2222222222222222,0.20126984126984127,within_genus_species,Enterobacter,69,clean,label
ck4_p,CK4+P,logistic,147,5,147,0.3333333333333333,0.3194416694416694,within_genus_species,Enterobacter,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,147,5,222,0.2222222222222222,0.20126984126984127,within_genus_species,Enterobacter,69,clean,label
ck4p_msp,CK4P-MSP,logistic,147,5,222,0.24444444444444444,0.2278888888888889,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,147,5,507,0.26666666666666666,0.23585109406081273,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,CK5,logistic,147,5,507,0.28888888888888886,0.273015873015873,within_genus_species,Enterobacter,69,clean,label
ck5_pca147,CK5 PCA-147,nearest_centroid,147,5,101,0.24444444444444444,0.21903242955874536,within_genus_species,Enterobacter,69,clean,label
ck5_pca147,CK5 PCA-147,logistic,147,5,101,0.35555555555555557,0.3339249639249639,within_genus_species,Enterobacter,69,clean,label
ck5_pca222,CK5 PCA-222,nearest_centroid,147,5,101,0.24444444444444444,0.21903242955874536,within_genus_species,Enterobacter,69,clean,label
ck5_pca222,CK5 PCA-222,logistic,147,5,101,0.35555555555555557,0.3339249639249639,within_genus_species,Enterobacter,69,clean,label
