retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,observed_base_difference_rate_mean,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9535680368970766,0.9044956433076362,0.28654187514066526,0.4370454353764732,0.13809225074997125,1.0,69,low,20.347826086956523,23.00741345401081,23.695652173913043,0.04289855072463768,ck4_p,CK4+P,400,147,0.39112244897959186,57.495
1.0,0.9534160269008646,0.9042563679924657,0.28704001062375095,0.4375925647527608,0.1404546773301152,1.0,69,low,20.347826086956523,23.00741345401081,23.695652173913043,0.04289855072463768,ck4_msp,CK4+MSP,400,211,0.5091409952606635,107.42875
1.0,0.9689183432913775,0.9361239414126207,0.2344697425715136,0.35742427682339145,0.09400431141074803,1.0,69,low,20.347826086956523,23.00741345401081,23.695652173913043,0.04289855072463768,ck4p_msp,CK4P-MSP,400,222,0.5289583333333333,117.42875
1.0,0.8436759404743097,0.6890489551604788,0.5282498300020805,0.7886068956868421,0.4671232618442647,1.0,69,low,20.347826086956523,23.00741345401081,23.695652173913043,0.04289855072463768,ckmer5_count_l2,canonical 5-mer,400,512,0.11173095703125,57.20625
1.0,0.9317994256224867,0.8322328746410094,0.3337872360091897,0.5792531813169906,0.29046903419232584,1.0,69,mid,23.71014492753623,24.154274312119306,24.594202898550726,0.03188405797101449,ck4,CK4,400,136,0.34591911764705885,47.045
1.0,0.9658780955318398,0.9160281074319089,0.236112573884679,0.40980944974002936,0.14576242283990806,1.0,69,mid,23.71014492753623,24.154274312119306,24.594202898550726,0.03188405797101449,ck4_p,CK4+P,400,147,0.3880612244897959,57.045
1.0,0.9657675358099569,0.9158358541163585,0.23652252396605009,0.4102783098622858,0.14813219578081827,1.0,69,mid,23.71014492753623,24.154274312119306,24.594202898550726,0.03188405797101449,ck4_msp,CK4+MSP,400,211,0.5070675355450237,106.99125
1.0,0.9771639456870357,0.9438487210852412,0.19318651159414257,0.335115737735414,0.09909799227454946,1.0,69,mid,23.71014492753623,24.154274312119306,24.594202898550726,0.03188405797101449,ck4p_msp,CK4P-MSP,400,222,0.5269876126126126,116.99125
1.0,0.883707621336928,0.7285603601569101,0.4378036480557907,0.7368033433841299,0.49451391958209034,1.0,69,mid,23.71014492753623,24.154274312119306,24.594202898550726,0.03188405797101449,ckmer5_count_l2,canonical 5-mer,400,512,0.1107763671875,56.7175
1.0,0.943699187287413,0.8586752546832264,0.29542473553724646,0.5316475123070158,0.3083390445229789,1.0,69,high,24.594202898550726,25.250404432291592,27.608695652173914,0.026159420289855073,ck4,CK4,400,136,0.345625,47.005
